group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Large/Linfa,,,,145020409.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147099595.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147463529.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,149948451.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,149202885.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145334537.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,142080446.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145490951.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,149031970.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147154701.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,154397450.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146269622.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,148534825.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,148606431.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,142204457.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145691269.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145979995.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144486262.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145817981.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,143056333.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145453149.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146004198.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145790278.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,150355788.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146320926.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144831292.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,141864827.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,142093847.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,149214886.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,148502622.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,148331306.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144673378.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145428345.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,143986017.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145469749.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146368230.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147617742.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146581750.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146164112.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147025690.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,148060182.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,142760807.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,142806111.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145508853.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147701049.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,149977954.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146481540.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144021520.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144807390.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145324037.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,142203157.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,140364591.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,142408675.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145316136.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144106528.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146040101.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,143429667.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145951893.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,149390001.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,148256300.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146785268.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146755117.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144714139.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146677515.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145263088.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145682926.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146576007.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147049449.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147713709.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146792226.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144372908.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,143802256.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147590998.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,153503731.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,149535473.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,149540374.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145097673.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,148976623.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,143726649.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146475297.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145231685.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,148536583.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145329494.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146923837.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146420193.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145845040.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,143845560.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,142150708.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145066271.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147222865.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145553614.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144314302.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,150107924.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,144188691.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147588398.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,145786235.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146123766.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146606409.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,146368888.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,147596898.0,ns,1
