group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Large/Linfa,,,,109357616.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110579123.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,109519317.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111444528.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112363033.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111566928.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110576003.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,109831792.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112190605.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112724608.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112845108.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,113523812.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110925398.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112134404.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,108658686.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112173005.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110787797.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,109379990.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110410595.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110026894.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111181999.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,109277590.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110748497.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,109278390.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,108802087.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112161605.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,109129389.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111638502.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111594002.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,114154416.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,113776814.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,108977588.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111323700.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111893103.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110054994.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,109277990.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,113238110.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112231305.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110140194.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111139400.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,108231183.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111319700.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112276505.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112094905.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110574996.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,113022210.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,110056694.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,109989493.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111534001.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,109344690.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112536406.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111435101.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,113890414.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,113079410.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,111225600.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,112794208.0,ns,1
DBSCAN Clustering,Large/Linfa,,,,114757318.0,ns,1
