group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Large/Smart,,,,1069960657.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1061252377.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1079425506.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1093096331.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1077003489.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1084058021.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1052724013.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1072552134.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1078402159.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1084120372.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1103203784.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1077112344.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1060740275.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1059516164.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1087956292.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1060208194.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1095133127.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1091362789.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1091884135.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1091211575.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1057567457.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1079010580.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1092143859.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1074059136.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1071517008.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1047799981.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1072887631.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1069637139.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1064667573.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1078234188.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1101261650.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1113490547.0,ns,1
DBSCAN Clustering,Large/Smart,,,,1067145195.0,ns,1
