group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Large/Smart,,,,873444203.0,ns,1
DBSCAN Clustering,Large/Smart,,,,867931027.0,ns,1
DBSCAN Clustering,Large/Smart,,,,881595715.0,ns,1
DBSCAN Clustering,Large/Smart,,,,869826954.0,ns,1
DBSCAN Clustering,Large/Smart,,,,905725351.0,ns,1
DBSCAN Clustering,Large/Smart,,,,901030787.0,ns,1
DBSCAN Clustering,Large/Smart,,,,887953307.0,ns,1
DBSCAN Clustering,Large/Smart,,,,881380316.0,ns,1
DBSCAN Clustering,Large/Smart,,,,885231069.0,ns,1
DBSCAN Clustering,Large/Smart,,,,890359239.0,ns,1
DBSCAN Clustering,Large/Smart,,,,884279356.0,ns,1
DBSCAN Clustering,Large/Smart,,,,888054307.0,ns,1
DBSCAN Clustering,Large/Smart,,,,891631559.0,ns,1
DBSCAN Clustering,Large/Smart,,,,895756620.0,ns,1
DBSCAN Clustering,Large/Smart,,,,897695947.0,ns,1
DBSCAN Clustering,Large/Smart,,,,876512756.0,ns,1
DBSCAN Clustering,Large/Smart,,,,867117526.0,ns,1
DBSCAN Clustering,Large/Smart,,,,878524783.0,ns,1
DBSCAN Clustering,Large/Smart,,,,874372926.0,ns,1
DBSCAN Clustering,Large/Smart,,,,893109284.0,ns,1
DBSCAN Clustering,Large/Smart,,,,885181575.0,ns,1
DBSCAN Clustering,Large/Smart,,,,871495783.0,ns,1
DBSCAN Clustering,Large/Smart,,,,873665910.0,ns,1
DBSCAN Clustering,Large/Smart,,,,871727983.0,ns,1
DBSCAN Clustering,Large/Smart,,,,885250769.0,ns,1
DBSCAN Clustering,Large/Smart,,,,887935505.0,ns,1
DBSCAN Clustering,Large/Smart,,,,884177854.0,ns,1
DBSCAN Clustering,Large/Smart,,,,878573977.0,ns,1
DBSCAN Clustering,Large/Smart,,,,883272742.0,ns,1
DBSCAN Clustering,Large/Smart,,,,889455127.0,ns,1
DBSCAN Clustering,Large/Smart,,,,909110405.0,ns,1
DBSCAN Clustering,Large/Smart,,,,879868307.0,ns,1
DBSCAN Clustering,Large/Smart,,,,879704305.0,ns,1
DBSCAN Clustering,Large/Smart,,,,882247340.0,ns,1
DBSCAN Clustering,Large/Smart,,,,884288068.0,ns,1
DBSCAN Clustering,Large/Smart,,,,864412995.0,ns,1
DBSCAN Clustering,Large/Smart,,,,877046668.0,ns,1
DBSCAN Clustering,Large/Smart,,,,867478837.0,ns,1
DBSCAN Clustering,Large/Smart,,,,843132402.0,ns,1
