group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Large/Smartcore,,,,910426623.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,930893313.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,841591545.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,840576590.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,880906753.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,852186392.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,835441713.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,931819250.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,856206714.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,875103123.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,878698025.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,865480218.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,876485428.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,876475216.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,887518696.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,808695039.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,870609426.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,882908804.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,851320161.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,837259887.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,835689990.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,846153536.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,860569670.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,846963263.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,830065757.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,862677171.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,898033986.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,821391252.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,824297153.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,821014152.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,844772919.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,865190132.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,907937339.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,871535954.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,907482464.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,870494954.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,841021245.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,842176045.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,871038054.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,883414582.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,888015637.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,839472208.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,855116617.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,862578122.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,850197114.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,832572904.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,842716310.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,867342924.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,846628447.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,835529798.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,847980901.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,808768888.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,844303900.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,842723300.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,840065399.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,875819012.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,819850092.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,817321891.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,870006548.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,887327655.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,911060065.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,831809333.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,816315027.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,871115349.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,903925362.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,887398855.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,907878524.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,912226350.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,921172246.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,892892760.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,910204351.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,857363478.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,830894990.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,872039586.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,884462525.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,854546623.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,816871697.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,835909548.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,859314388.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,823604779.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,843311003.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,856276714.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,848801412.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,843657010.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,844875511.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,824610587.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,852310679.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,841735066.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,833439555.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,849621275.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,844354869.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,859436487.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,841061664.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,836745107.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,850331197.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,880029586.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,846108636.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,846577837.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,846265236.0,ns,1
DBSCAN Clustering,Large/Smartcore,,,,826423608.0,ns,1
