group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Linfa,,,,994503.0,ns,103
DBSCAN Clustering,Linfa,,,,1987708.0,ns,206
DBSCAN Clustering,Linfa,,,,2985911.0,ns,309
DBSCAN Clustering,Linfa,,,,3984314.0,ns,412
DBSCAN Clustering,Linfa,,,,4976219.0,ns,515
DBSCAN Clustering,Linfa,,,,6023822.0,ns,618
DBSCAN Clustering,Linfa,,,,6966926.0,ns,721
DBSCAN Clustering,Linfa,,,,7973230.0,ns,824
DBSCAN Clustering,Linfa,,,,8996633.0,ns,927
DBSCAN Clustering,Linfa,,,,10005037.0,ns,1030
DBSCAN Clustering,Linfa,,,,10966141.0,ns,1133
DBSCAN Clustering,Linfa,,,,11986344.0,ns,1236
DBSCAN Clustering,Linfa,,,,12945548.0,ns,1339
DBSCAN Clustering,Linfa,,,,13954352.0,ns,1442
DBSCAN Clustering,Linfa,,,,14949055.0,ns,1545
DBSCAN Clustering,Linfa,,,,15980159.0,ns,1648
DBSCAN Clustering,Linfa,,,,16992663.0,ns,1751
DBSCAN Clustering,Linfa,,,,17970167.0,ns,1854
DBSCAN Clustering,Linfa,,,,18967670.0,ns,1957
DBSCAN Clustering,Linfa,,,,19957874.0,ns,2060
DBSCAN Clustering,Linfa,,,,20927178.0,ns,2163
DBSCAN Clustering,Linfa,,,,21937881.0,ns,2266
DBSCAN Clustering,Linfa,,,,22948785.0,ns,2369
DBSCAN Clustering,Linfa,,,,23951789.0,ns,2472
DBSCAN Clustering,Linfa,,,,24973492.0,ns,2575
DBSCAN Clustering,Linfa,,,,26014096.0,ns,2678
DBSCAN Clustering,Linfa,,,,26900900.0,ns,2781
DBSCAN Clustering,Linfa,,,,27936904.0,ns,2884
DBSCAN Clustering,Linfa,,,,28942207.0,ns,2987
DBSCAN Clustering,Linfa,,,,29932211.0,ns,3090
DBSCAN Clustering,Linfa,,,,30938314.0,ns,3193
DBSCAN Clustering,Linfa,,,,31915019.0,ns,3296
DBSCAN Clustering,Linfa,,,,32872721.0,ns,3399
DBSCAN Clustering,Linfa,,,,33887726.0,ns,3502
DBSCAN Clustering,Linfa,,,,34962330.0,ns,3605
DBSCAN Clustering,Linfa,,,,35908733.0,ns,3708
DBSCAN Clustering,Linfa,,,,36998637.0,ns,3811
DBSCAN Clustering,Linfa,,,,37890640.0,ns,3914
DBSCAN Clustering,Linfa,,,,38888544.0,ns,4017
DBSCAN Clustering,Linfa,,,,39960448.0,ns,4120
DBSCAN Clustering,Linfa,,,,40936552.0,ns,4223
DBSCAN Clustering,Linfa,,,,41940455.0,ns,4326
DBSCAN Clustering,Linfa,,,,42899559.0,ns,4429
DBSCAN Clustering,Linfa,,,,43878363.0,ns,4532
DBSCAN Clustering,Linfa,,,,44899566.0,ns,4635
DBSCAN Clustering,Linfa,,,,45844370.0,ns,4738
DBSCAN Clustering,Linfa,,,,46847674.0,ns,4841
DBSCAN Clustering,Linfa,,,,47977277.0,ns,4944
DBSCAN Clustering,Linfa,,,,48974882.0,ns,5047
DBSCAN Clustering,Linfa,,,,49863484.0,ns,5150
DBSCAN Clustering,Linfa,,,,50931789.0,ns,5253
DBSCAN Clustering,Linfa,,,,51860092.0,ns,5356
DBSCAN Clustering,Linfa,,,,52834896.0,ns,5459
DBSCAN Clustering,Linfa,,,,53795899.0,ns,5562
DBSCAN Clustering,Linfa,,,,54853704.0,ns,5665
DBSCAN Clustering,Linfa,,,,55899507.0,ns,5768
DBSCAN Clustering,Linfa,,,,57016211.0,ns,5871
DBSCAN Clustering,Linfa,,,,57858714.0,ns,5974
