group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Linfa,,,,979010.0,ns,116
DBSCAN Clustering,Linfa,,,,2016221.0,ns,232
DBSCAN Clustering,Linfa,,,,3016532.0,ns,348
DBSCAN Clustering,Linfa,,,,4010242.0,ns,464
DBSCAN Clustering,Linfa,,,,5095953.0,ns,580
DBSCAN Clustering,Linfa,,,,5874662.0,ns,696
DBSCAN Clustering,Linfa,,,,6947073.0,ns,812
DBSCAN Clustering,Linfa,,,,7873282.0,ns,928
DBSCAN Clustering,Linfa,,,,8897793.0,ns,1044
DBSCAN Clustering,Linfa,,,,10151007.0,ns,1160
DBSCAN Clustering,Linfa,,,,10926214.0,ns,1276
DBSCAN Clustering,Linfa,,,,11782824.0,ns,1392
DBSCAN Clustering,Linfa,,,,12936536.0,ns,1508
DBSCAN Clustering,Linfa,,,,13997146.0,ns,1624
DBSCAN Clustering,Linfa,,,,14856656.0,ns,1740
DBSCAN Clustering,Linfa,,,,15952267.0,ns,1856
DBSCAN Clustering,Linfa,,,,16976278.0,ns,1972
DBSCAN Clustering,Linfa,,,,17970989.0,ns,2088
DBSCAN Clustering,Linfa,,,,18990499.0,ns,2204
DBSCAN Clustering,Linfa,,,,19968509.0,ns,2320
DBSCAN Clustering,Linfa,,,,20858457.0,ns,2436
DBSCAN Clustering,Linfa,,,,22003031.0,ns,2552
DBSCAN Clustering,Linfa,,,,23078532.0,ns,2668
DBSCAN Clustering,Linfa,,,,23977433.0,ns,2784
DBSCAN Clustering,Linfa,,,,25132635.0,ns,2900
DBSCAN Clustering,Linfa,,,,26007636.0,ns,3016
DBSCAN Clustering,Linfa,,,,27109838.0,ns,3132
DBSCAN Clustering,Linfa,,,,28136639.0,ns,3248
DBSCAN Clustering,Linfa,,,,28838341.0,ns,3364
DBSCAN Clustering,Linfa,,,,29201340.0,ns,3480
DBSCAN Clustering,Linfa,,,,31106544.0,ns,3596
DBSCAN Clustering,Linfa,,,,31833244.0,ns,3712
DBSCAN Clustering,Linfa,,,,32908746.0,ns,3828
DBSCAN Clustering,Linfa,,,,34050847.0,ns,3944
DBSCAN Clustering,Linfa,,,,34968749.0,ns,4060
DBSCAN Clustering,Linfa,,,,35969950.0,ns,4176
DBSCAN Clustering,Linfa,,,,36991352.0,ns,4292
DBSCAN Clustering,Linfa,,,,37237951.0,ns,4408
DBSCAN Clustering,Linfa,,,,38942855.0,ns,4524
DBSCAN Clustering,Linfa,,,,40133756.0,ns,4640
DBSCAN Clustering,Linfa,,,,41061957.0,ns,4756
DBSCAN Clustering,Linfa,,,,41968058.0,ns,4872
DBSCAN Clustering,Linfa,,,,43108560.0,ns,4988
DBSCAN Clustering,Linfa,,,,43976362.0,ns,5104
DBSCAN Clustering,Linfa,,,,45131563.0,ns,5220
DBSCAN Clustering,Linfa,,,,46202364.0,ns,5336
DBSCAN Clustering,Linfa,,,,47009065.0,ns,5452
DBSCAN Clustering,Linfa,,,,47852867.0,ns,5568
DBSCAN Clustering,Linfa,,,,48242667.0,ns,5684
DBSCAN Clustering,Linfa,,,,49278569.0,ns,5800
DBSCAN Clustering,Linfa,,,,49791569.0,ns,5916
DBSCAN Clustering,Linfa,,,,51832773.0,ns,6032
DBSCAN Clustering,Linfa,,,,52572973.0,ns,6148
DBSCAN Clustering,Linfa,,,,54193775.0,ns,6264
DBSCAN Clustering,Linfa,,,,55097577.0,ns,6380
DBSCAN Clustering,Linfa,,,,55491777.0,ns,6496
DBSCAN Clustering,Linfa,,,,56220779.0,ns,6612
DBSCAN Clustering,Linfa,,,,57614180.0,ns,6728
DBSCAN Clustering,Linfa,,,,58545382.0,ns,6844
DBSCAN Clustering,Linfa,,,,58708681.0,ns,6960
DBSCAN Clustering,Linfa,,,,60619985.0,ns,7076
DBSCAN Clustering,Linfa,,,,62030986.0,ns,7192
DBSCAN Clustering,Linfa,,,,63102488.0,ns,7308
DBSCAN Clustering,Linfa,,,,64212090.0,ns,7424
DBSCAN Clustering,Linfa,,,,64079389.0,ns,7540
DBSCAN Clustering,Linfa,,,,65517091.0,ns,7656
DBSCAN Clustering,Linfa,,,,66166792.0,ns,7772
DBSCAN Clustering,Linfa,,,,65819792.0,ns,7888
DBSCAN Clustering,Linfa,,,,67530594.0,ns,8004
DBSCAN Clustering,Linfa,,,,68889396.0,ns,8120
DBSCAN Clustering,Linfa,,,,69438497.0,ns,8236
DBSCAN Clustering,Linfa,,,,71251799.0,ns,8352
DBSCAN Clustering,Linfa,,,,70969699.0,ns,8468
DBSCAN Clustering,Linfa,,,,72925902.0,ns,8584
DBSCAN Clustering,Linfa,,,,73572102.0,ns,8700
DBSCAN Clustering,Linfa,,,,73746403.0,ns,8816
DBSCAN Clustering,Linfa,,,,75245105.0,ns,8932
DBSCAN Clustering,Linfa,,,,76454406.0,ns,9048
DBSCAN Clustering,Linfa,,,,78382209.0,ns,9164
DBSCAN Clustering,Linfa,,,,79086711.0,ns,9280
DBSCAN Clustering,Linfa,,,,80350012.0,ns,9396
DBSCAN Clustering,Linfa,,,,80645812.0,ns,9512
DBSCAN Clustering,Linfa,,,,80809413.0,ns,9628
DBSCAN Clustering,Linfa,,,,81673513.0,ns,9744
DBSCAN Clustering,Linfa,,,,83054716.0,ns,9860
DBSCAN Clustering,Linfa,,,,83047416.0,ns,9976
DBSCAN Clustering,Linfa,,,,85295219.0,ns,10092
DBSCAN Clustering,Linfa,,,,84830418.0,ns,10208
DBSCAN Clustering,Linfa,,,,87462222.0,ns,10324
DBSCAN Clustering,Linfa,,,,88263523.0,ns,10440
DBSCAN Clustering,Linfa,,,,90117225.0,ns,10556
DBSCAN Clustering,Linfa,,,,90378226.0,ns,10672
DBSCAN Clustering,Linfa,,,,91008427.0,ns,10788
DBSCAN Clustering,Linfa,,,,92410729.0,ns,10904
DBSCAN Clustering,Linfa,,,,92218828.0,ns,11020
DBSCAN Clustering,Linfa,,,,94233331.0,ns,11136
DBSCAN Clustering,Linfa,,,,94334732.0,ns,11252
DBSCAN Clustering,Linfa,,,,96106734.0,ns,11368
DBSCAN Clustering,Linfa,,,,97477636.0,ns,11484
DBSCAN Clustering,Linfa,,,,99385638.0,ns,11600
