group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Medium/Linfa,,,,53286134.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53051231.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54458050.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54228247.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52880228.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,55007858.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53286034.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,55182560.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52618824.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53766240.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52373321.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52968929.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52053217.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53570138.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53089931.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53225833.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54176346.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53695739.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,55166760.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53978643.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,55101059.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,56075072.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53732840.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53749540.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,51902015.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,55485264.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54402949.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53982343.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,55178660.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52221519.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52278920.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53298834.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52497821.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,51701810.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53243332.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52353519.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53144030.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53997942.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53361833.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53866139.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54290546.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54539549.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54444147.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54440548.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,55253459.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53610537.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53483935.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,55830367.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54913454.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,51684810.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53486835.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54018142.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53314932.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54184644.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52595623.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54874254.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53419033.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53128629.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52687323.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,52501621.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53619636.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,51882412.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54217744.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53145830.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54260245.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,55133757.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,53443634.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,51993814.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54921654.0,ns,12
DBSCAN Clustering,Medium/Linfa,,,,54581849.0,ns,12
