group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Medium/Linfa,,,,51502356.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,48353953.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53110959.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50973556.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,54319160.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51405157.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50353055.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49563754.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,55040861.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50216055.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,56145261.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,47518152.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49401555.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,47175852.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51499557.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,56228862.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,58462465.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,60230266.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53330759.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51472058.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,54003985.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,55202189.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53061803.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,61640748.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51379657.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53730461.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53097907.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49863126.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49978035.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51365456.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50646593.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52736475.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52878387.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52820282.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49033653.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,57339574.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,54248006.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,47617231.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49809621.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50453277.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51770891.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50903516.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53531644.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,48988049.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51738288.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,54623738.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,55282296.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50450176.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52951994.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49795819.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,54069590.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50968922.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,48974049.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49311178.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51143437.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51310151.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50605490.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,56754723.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49695311.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49321579.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50290763.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,58696192.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51630879.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52561660.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52853485.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53090005.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,48990550.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50312965.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50398472.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50990623.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49355782.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52921391.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49850925.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52636266.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51554372.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50906616.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49498294.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51654381.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51130036.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53669356.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,49854825.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,54063590.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,48361895.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,55105580.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,56401092.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51692284.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53984883.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53288223.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,55184987.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,50916017.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,57114255.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,53587248.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,56526204.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52596863.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,48333193.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,56447097.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,51296050.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,52159924.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,54658598.0,ns,11
DBSCAN Clustering,Medium/Linfa,,,,56028308.0,ns,11
