group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Medium/Smart,,,,54939423.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54312467.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54604594.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54641197.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54364272.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,53702312.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,53906531.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54505284.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54231660.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,55253551.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54701802.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54209457.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54224159.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,53579202.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54575391.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54011040.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54818912.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54902220.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54968326.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54281764.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54223359.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54444679.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54104448.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,53893930.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54745806.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54091947.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54697802.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54354471.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54603393.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,53984137.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54256662.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54335070.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54667299.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54405375.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54134952.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54495884.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54564390.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,53585801.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,55684390.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54492883.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54694002.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,53821623.0,ns,5
DBSCAN Clustering,Medium/Smart,,,,54211058.0,ns,5
