group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Medium/Smart,,,,56986640.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57975254.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57759751.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57753650.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58847465.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57928753.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57917653.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58451059.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57849151.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58242257.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58380058.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58220157.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,59290570.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57571848.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58062254.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57795551.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58170056.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58007254.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58145955.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57526648.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58427659.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58277557.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57667849.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58011654.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57737150.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57221944.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,59471873.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57667449.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57435247.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58745664.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58068255.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57607149.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57290244.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58193756.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58656362.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57202843.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57605749.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58093555.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,56420233.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57487547.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57535047.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57754351.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57605949.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57700250.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57750350.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58927466.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57838152.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57321744.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58077855.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,56732337.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57768451.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58074854.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57750350.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58146256.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58299358.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57512547.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57310645.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58053754.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58842165.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58349559.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58188356.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57220144.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58878865.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58296257.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58263257.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,59883879.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,59241070.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58762864.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57687950.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57708450.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57838751.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58858365.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58245356.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58629262.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,56973141.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58699663.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57420946.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57685849.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57913453.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57650850.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57366345.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57875352.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58157556.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57731052.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,58406005.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,59197616.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57507493.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57131888.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57053086.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57518992.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,57493992.0,ns,7
DBSCAN Clustering,Medium/Smart,,,,56806083.0,ns,7
