group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Medium/Smartcore,,,,55309673.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55389273.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54322173.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55510473.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55004874.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55282073.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55409273.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55150174.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55635273.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55596373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55701673.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54813173.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54527973.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55221673.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55350973.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55938373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55969872.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55948273.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56210573.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56403072.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55225473.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54936873.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54503874.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54879874.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55291574.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54066574.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54264974.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,53623574.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55009573.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55129173.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54758073.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56072473.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55691773.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54912773.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55874973.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55072473.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55887473.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56179073.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55887173.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55462873.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55347274.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55198773.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55120073.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55019973.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55375373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56044173.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56028273.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55350373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55242074.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56294073.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55940573.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54818573.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55265073.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54851974.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54656974.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55035274.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54098574.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55250174.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55319073.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55310773.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55509573.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55495473.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55546073.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55525573.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55947173.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55895373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54764673.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55183373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55396373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55230473.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56123173.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55355273.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55082473.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55157673.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56150373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55876372.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55093373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54248873.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56126373.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55388573.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54445174.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55468973.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54696673.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55142273.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54805773.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55688473.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54804573.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54794073.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55224173.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55899358.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55831541.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54628542.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54026843.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55583241.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54369043.0,ns,6
