group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Medium/Smartcore,,,,60046705.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56458405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54893004.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,57947905.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,58764305.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59162605.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,57287005.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59126405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,62194005.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55950404.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,53216104.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55795405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,53820304.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59694905.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59313705.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55662105.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,53700304.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54691105.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54796704.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54357705.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,58034805.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54519804.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,60197405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59135805.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,58503805.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59533405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56598805.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,58689405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,57993604.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55976505.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56406905.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56467004.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,68498106.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,62779605.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,62615606.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59974105.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56057904.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54384405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54074904.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54601205.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55769804.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,57182104.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55074605.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55938105.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56100604.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54135105.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54900204.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,53899005.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56722405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,68846905.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54661105.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,57106405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,56546704.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55249705.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,54247604.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,58075705.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59116805.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55380205.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,65494905.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59675305.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,57572105.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,55711405.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,52054504.0,ns,6
DBSCAN Clustering,Medium/Smartcore,,,,59040305.0,ns,6
