group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Small/Linfa,,,,1068015.0,ns,12
DBSCAN Clustering,Small/Linfa,,,,2450334.0,ns,24
DBSCAN Clustering,Small/Linfa,,,,3711451.0,ns,36
DBSCAN Clustering,Small/Linfa,,,,4619563.0,ns,48
DBSCAN Clustering,Small/Linfa,,,,5271372.0,ns,60
DBSCAN Clustering,Small/Linfa,,,,6220786.0,ns,72
DBSCAN Clustering,Small/Linfa,,,,7742707.0,ns,84
DBSCAN Clustering,Small/Linfa,,,,9199127.0,ns,96
DBSCAN Clustering,Small/Linfa,,,,10245241.0,ns,108
DBSCAN Clustering,Small/Linfa,,,,11634061.0,ns,120
DBSCAN Clustering,Small/Linfa,,,,12936378.0,ns,132
DBSCAN Clustering,Small/Linfa,,,,13846991.0,ns,144
DBSCAN Clustering,Small/Linfa,,,,13316983.0,ns,156
DBSCAN Clustering,Small/Linfa,,,,15694617.0,ns,168
DBSCAN Clustering,Small/Linfa,,,,17280339.0,ns,180
DBSCAN Clustering,Small/Linfa,,,,16836732.0,ns,192
DBSCAN Clustering,Small/Linfa,,,,18578657.0,ns,204
DBSCAN Clustering,Small/Linfa,,,,18764159.0,ns,216
DBSCAN Clustering,Small/Linfa,,,,20059376.0,ns,228
DBSCAN Clustering,Small/Linfa,,,,20839087.0,ns,240
DBSCAN Clustering,Small/Linfa,,,,22539511.0,ns,252
DBSCAN Clustering,Small/Linfa,,,,23180020.0,ns,264
DBSCAN Clustering,Small/Linfa,,,,28848098.0,ns,276
DBSCAN Clustering,Small/Linfa,,,,27753183.0,ns,288
DBSCAN Clustering,Small/Linfa,,,,25866056.0,ns,300
DBSCAN Clustering,Small/Linfa,,,,26481966.0,ns,312
DBSCAN Clustering,Small/Linfa,,,,29323704.0,ns,324
DBSCAN Clustering,Small/Linfa,,,,34604977.0,ns,336
DBSCAN Clustering,Small/Linfa,,,,37229214.0,ns,348
DBSCAN Clustering,Small/Linfa,,,,31516535.0,ns,360
DBSCAN Clustering,Small/Linfa,,,,35419689.0,ns,372
DBSCAN Clustering,Small/Linfa,,,,33987669.0,ns,384
DBSCAN Clustering,Small/Linfa,,,,34379674.0,ns,396
DBSCAN Clustering,Small/Linfa,,,,35533590.0,ns,408
DBSCAN Clustering,Small/Linfa,,,,36440702.0,ns,420
DBSCAN Clustering,Small/Linfa,,,,36616005.0,ns,432
DBSCAN Clustering,Small/Linfa,,,,42721089.0,ns,444
DBSCAN Clustering,Small/Linfa,,,,48581870.0,ns,456
DBSCAN Clustering,Small/Linfa,,,,41632874.0,ns,468
DBSCAN Clustering,Small/Linfa,,,,41068466.0,ns,480
DBSCAN Clustering,Small/Linfa,,,,52070818.0,ns,492
DBSCAN Clustering,Small/Linfa,,,,43335098.0,ns,504
DBSCAN Clustering,Small/Linfa,,,,45405026.0,ns,516
DBSCAN Clustering,Small/Linfa,,,,45241424.0,ns,528
DBSCAN Clustering,Small/Linfa,,,,48432068.0,ns,540
DBSCAN Clustering,Small/Linfa,,,,56426779.0,ns,552
DBSCAN Clustering,Small/Linfa,,,,48384467.0,ns,564
DBSCAN Clustering,Small/Linfa,,,,49126578.0,ns,576
DBSCAN Clustering,Small/Linfa,,,,58197503.0,ns,588
DBSCAN Clustering,Small/Linfa,,,,50843902.0,ns,600
DBSCAN Clustering,Small/Linfa,,,,51151105.0,ns,612
DBSCAN Clustering,Small/Linfa,,,,53562138.0,ns,624
DBSCAN Clustering,Small/Linfa,,,,59989627.0,ns,636
DBSCAN Clustering,Small/Linfa,,,,67591533.0,ns,648
DBSCAN Clustering,Small/Linfa,,,,61620450.0,ns,660
DBSCAN Clustering,Small/Linfa,,,,67508031.0,ns,672
DBSCAN Clustering,Small/Linfa,,,,59027914.0,ns,684
DBSCAN Clustering,Small/Linfa,,,,71947893.0,ns,696
DBSCAN Clustering,Small/Linfa,,,,63361674.0,ns,708
DBSCAN Clustering,Small/Linfa,,,,62040556.0,ns,720
DBSCAN Clustering,Small/Linfa,,,,63904781.0,ns,732
DBSCAN Clustering,Small/Linfa,,,,64692092.0,ns,744
DBSCAN Clustering,Small/Linfa,,,,69430458.0,ns,756
DBSCAN Clustering,Small/Linfa,,,,68433144.0,ns,768
DBSCAN Clustering,Small/Linfa,,,,70507673.0,ns,780
DBSCAN Clustering,Small/Linfa,,,,74747531.0,ns,792
DBSCAN Clustering,Small/Linfa,,,,73238111.0,ns,804
DBSCAN Clustering,Small/Linfa,,,,69927764.0,ns,816
DBSCAN Clustering,Small/Linfa,,,,80636612.0,ns,828
DBSCAN Clustering,Small/Linfa,,,,72548401.0,ns,840
DBSCAN Clustering,Small/Linfa,,,,80960617.0,ns,852
DBSCAN Clustering,Small/Linfa,,,,78295280.0,ns,864
DBSCAN Clustering,Small/Linfa,,,,82599040.0,ns,876
DBSCAN Clustering,Small/Linfa,,,,76913561.0,ns,888
DBSCAN Clustering,Small/Linfa,,,,77161964.0,ns,900
DBSCAN Clustering,Small/Linfa,,,,91263659.0,ns,912
DBSCAN Clustering,Small/Linfa,,,,81282421.0,ns,924
DBSCAN Clustering,Small/Linfa,,,,87394606.0,ns,936
DBSCAN Clustering,Small/Linfa,,,,84554167.0,ns,948
DBSCAN Clustering,Small/Linfa,,,,86357391.0,ns,960
DBSCAN Clustering,Small/Linfa,,,,81935130.0,ns,972
DBSCAN Clustering,Small/Linfa,,,,101764904.0,ns,984
DBSCAN Clustering,Small/Linfa,,,,90000541.0,ns,996
DBSCAN Clustering,Small/Linfa,,,,96377829.0,ns,1008
DBSCAN Clustering,Small/Linfa,,,,98530460.0,ns,1020
DBSCAN Clustering,Small/Linfa,,,,102929620.0,ns,1032
DBSCAN Clustering,Small/Linfa,,,,95957024.0,ns,1044
DBSCAN Clustering,Small/Linfa,,,,94203399.0,ns,1056
DBSCAN Clustering,Small/Linfa,,,,104527942.0,ns,1068
DBSCAN Clustering,Small/Linfa,,,,104581243.0,ns,1080
DBSCAN Clustering,Small/Linfa,,,,99714576.0,ns,1092
DBSCAN Clustering,Small/Linfa,,,,93998797.0,ns,1104
DBSCAN Clustering,Small/Linfa,,,,103852033.0,ns,1116
DBSCAN Clustering,Small/Linfa,,,,101630602.0,ns,1128
DBSCAN Clustering,Small/Linfa,,,,110638126.0,ns,1140
DBSCAN Clustering,Small/Linfa,,,,103375226.0,ns,1152
DBSCAN Clustering,Small/Linfa,,,,103828832.0,ns,1164
DBSCAN Clustering,Small/Linfa,,,,111790443.0,ns,1176
DBSCAN Clustering,Small/Linfa,,,,112086446.0,ns,1188
DBSCAN Clustering,Small/Linfa,,,,103299526.0,ns,1200
