group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Small/Linfa,,,,1178814.0,ns,12
DBSCAN Clustering,Small/Linfa,,,,2148627.0,ns,24
DBSCAN Clustering,Small/Linfa,,,,3129738.0,ns,36
DBSCAN Clustering,Small/Linfa,,,,4387754.0,ns,48
DBSCAN Clustering,Small/Linfa,,,,4959760.0,ns,60
DBSCAN Clustering,Small/Linfa,,,,6041774.0,ns,72
DBSCAN Clustering,Small/Linfa,,,,7069586.0,ns,84
DBSCAN Clustering,Small/Linfa,,,,7932697.0,ns,96
DBSCAN Clustering,Small/Linfa,,,,9429215.0,ns,108
DBSCAN Clustering,Small/Linfa,,,,10649730.0,ns,120
DBSCAN Clustering,Small/Linfa,,,,11067435.0,ns,132
DBSCAN Clustering,Small/Linfa,,,,11982047.0,ns,144
DBSCAN Clustering,Small/Linfa,,,,14131872.0,ns,156
DBSCAN Clustering,Small/Linfa,,,,14012371.0,ns,168
DBSCAN Clustering,Small/Linfa,,,,15765292.0,ns,180
DBSCAN Clustering,Small/Linfa,,,,17727316.0,ns,192
DBSCAN Clustering,Small/Linfa,,,,19851943.0,ns,204
DBSCAN Clustering,Small/Linfa,,,,19872843.0,ns,216
DBSCAN Clustering,Small/Linfa,,,,19096233.0,ns,228
DBSCAN Clustering,Small/Linfa,,,,19764942.0,ns,240
DBSCAN Clustering,Small/Linfa,,,,20768553.0,ns,252
DBSCAN Clustering,Small/Linfa,,,,24770102.0,ns,264
DBSCAN Clustering,Small/Linfa,,,,25697514.0,ns,276
DBSCAN Clustering,Small/Linfa,,,,25677714.0,ns,288
DBSCAN Clustering,Small/Linfa,,,,24616001.0,ns,300
DBSCAN Clustering,Small/Linfa,,,,25764014.0,ns,312
DBSCAN Clustering,Small/Linfa,,,,26674425.0,ns,324
DBSCAN Clustering,Small/Linfa,,,,31228481.0,ns,336
DBSCAN Clustering,Small/Linfa,,,,29024754.0,ns,348
DBSCAN Clustering,Small/Linfa,,,,29921965.0,ns,360
DBSCAN Clustering,Small/Linfa,,,,31512785.0,ns,372
DBSCAN Clustering,Small/Linfa,,,,31320083.0,ns,384
DBSCAN Clustering,Small/Linfa,,,,32624298.0,ns,396
DBSCAN Clustering,Small/Linfa,,,,34166517.0,ns,408
DBSCAN Clustering,Small/Linfa,,,,34505221.0,ns,420
DBSCAN Clustering,Small/Linfa,,,,36088040.0,ns,432
DBSCAN Clustering,Small/Linfa,,,,36544347.0,ns,444
DBSCAN Clustering,Small/Linfa,,,,38848874.0,ns,456
DBSCAN Clustering,Small/Linfa,,,,42670022.0,ns,468
DBSCAN Clustering,Small/Linfa,,,,38613671.0,ns,480
DBSCAN Clustering,Small/Linfa,,,,46857573.0,ns,492
DBSCAN Clustering,Small/Linfa,,,,41286204.0,ns,504
DBSCAN Clustering,Small/Linfa,,,,44085939.0,ns,516
DBSCAN Clustering,Small/Linfa,,,,44569344.0,ns,528
DBSCAN Clustering,Small/Linfa,,,,46652870.0,ns,540
DBSCAN Clustering,Small/Linfa,,,,52458941.0,ns,552
DBSCAN Clustering,Small/Linfa,,,,55287675.0,ns,564
DBSCAN Clustering,Small/Linfa,,,,46193264.0,ns,576
DBSCAN Clustering,Small/Linfa,,,,48755696.0,ns,588
DBSCAN Clustering,Small/Linfa,,,,53215150.0,ns,600
DBSCAN Clustering,Small/Linfa,,,,54278063.0,ns,612
DBSCAN Clustering,Small/Linfa,,,,51160725.0,ns,624
DBSCAN Clustering,Small/Linfa,,,,59598528.0,ns,636
DBSCAN Clustering,Small/Linfa,,,,61243748.0,ns,648
DBSCAN Clustering,Small/Linfa,,,,63675878.0,ns,660
DBSCAN Clustering,Small/Linfa,,,,61359949.0,ns,672
DBSCAN Clustering,Small/Linfa,,,,56254687.0,ns,684
DBSCAN Clustering,Small/Linfa,,,,66123608.0,ns,696
DBSCAN Clustering,Small/Linfa,,,,58695217.0,ns,708
DBSCAN Clustering,Small/Linfa,,,,64034282.0,ns,720
DBSCAN Clustering,Small/Linfa,,,,65217197.0,ns,732
DBSCAN Clustering,Small/Linfa,,,,60985915.0,ns,744
DBSCAN Clustering,Small/Linfa,,,,65917037.0,ns,756
DBSCAN Clustering,Small/Linfa,,,,61920975.0,ns,768
DBSCAN Clustering,Small/Linfa,,,,65234726.0,ns,780
DBSCAN Clustering,Small/Linfa,,,,82427097.0,ns,792
DBSCAN Clustering,Small/Linfa,,,,70805314.0,ns,804
DBSCAN Clustering,Small/Linfa,,,,80479366.0,ns,816
DBSCAN Clustering,Small/Linfa,,,,72253536.0,ns,828
DBSCAN Clustering,Small/Linfa,,,,75039380.0,ns,840
DBSCAN Clustering,Small/Linfa,,,,73982664.0,ns,852
DBSCAN Clustering,Small/Linfa,,,,84763733.0,ns,864
DBSCAN Clustering,Small/Linfa,,,,74869778.0,ns,876
DBSCAN Clustering,Small/Linfa,,,,79555252.0,ns,888
DBSCAN Clustering,Small/Linfa,,,,82305095.0,ns,900
DBSCAN Clustering,Small/Linfa,,,,80372865.0,ns,912
DBSCAN Clustering,Small/Linfa,,,,84456829.0,ns,924
DBSCAN Clustering,Small/Linfa,,,,85593646.0,ns,936
DBSCAN Clustering,Small/Linfa,,,,87603878.0,ns,948
DBSCAN Clustering,Small/Linfa,,,,79908957.0,ns,960
DBSCAN Clustering,Small/Linfa,,,,87837182.0,ns,972
DBSCAN Clustering,Small/Linfa,,,,82366695.0,ns,984
DBSCAN Clustering,Small/Linfa,,,,81168576.0,ns,996
DBSCAN Clustering,Small/Linfa,,,,88895998.0,ns,1008
DBSCAN Clustering,Small/Linfa,,,,84431728.0,ns,1020
DBSCAN Clustering,Small/Linfa,,,,85738149.0,ns,1032
DBSCAN Clustering,Small/Linfa,,,,87136971.0,ns,1044
DBSCAN Clustering,Small/Linfa,,,,95869908.0,ns,1056
DBSCAN Clustering,Small/Linfa,,,,109721726.0,ns,1068
DBSCAN Clustering,Small/Linfa,,,,96664821.0,ns,1080
DBSCAN Clustering,Small/Linfa,,,,90363022.0,ns,1092
DBSCAN Clustering,Small/Linfa,,,,92771459.0,ns,1104
DBSCAN Clustering,Small/Linfa,,,,93020963.0,ns,1116
DBSCAN Clustering,Small/Linfa,,,,97743038.0,ns,1128
DBSCAN Clustering,Small/Linfa,,,,93844076.0,ns,1140
DBSCAN Clustering,Small/Linfa,,,,103686031.0,ns,1152
DBSCAN Clustering,Small/Linfa,,,,109807527.0,ns,1164
