group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Small/Smart,,,,1044614.0,ns,6
DBSCAN Clustering,Small/Smart,,,,2063428.0,ns,12
DBSCAN Clustering,Small/Smart,,,,3275944.0,ns,18
DBSCAN Clustering,Small/Smart,,,,4049655.0,ns,24
DBSCAN Clustering,Small/Smart,,,,5125570.0,ns,30
DBSCAN Clustering,Small/Smart,,,,5838879.0,ns,36
DBSCAN Clustering,Small/Smart,,,,6780992.0,ns,42
DBSCAN Clustering,Small/Smart,,,,8361813.0,ns,48
DBSCAN Clustering,Small/Smart,,,,9235325.0,ns,54
DBSCAN Clustering,Small/Smart,,,,10500542.0,ns,60
DBSCAN Clustering,Small/Smart,,,,11334853.0,ns,66
DBSCAN Clustering,Small/Smart,,,,12737772.0,ns,72
DBSCAN Clustering,Small/Smart,,,,13705085.0,ns,78
DBSCAN Clustering,Small/Smart,,,,14189692.0,ns,84
DBSCAN Clustering,Small/Smart,,,,14881401.0,ns,90
DBSCAN Clustering,Small/Smart,,,,16506023.0,ns,96
DBSCAN Clustering,Small/Smart,,,,17167431.0,ns,102
DBSCAN Clustering,Small/Smart,,,,18730153.0,ns,108
DBSCAN Clustering,Small/Smart,,,,19211559.0,ns,114
DBSCAN Clustering,Small/Smart,,,,20452876.0,ns,120
DBSCAN Clustering,Small/Smart,,,,21842195.0,ns,126
DBSCAN Clustering,Small/Smart,,,,22775908.0,ns,132
DBSCAN Clustering,Small/Smart,,,,24420830.0,ns,138
DBSCAN Clustering,Small/Smart,,,,24556632.0,ns,144
DBSCAN Clustering,Small/Smart,,,,25405643.0,ns,150
DBSCAN Clustering,Small/Smart,,,,26257555.0,ns,156
DBSCAN Clustering,Small/Smart,,,,25913850.0,ns,162
DBSCAN Clustering,Small/Smart,,,,28037078.0,ns,168
DBSCAN Clustering,Small/Smart,,,,30038906.0,ns,174
DBSCAN Clustering,Small/Smart,,,,30298709.0,ns,180
DBSCAN Clustering,Small/Smart,,,,31008218.0,ns,186
DBSCAN Clustering,Small/Smart,,,,32999145.0,ns,192
DBSCAN Clustering,Small/Smart,,,,33911958.0,ns,198
DBSCAN Clustering,Small/Smart,,,,32740342.0,ns,204
DBSCAN Clustering,Small/Smart,,,,35701782.0,ns,210
DBSCAN Clustering,Small/Smart,,,,35644381.0,ns,216
DBSCAN Clustering,Small/Smart,,,,37379205.0,ns,222
DBSCAN Clustering,Small/Smart,,,,38404219.0,ns,228
DBSCAN Clustering,Small/Smart,,,,39563634.0,ns,234
DBSCAN Clustering,Small/Smart,,,,41761864.0,ns,240
DBSCAN Clustering,Small/Smart,,,,41932866.0,ns,246
DBSCAN Clustering,Small/Smart,,,,44824305.0,ns,252
DBSCAN Clustering,Small/Smart,,,,43703890.0,ns,258
DBSCAN Clustering,Small/Smart,,,,45141909.0,ns,264
DBSCAN Clustering,Small/Smart,,,,46730931.0,ns,270
DBSCAN Clustering,Small/Smart,,,,45530315.0,ns,276
DBSCAN Clustering,Small/Smart,,,,47590342.0,ns,282
DBSCAN Clustering,Small/Smart,,,,49428767.0,ns,288
DBSCAN Clustering,Small/Smart,,,,48624756.0,ns,294
DBSCAN Clustering,Small/Smart,,,,49922875.0,ns,300
DBSCAN Clustering,Small/Smart,,,,51096990.0,ns,306
DBSCAN Clustering,Small/Smart,,,,54164432.0,ns,312
DBSCAN Clustering,Small/Smart,,,,59100098.0,ns,318
DBSCAN Clustering,Small/Smart,,,,55534250.0,ns,324
DBSCAN Clustering,Small/Smart,,,,55513050.0,ns,330
DBSCAN Clustering,Small/Smart,,,,59878409.0,ns,336
DBSCAN Clustering,Small/Smart,,,,55407748.0,ns,342
DBSCAN Clustering,Small/Smart,,,,60001510.0,ns,348
