group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Small/Smart,,,,1138415.0,ns,7
DBSCAN Clustering,Small/Smart,,,,2043427.0,ns,14
DBSCAN Clustering,Small/Smart,,,,3220243.0,ns,21
DBSCAN Clustering,Small/Smart,,,,4210856.0,ns,28
DBSCAN Clustering,Small/Smart,,,,5383073.0,ns,35
DBSCAN Clustering,Small/Smart,,,,6532788.0,ns,42
DBSCAN Clustering,Small/Smart,,,,7711203.0,ns,49
DBSCAN Clustering,Small/Smart,,,,8965581.0,ns,56
DBSCAN Clustering,Small/Smart,,,,9637780.0,ns,63
DBSCAN Clustering,Small/Smart,,,,11123093.0,ns,70
DBSCAN Clustering,Small/Smart,,,,11999999.0,ns,77
DBSCAN Clustering,Small/Smart,,,,13105709.0,ns,84
DBSCAN Clustering,Small/Smart,,,,14146117.0,ns,91
DBSCAN Clustering,Small/Smart,,,,15477628.0,ns,98
DBSCAN Clustering,Small/Smart,,,,17783448.0,ns,105
DBSCAN Clustering,Small/Smart,,,,17194642.0,ns,112
DBSCAN Clustering,Small/Smart,,,,17965749.0,ns,119
DBSCAN Clustering,Small/Smart,,,,19197059.0,ns,126
DBSCAN Clustering,Small/Smart,,,,20824373.0,ns,133
DBSCAN Clustering,Small/Smart,,,,21209576.0,ns,140
DBSCAN Clustering,Small/Smart,,,,22167183.0,ns,147
DBSCAN Clustering,Small/Smart,,,,23184892.0,ns,154
DBSCAN Clustering,Small/Smart,,,,24612003.0,ns,161
DBSCAN Clustering,Small/Smart,,,,25675213.0,ns,168
DBSCAN Clustering,Small/Smart,,,,27148825.0,ns,175
DBSCAN Clustering,Small/Smart,,,,28465136.0,ns,182
DBSCAN Clustering,Small/Smart,,,,29466444.0,ns,189
DBSCAN Clustering,Small/Smart,,,,29849447.0,ns,196
DBSCAN Clustering,Small/Smart,,,,31357960.0,ns,203
DBSCAN Clustering,Small/Smart,,,,33511578.0,ns,210
DBSCAN Clustering,Small/Smart,,,,34414185.0,ns,217
DBSCAN Clustering,Small/Smart,,,,33032273.0,ns,224
DBSCAN Clustering,Small/Smart,,,,35591094.0,ns,231
DBSCAN Clustering,Small/Smart,,,,37787413.0,ns,238
DBSCAN Clustering,Small/Smart,,,,36299901.0,ns,245
DBSCAN Clustering,Small/Smart,,,,38029215.0,ns,252
DBSCAN Clustering,Small/Smart,,,,38779721.0,ns,259
DBSCAN Clustering,Small/Smart,,,,42337351.0,ns,266
DBSCAN Clustering,Small/Smart,,,,41866846.0,ns,273
DBSCAN Clustering,Small/Smart,,,,43260058.0,ns,280
DBSCAN Clustering,Small/Smart,,,,44471668.0,ns,287
DBSCAN Clustering,Small/Smart,,,,44426368.0,ns,294
DBSCAN Clustering,Small/Smart,,,,47096990.0,ns,301
DBSCAN Clustering,Small/Smart,,,,49170107.0,ns,308
DBSCAN Clustering,Small/Smart,,,,49366508.0,ns,315
DBSCAN Clustering,Small/Smart,,,,49284908.0,ns,322
DBSCAN Clustering,Small/Smart,,,,53665444.0,ns,329
