group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Small/Smartcore,,,,1028900.0,ns,6
DBSCAN Clustering,Small/Smartcore,,,,1922501.0,ns,12
DBSCAN Clustering,Small/Smartcore,,,,4297101.0,ns,18
DBSCAN Clustering,Small/Smartcore,,,,4212401.0,ns,24
DBSCAN Clustering,Small/Smartcore,,,,4928300.0,ns,30
DBSCAN Clustering,Small/Smartcore,,,,5419800.0,ns,36
DBSCAN Clustering,Small/Smartcore,,,,6720499.0,ns,42
DBSCAN Clustering,Small/Smartcore,,,,7526500.0,ns,48
DBSCAN Clustering,Small/Smartcore,,,,8955399.0,ns,54
DBSCAN Clustering,Small/Smartcore,,,,10272199.0,ns,60
DBSCAN Clustering,Small/Smartcore,,,,11083399.0,ns,66
DBSCAN Clustering,Small/Smartcore,,,,12756299.0,ns,72
DBSCAN Clustering,Small/Smartcore,,,,13284199.0,ns,78
DBSCAN Clustering,Small/Smartcore,,,,13800599.0,ns,84
DBSCAN Clustering,Small/Smartcore,,,,15107099.0,ns,90
DBSCAN Clustering,Small/Smartcore,,,,15475699.0,ns,96
DBSCAN Clustering,Small/Smartcore,,,,17500399.0,ns,102
DBSCAN Clustering,Small/Smartcore,,,,20150298.0,ns,108
DBSCAN Clustering,Small/Smartcore,,,,18397299.0,ns,114
DBSCAN Clustering,Small/Smartcore,,,,25394398.0,ns,120
DBSCAN Clustering,Small/Smartcore,,,,19970998.0,ns,126
DBSCAN Clustering,Small/Smartcore,,,,26539698.0,ns,132
DBSCAN Clustering,Small/Smartcore,,,,27584198.0,ns,138
DBSCAN Clustering,Small/Smartcore,,,,27355198.0,ns,144
DBSCAN Clustering,Small/Smartcore,,,,26842498.0,ns,150
DBSCAN Clustering,Small/Smartcore,,,,29286298.0,ns,156
DBSCAN Clustering,Small/Smartcore,,,,33270998.0,ns,162
DBSCAN Clustering,Small/Smartcore,,,,35548397.0,ns,168
DBSCAN Clustering,Small/Smartcore,,,,31315798.0,ns,174
DBSCAN Clustering,Small/Smartcore,,,,30557597.0,ns,180
DBSCAN Clustering,Small/Smartcore,,,,36905398.0,ns,186
DBSCAN Clustering,Small/Smartcore,,,,34019697.0,ns,192
DBSCAN Clustering,Small/Smartcore,,,,34935597.0,ns,198
DBSCAN Clustering,Small/Smartcore,,,,34929398.0,ns,204
DBSCAN Clustering,Small/Smartcore,,,,34884197.0,ns,210
DBSCAN Clustering,Small/Smartcore,,,,38920597.0,ns,216
DBSCAN Clustering,Small/Smartcore,,,,40136597.0,ns,222
DBSCAN Clustering,Small/Smartcore,,,,39372697.0,ns,228
DBSCAN Clustering,Small/Smartcore,,,,39725997.0,ns,234
DBSCAN Clustering,Small/Smartcore,,,,41311897.0,ns,240
DBSCAN Clustering,Small/Smartcore,,,,47031497.0,ns,246
DBSCAN Clustering,Small/Smartcore,,,,44435796.0,ns,252
DBSCAN Clustering,Small/Smartcore,,,,43960997.0,ns,258
DBSCAN Clustering,Small/Smartcore,,,,44211497.0,ns,264
DBSCAN Clustering,Small/Smartcore,,,,46679596.0,ns,270
DBSCAN Clustering,Small/Smartcore,,,,48112597.0,ns,276
DBSCAN Clustering,Small/Smartcore,,,,57084895.0,ns,282
DBSCAN Clustering,Small/Smartcore,,,,50721897.0,ns,288
DBSCAN Clustering,Small/Smartcore,,,,56287695.0,ns,294
DBSCAN Clustering,Small/Smartcore,,,,57093496.0,ns,300
DBSCAN Clustering,Small/Smartcore,,,,54905196.0,ns,306
DBSCAN Clustering,Small/Smartcore,,,,52516396.0,ns,312
DBSCAN Clustering,Small/Smartcore,,,,60353596.0,ns,318
DBSCAN Clustering,Small/Smartcore,,,,56500195.0,ns,324
DBSCAN Clustering,Small/Smartcore,,,,56688196.0,ns,330
DBSCAN Clustering,Small/Smartcore,,,,56224396.0,ns,336
DBSCAN Clustering,Small/Smartcore,,,,63740895.0,ns,342
DBSCAN Clustering,Small/Smartcore,,,,61542695.0,ns,348
DBSCAN Clustering,Small/Smartcore,,,,60639396.0,ns,354
DBSCAN Clustering,Small/Smartcore,,,,61504895.0,ns,360
DBSCAN Clustering,Small/Smartcore,,,,61770396.0,ns,366
DBSCAN Clustering,Small/Smartcore,,,,64292895.0,ns,372
DBSCAN Clustering,Small/Smartcore,,,,67262495.0,ns,378
DBSCAN Clustering,Small/Smartcore,,,,67075095.0,ns,384
DBSCAN Clustering,Small/Smartcore,,,,78679794.0,ns,390
DBSCAN Clustering,Small/Smartcore,,,,73062894.0,ns,396
DBSCAN Clustering,Small/Smartcore,,,,70451795.0,ns,402
DBSCAN Clustering,Small/Smartcore,,,,73574595.0,ns,408
DBSCAN Clustering,Small/Smartcore,,,,72592094.0,ns,414
DBSCAN Clustering,Small/Smartcore,,,,75704495.0,ns,420
DBSCAN Clustering,Small/Smartcore,,,,76569694.0,ns,426
DBSCAN Clustering,Small/Smartcore,,,,68637695.0,ns,432
DBSCAN Clustering,Small/Smartcore,,,,72392794.0,ns,438
DBSCAN Clustering,Small/Smartcore,,,,75448495.0,ns,444
DBSCAN Clustering,Small/Smartcore,,,,74377994.0,ns,450
DBSCAN Clustering,Small/Smartcore,,,,78931594.0,ns,456
DBSCAN Clustering,Small/Smartcore,,,,80061694.0,ns,462
DBSCAN Clustering,Small/Smartcore,,,,84899994.0,ns,468
DBSCAN Clustering,Small/Smartcore,,,,82542694.0,ns,474
DBSCAN Clustering,Small/Smartcore,,,,84921893.0,ns,480
DBSCAN Clustering,Small/Smartcore,,,,86777494.0,ns,486
DBSCAN Clustering,Small/Smartcore,,,,79483294.0,ns,492
DBSCAN Clustering,Small/Smartcore,,,,89186693.0,ns,498
DBSCAN Clustering,Small/Smartcore,,,,91199693.0,ns,504
DBSCAN Clustering,Small/Smartcore,,,,95624193.0,ns,510
DBSCAN Clustering,Small/Smartcore,,,,90470993.0,ns,516
DBSCAN Clustering,Small/Smartcore,,,,92434893.0,ns,522
DBSCAN Clustering,Small/Smartcore,,,,94400593.0,ns,528
DBSCAN Clustering,Small/Smartcore,,,,97405493.0,ns,534
DBSCAN Clustering,Small/Smartcore,,,,94887693.0,ns,540
DBSCAN Clustering,Small/Smartcore,,,,102381192.0,ns,546
DBSCAN Clustering,Small/Smartcore,,,,97818493.0,ns,552
DBSCAN Clustering,Small/Smartcore,,,,103170292.0,ns,558
DBSCAN Clustering,Small/Smartcore,,,,100312593.0,ns,564
DBSCAN Clustering,Small/Smartcore,,,,108476492.0,ns,570
DBSCAN Clustering,Small/Smartcore,,,,106499992.0,ns,576
DBSCAN Clustering,Small/Smartcore,,,,104618892.0,ns,582
DBSCAN Clustering,Small/Smartcore,,,,101252792.0,ns,588
DBSCAN Clustering,Small/Smartcore,,,,106418992.0,ns,594
DBSCAN Clustering,Small/Smartcore,,,,103918692.0,ns,600
