group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Smartcore,,,,985207.0,ns,39
DBSCAN Clustering,Smartcore,,,,1969315.0,ns,78
DBSCAN Clustering,Smartcore,,,,3382126.0,ns,117
DBSCAN Clustering,Smartcore,,,,3941831.0,ns,156
DBSCAN Clustering,Smartcore,,,,4642035.0,ns,195
DBSCAN Clustering,Smartcore,,,,6188948.0,ns,234
DBSCAN Clustering,Smartcore,,,,7099854.0,ns,273
DBSCAN Clustering,Smartcore,,,,7684859.0,ns,312
DBSCAN Clustering,Smartcore,,,,9276272.0,ns,351
DBSCAN Clustering,Smartcore,,,,9896076.0,ns,390
DBSCAN Clustering,Smartcore,,,,11065585.0,ns,429
DBSCAN Clustering,Smartcore,,,,12122893.0,ns,468
DBSCAN Clustering,Smartcore,,,,12801598.0,ns,507
DBSCAN Clustering,Smartcore,,,,14848814.0,ns,546
DBSCAN Clustering,Smartcore,,,,15818622.0,ns,585
DBSCAN Clustering,Smartcore,,,,15823821.0,ns,624
DBSCAN Clustering,Smartcore,,,,17028730.0,ns,663
DBSCAN Clustering,Smartcore,,,,17699236.0,ns,702
DBSCAN Clustering,Smartcore,,,,18507442.0,ns,741
DBSCAN Clustering,Smartcore,,,,20687459.0,ns,780
DBSCAN Clustering,Smartcore,,,,20544158.0,ns,819
DBSCAN Clustering,Smartcore,,,,21805168.0,ns,858
DBSCAN Clustering,Smartcore,,,,22612973.0,ns,897
DBSCAN Clustering,Smartcore,,,,23708483.0,ns,936
DBSCAN Clustering,Smartcore,,,,24920291.0,ns,975
DBSCAN Clustering,Smartcore,,,,25569796.0,ns,1014
DBSCAN Clustering,Smartcore,,,,26443404.0,ns,1053
DBSCAN Clustering,Smartcore,,,,29238324.0,ns,1092
DBSCAN Clustering,Smartcore,,,,28694721.0,ns,1131
DBSCAN Clustering,Smartcore,,,,30952437.0,ns,1170
DBSCAN Clustering,Smartcore,,,,30580235.0,ns,1209
DBSCAN Clustering,Smartcore,,,,32037046.0,ns,1248
DBSCAN Clustering,Smartcore,,,,35926976.0,ns,1287
DBSCAN Clustering,Smartcore,,,,36545381.0,ns,1326
DBSCAN Clustering,Smartcore,,,,35690774.0,ns,1365
DBSCAN Clustering,Smartcore,,,,36269679.0,ns,1404
DBSCAN Clustering,Smartcore,,,,37082685.0,ns,1443
DBSCAN Clustering,Smartcore,,,,38773998.0,ns,1482
DBSCAN Clustering,Smartcore,,,,39733805.0,ns,1521
DBSCAN Clustering,Smartcore,,,,39887706.0,ns,1560
DBSCAN Clustering,Smartcore,,,,41848922.0,ns,1599
DBSCAN Clustering,Smartcore,,,,42417826.0,ns,1638
DBSCAN Clustering,Smartcore,,,,42376725.0,ns,1677
DBSCAN Clustering,Smartcore,,,,43071531.0,ns,1716
DBSCAN Clustering,Smartcore,,,,44285840.0,ns,1755
DBSCAN Clustering,Smartcore,,,,45109447.0,ns,1794
DBSCAN Clustering,Smartcore,,,,46907460.0,ns,1833
DBSCAN Clustering,Smartcore,,,,47064161.0,ns,1872
DBSCAN Clustering,Smartcore,,,,48536472.0,ns,1911
DBSCAN Clustering,Smartcore,,,,49819483.0,ns,1950
DBSCAN Clustering,Smartcore,,,,50759090.0,ns,1989
DBSCAN Clustering,Smartcore,,,,52077000.0,ns,2028
DBSCAN Clustering,Smartcore,,,,53025507.0,ns,2067
DBSCAN Clustering,Smartcore,,,,52909207.0,ns,2106
DBSCAN Clustering,Smartcore,,,,54893021.0,ns,2145
DBSCAN Clustering,Smartcore,,,,56469834.0,ns,2184
DBSCAN Clustering,Smartcore,,,,56712836.0,ns,2223
DBSCAN Clustering,Smartcore,,,,56600435.0,ns,2262
DBSCAN Clustering,Smartcore,,,,58029145.0,ns,2301
DBSCAN Clustering,Smartcore,,,,60476365.0,ns,2340
DBSCAN Clustering,Smartcore,,,,60977668.0,ns,2379
DBSCAN Clustering,Smartcore,,,,62242039.0,ns,2418
DBSCAN Clustering,Smartcore,,,,63137597.0,ns,2457
DBSCAN Clustering,Smartcore,,,,63289299.0,ns,2496
DBSCAN Clustering,Smartcore,,,,67541225.0,ns,2535
DBSCAN Clustering,Smartcore,,,,65555512.0,ns,2574
DBSCAN Clustering,Smartcore,,,,66581020.0,ns,2613
DBSCAN Clustering,Smartcore,,,,67910427.0,ns,2652
DBSCAN Clustering,Smartcore,,,,68008328.0,ns,2691
DBSCAN Clustering,Smartcore,,,,69123336.0,ns,2730
DBSCAN Clustering,Smartcore,,,,70784045.0,ns,2769
DBSCAN Clustering,Smartcore,,,,71926953.0,ns,2808
DBSCAN Clustering,Smartcore,,,,72304655.0,ns,2847
DBSCAN Clustering,Smartcore,,,,74320568.0,ns,2886
DBSCAN Clustering,Smartcore,,,,76559782.0,ns,2925
DBSCAN Clustering,Smartcore,,,,75795777.0,ns,2964
DBSCAN Clustering,Smartcore,,,,77824890.0,ns,3003
DBSCAN Clustering,Smartcore,,,,80951210.0,ns,3042
DBSCAN Clustering,Smartcore,,,,81715914.0,ns,3081
DBSCAN Clustering,Smartcore,,,,87233750.0,ns,3120
DBSCAN Clustering,Smartcore,,,,80128004.0,ns,3159
DBSCAN Clustering,Smartcore,,,,82196517.0,ns,3198
DBSCAN Clustering,Smartcore,,,,83266824.0,ns,3237
DBSCAN Clustering,Smartcore,,,,83697227.0,ns,3276
DBSCAN Clustering,Smartcore,,,,84425831.0,ns,3315
DBSCAN Clustering,Smartcore,,,,84555432.0,ns,3354
DBSCAN Clustering,Smartcore,,,,86140842.0,ns,3393
DBSCAN Clustering,Smartcore,,,,87177449.0,ns,3432
DBSCAN Clustering,Smartcore,,,,88508057.0,ns,3471
DBSCAN Clustering,Smartcore,,,,88998160.0,ns,3510
DBSCAN Clustering,Smartcore,,,,91316375.0,ns,3549
DBSCAN Clustering,Smartcore,,,,94930098.0,ns,3588
DBSCAN Clustering,Smartcore,,,,94476594.0,ns,3627
DBSCAN Clustering,Smartcore,,,,93986191.0,ns,3666
DBSCAN Clustering,Smartcore,,,,93743090.0,ns,3705
DBSCAN Clustering,Smartcore,,,,95904704.0,ns,3744
DBSCAN Clustering,Smartcore,,,,97396513.0,ns,3783
DBSCAN Clustering,Smartcore,,,,99443326.0,ns,3822
DBSCAN Clustering,Smartcore,,,,98015518.0,ns,3861
DBSCAN Clustering,Smartcore,,,,99349925.0,ns,3900
