group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
DBSCAN Clustering,Smartcore,,,,1187816.0,ns,7
DBSCAN Clustering,Smartcore,,,,2256130.0,ns,14
DBSCAN Clustering,Smartcore,,,,3282143.0,ns,21
DBSCAN Clustering,Smartcore,,,,4367458.0,ns,28
DBSCAN Clustering,Smartcore,,,,5361771.0,ns,35
DBSCAN Clustering,Smartcore,,,,6864891.0,ns,42
DBSCAN Clustering,Smartcore,,,,7657102.0,ns,49
DBSCAN Clustering,Smartcore,,,,8441613.0,ns,56
DBSCAN Clustering,Smartcore,,,,9403626.0,ns,63
DBSCAN Clustering,Smartcore,,,,10719243.0,ns,70
DBSCAN Clustering,Smartcore,,,,11785657.0,ns,77
DBSCAN Clustering,Smartcore,,,,13345878.0,ns,84
DBSCAN Clustering,Smartcore,,,,14070888.0,ns,91
DBSCAN Clustering,Smartcore,,,,15227503.0,ns,98
DBSCAN Clustering,Smartcore,,,,16083015.0,ns,105
DBSCAN Clustering,Smartcore,,,,16864025.0,ns,112
DBSCAN Clustering,Smartcore,,,,18285544.0,ns,119
DBSCAN Clustering,Smartcore,,,,19089054.0,ns,126
DBSCAN Clustering,Smartcore,,,,20624675.0,ns,133
DBSCAN Clustering,Smartcore,,,,21867992.0,ns,140
DBSCAN Clustering,Smartcore,,,,23282311.0,ns,147
DBSCAN Clustering,Smartcore,,,,24367326.0,ns,154
DBSCAN Clustering,Smartcore,,,,24797831.0,ns,161
DBSCAN Clustering,Smartcore,,,,27452767.0,ns,168
DBSCAN Clustering,Smartcore,,,,27853172.0,ns,175
DBSCAN Clustering,Smartcore,,,,28541581.0,ns,182
DBSCAN Clustering,Smartcore,,,,29055788.0,ns,189
DBSCAN Clustering,Smartcore,,,,29636696.0,ns,196
DBSCAN Clustering,Smartcore,,,,31335519.0,ns,203
DBSCAN Clustering,Smartcore,,,,32838939.0,ns,210
DBSCAN Clustering,Smartcore,,,,34837065.0,ns,217
DBSCAN Clustering,Smartcore,,,,35579774.0,ns,224
DBSCAN Clustering,Smartcore,,,,36092682.0,ns,231
DBSCAN Clustering,Smartcore,,,,36496688.0,ns,238
DBSCAN Clustering,Smartcore,,,,37648303.0,ns,245
DBSCAN Clustering,Smartcore,,,,39306525.0,ns,252
DBSCAN Clustering,Smartcore,,,,40329439.0,ns,259
DBSCAN Clustering,Smartcore,,,,41837159.0,ns,266
DBSCAN Clustering,Smartcore,,,,42654670.0,ns,273
DBSCAN Clustering,Smartcore,,,,44869899.0,ns,280
DBSCAN Clustering,Smartcore,,,,45203703.0,ns,287
DBSCAN Clustering,Smartcore,,,,45554008.0,ns,294
DBSCAN Clustering,Smartcore,,,,50342772.0,ns,301
DBSCAN Clustering,Smartcore,,,,49719464.0,ns,308
DBSCAN Clustering,Smartcore,,,,48004341.0,ns,315
DBSCAN Clustering,Smartcore,,,,50319272.0,ns,322
DBSCAN Clustering,Smartcore,,,,52182597.0,ns,329
DBSCAN Clustering,Smartcore,,,,52182697.0,ns,336
DBSCAN Clustering,Smartcore,,,,53913619.0,ns,343
DBSCAN Clustering,Smartcore,,,,56688257.0,ns,350
DBSCAN Clustering,Smartcore,,,,55451840.0,ns,357
DBSCAN Clustering,Smartcore,,,,56021848.0,ns,364
DBSCAN Clustering,Smartcore,,,,57229164.0,ns,371
DBSCAN Clustering,Smartcore,,,,58831785.0,ns,378
DBSCAN Clustering,Smartcore,,,,57752971.0,ns,385
DBSCAN Clustering,Smartcore,,,,60179803.0,ns,392
DBSCAN Clustering,Smartcore,,,,61164616.0,ns,399
DBSCAN Clustering,Smartcore,,,,65712177.0,ns,406
DBSCAN Clustering,Smartcore,,,,59306492.0,ns,413
DBSCAN Clustering,Smartcore,,,,65401273.0,ns,420
DBSCAN Clustering,Smartcore,,,,65774578.0,ns,427
DBSCAN Clustering,Smartcore,,,,68872520.0,ns,434
DBSCAN Clustering,Smartcore,,,,65398473.0,ns,441
DBSCAN Clustering,Smartcore,,,,71446654.0,ns,448
DBSCAN Clustering,Smartcore,,,,69620729.0,ns,455
DBSCAN Clustering,Smartcore,,,,69273525.0,ns,462
DBSCAN Clustering,Smartcore,,,,73942387.0,ns,469
DBSCAN Clustering,Smartcore,,,,71229051.0,ns,476
DBSCAN Clustering,Smartcore,,,,77649937.0,ns,483
DBSCAN Clustering,Smartcore,,,,75279505.0,ns,490
DBSCAN Clustering,Smartcore,,,,78757551.0,ns,497
DBSCAN Clustering,Smartcore,,,,74537896.0,ns,504
DBSCAN Clustering,Smartcore,,,,76644423.0,ns,511
DBSCAN Clustering,Smartcore,,,,77969640.0,ns,518
DBSCAN Clustering,Smartcore,,,,80401873.0,ns,525
DBSCAN Clustering,Smartcore,,,,84977634.0,ns,532
DBSCAN Clustering,Smartcore,,,,83030009.0,ns,539
DBSCAN Clustering,Smartcore,,,,85656744.0,ns,546
DBSCAN Clustering,Smartcore,,,,86192051.0,ns,553
DBSCAN Clustering,Smartcore,,,,88679884.0,ns,560
DBSCAN Clustering,Smartcore,,,,87898373.0,ns,567
DBSCAN Clustering,Smartcore,,,,89930901.0,ns,574
DBSCAN Clustering,Smartcore,,,,89993402.0,ns,581
DBSCAN Clustering,Smartcore,,,,91793126.0,ns,588
DBSCAN Clustering,Smartcore,,,,89413494.0,ns,595
DBSCAN Clustering,Smartcore,,,,95832580.0,ns,602
DBSCAN Clustering,Smartcore,,,,91260218.0,ns,609
DBSCAN Clustering,Smartcore,,,,93052042.0,ns,616
DBSCAN Clustering,Smartcore,,,,99527929.0,ns,623
DBSCAN Clustering,Smartcore,,,,99774832.0,ns,630
DBSCAN Clustering,Smartcore,,,,102884473.0,ns,637
