group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decision Tree Classification,Large/Smartcore,,,,75297004.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,86143091.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,98812875.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,75315504.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,82385796.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,74142906.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,73438207.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,77826001.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,72914808.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,72343009.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,77710402.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,92602482.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78191601.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,76100304.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79854099.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,91322484.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,91614883.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,83494795.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,76151004.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,84125493.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78521001.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,87293389.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79411199.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,75739004.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,80645198.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,75978004.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79436899.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78686100.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,81501097.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,84106393.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,88728787.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,82321396.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,85914491.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79161800.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79210100.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,84399093.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,80795297.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,88668488.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,84669993.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,91466684.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,87369189.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,86571290.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,95440779.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,80385498.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,81036297.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,76933902.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,81784396.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,89148887.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79026000.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,87147590.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,82218996.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,72763308.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,74501506.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,73064108.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,72134209.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,71716109.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78856300.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,91457484.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,86564990.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,84198293.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,80743697.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,83178095.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,80806698.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79568599.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79018500.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,76719103.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,77326302.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,82210796.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,74310606.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,75719204.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,71831808.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,76001303.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,84268491.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,76787001.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,77163900.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,91577081.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78620599.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79850297.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,77601800.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79349397.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,77256100.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78489398.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78877098.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78791698.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,75918801.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,75811002.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,76934300.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,89772483.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78588898.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,76517801.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,86798587.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,77636299.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,88423886.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,78407399.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,82121094.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,86897488.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,83309292.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,77256100.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,79953396.0,ns,1
Decision Tree Classification,Large/Smartcore,,,,82782192.0,ns,1
