group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decision Tree Classification,Medium/Linfa,,,,58567856.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58071312.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58533653.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58450646.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58712969.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58360638.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58213424.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58160520.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58235627.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58494150.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58409742.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58564357.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58449946.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58342836.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58351737.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58560956.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58144918.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58682066.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58357338.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58500250.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58465648.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58297232.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58365438.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58703369.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58632562.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58033109.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58429444.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58306633.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58570556.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58138618.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58403242.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58537254.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58510651.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58554055.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58221725.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58547955.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58435544.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58849082.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58344536.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58544554.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58667966.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58374539.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58261829.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,57862693.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58442046.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58000606.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58112815.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58511652.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58266030.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58604260.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58629262.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58414943.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58641763.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58730771.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58348237.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58772775.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58273630.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58445346.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58426744.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58443145.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58309533.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58489249.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58131318.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,59231016.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58552355.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58283231.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58397441.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58710969.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58232127.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58135217.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58608260.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58306433.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58361738.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58129517.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58752073.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58316334.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58823479.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58488649.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58246127.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58467348.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58563256.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58603060.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58550255.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58829880.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58875284.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58745073.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58511952.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58339636.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58647063.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58815378.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58812478.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58335936.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58354038.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58549555.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58511751.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58413141.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58799376.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58272328.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58893384.0,ns,5
Decision Tree Classification,Medium/Linfa,,,,58280029.0,ns,5
