group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decision Tree Classification,Medium/Linfa,,,,57453779.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56854167.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57246474.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57009870.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56875467.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56973070.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57373577.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56795566.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57345177.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57106071.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56742165.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57360377.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57137272.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56935969.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57164772.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56850167.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57263575.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57142272.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56992670.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56926869.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57358177.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56953769.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57205473.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56956869.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56810266.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56913168.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57259375.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56731765.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57111872.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57320276.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57443379.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56826366.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56984469.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57091172.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57184673.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57015070.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56899268.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57286175.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56866002.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57298202.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57396004.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57267002.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56834795.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57225901.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56882896.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57077399.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56856196.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57030298.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56967998.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56936296.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57067699.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56906396.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57001397.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57248201.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57002298.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57045198.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56823295.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57011498.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57255402.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57486805.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57012298.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56996198.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56468990.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57120499.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57281202.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57258501.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57072098.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57555805.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56878296.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56865196.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57047598.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57381303.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57225300.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57641307.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57524905.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56903196.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56596292.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57110699.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56968497.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57201901.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57290201.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57570506.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57355402.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56846343.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56944754.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57281060.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56699250.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57169158.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57265660.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,57236559.0,ns,7
Decision Tree Classification,Medium/Linfa,,,,56907853.0,ns,7
