group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decision Tree Classification,Medium/Smart,,,,52642445.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52464429.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52887867.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53056882.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52313016.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52379822.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52782658.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52790958.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52719753.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52130199.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51816870.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52731953.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53110987.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52372521.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52166203.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53121688.0,ns,13
Decision Tree Classification,Medium/Smart,,,,50870886.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53078885.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52189004.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52368820.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52425826.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52465929.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51972585.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53748245.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51486341.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52504033.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52339018.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51547146.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52534936.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53144890.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52723553.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53059283.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51972585.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51527445.0,ns,13
Decision Tree Classification,Medium/Smart,,,,50949392.0,ns,13
Decision Tree Classification,Medium/Smart,,,,50971195.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52237308.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52422526.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52936872.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52768157.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52472830.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53007978.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52658046.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51928781.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52162902.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52436827.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52244410.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53992767.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52694250.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52972975.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51733964.0,ns,13
Decision Tree Classification,Medium/Smart,,,,54087976.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52490931.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51466340.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52611342.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52586040.0,ns,13
Decision Tree Classification,Medium/Smart,,,,50634064.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51359330.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52603842.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51533145.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52553838.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51823572.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53035581.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52911570.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51766266.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53146891.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53245000.0,ns,13
Decision Tree Classification,Medium/Smart,,,,50667267.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52920771.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52876066.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52001587.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53107487.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52646845.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52334817.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52838863.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52665248.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51558940.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51987271.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51406319.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51705246.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51610938.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52959359.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52381607.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52999262.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53426501.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51767451.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52385607.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51660542.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52845748.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53017264.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52990661.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51410020.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52096882.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52554323.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51890463.0,ns,13
Decision Tree Classification,Medium/Smart,,,,54139365.0,ns,13
Decision Tree Classification,Medium/Smart,,,,51851659.0,ns,13
Decision Tree Classification,Medium/Smart,,,,53391198.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52891452.0,ns,13
Decision Tree Classification,Medium/Smart,,,,52537620.0,ns,13
