group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decision Tree Classification,Small/Smart,,,,1316219.0,ns,39
Decision Tree Classification,Small/Smart,,,,2588535.0,ns,78
Decision Tree Classification,Small/Smart,,,,3555549.0,ns,117
Decision Tree Classification,Small/Smart,,,,4830566.0,ns,156
Decision Tree Classification,Small/Smart,,,,5720979.0,ns,195
Decision Tree Classification,Small/Smart,,,,7169799.0,ns,234
Decision Tree Classification,Small/Smart,,,,8696820.0,ns,273
Decision Tree Classification,Small/Smart,,,,10125039.0,ns,312
Decision Tree Classification,Small/Smart,,,,9725734.0,ns,351
Decision Tree Classification,Small/Smart,,,,11289255.0,ns,390
Decision Tree Classification,Small/Smart,,,,12957978.0,ns,429
Decision Tree Classification,Small/Smart,,,,15086407.0,ns,468
Decision Tree Classification,Small/Smart,,,,15471012.0,ns,507
Decision Tree Classification,Small/Smart,,,,15746816.0,ns,546
Decision Tree Classification,Small/Smart,,,,15325311.0,ns,585
Decision Tree Classification,Small/Smart,,,,16120122.0,ns,624
Decision Tree Classification,Small/Smart,,,,19992775.0,ns,663
Decision Tree Classification,Small/Smart,,,,19063062.0,ns,702
Decision Tree Classification,Small/Smart,,,,19857673.0,ns,741
Decision Tree Classification,Small/Smart,,,,24151032.0,ns,780
Decision Tree Classification,Small/Smart,,,,26912770.0,ns,819
Decision Tree Classification,Small/Smart,,,,26028458.0,ns,858
Decision Tree Classification,Small/Smart,,,,23919929.0,ns,897
Decision Tree Classification,Small/Smart,,,,23138618.0,ns,936
Decision Tree Classification,Small/Smart,,,,27941084.0,ns,975
Decision Tree Classification,Small/Smart,,,,25380849.0,ns,1014
Decision Tree Classification,Small/Smart,,,,32316344.0,ns,1053
Decision Tree Classification,Small/Smart,,,,31323531.0,ns,1092
Decision Tree Classification,Small/Smart,,,,30248216.0,ns,1131
Decision Tree Classification,Small/Smart,,,,36886907.0,ns,1170
Decision Tree Classification,Small/Smart,,,,32003040.0,ns,1209
Decision Tree Classification,Small/Smart,,,,36663904.0,ns,1248
Decision Tree Classification,Small/Smart,,,,34134269.0,ns,1287
Decision Tree Classification,Small/Smart,,,,37004608.0,ns,1326
Decision Tree Classification,Small/Smart,,,,39988349.0,ns,1365
Decision Tree Classification,Small/Smart,,,,35320286.0,ns,1404
Decision Tree Classification,Small/Smart,,,,39989950.0,ns,1443
Decision Tree Classification,Small/Smart,,,,37950422.0,ns,1482
Decision Tree Classification,Small/Smart,,,,46103134.0,ns,1521
Decision Tree Classification,Small/Smart,,,,44314709.0,ns,1560
Decision Tree Classification,Small/Smart,,,,42048278.0,ns,1599
Decision Tree Classification,Small/Smart,,,,45994632.0,ns,1638
Decision Tree Classification,Small/Smart,,,,42916890.0,ns,1677
Decision Tree Classification,Small/Smart,,,,47746456.0,ns,1716
Decision Tree Classification,Small/Smart,,,,51794312.0,ns,1755
Decision Tree Classification,Small/Smart,,,,48757071.0,ns,1794
Decision Tree Classification,Small/Smart,,,,48227863.0,ns,1833
Decision Tree Classification,Small/Smart,,,,61745549.0,ns,1872
Decision Tree Classification,Small/Smart,,,,46755443.0,ns,1911
Decision Tree Classification,Small/Smart,,,,54075043.0,ns,1950
Decision Tree Classification,Small/Smart,,,,71460382.0,ns,1989
Decision Tree Classification,Small/Smart,,,,58372603.0,ns,2028
Decision Tree Classification,Small/Smart,,,,54353847.0,ns,2067
Decision Tree Classification,Small/Smart,,,,56275374.0,ns,2106
Decision Tree Classification,Small/Smart,,,,72586398.0,ns,2145
Decision Tree Classification,Small/Smart,,,,70227666.0,ns,2184
Decision Tree Classification,Small/Smart,,,,61627347.0,ns,2223
Decision Tree Classification,Small/Smart,,,,60903738.0,ns,2262
Decision Tree Classification,Small/Smart,,,,56809681.0,ns,2301
