group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decision Tree Classification,Small/Smartcore,,,,1180507.0,ns,34
Decision Tree Classification,Small/Smartcore,,,,2286813.0,ns,68
Decision Tree Classification,Small/Smartcore,,,,3397820.0,ns,102
Decision Tree Classification,Small/Smartcore,,,,5370930.0,ns,136
Decision Tree Classification,Small/Smartcore,,,,5782532.0,ns,170
Decision Tree Classification,Small/Smartcore,,,,6953839.0,ns,204
Decision Tree Classification,Small/Smartcore,,,,7663244.0,ns,238
Decision Tree Classification,Small/Smartcore,,,,9234153.0,ns,272
Decision Tree Classification,Small/Smartcore,,,,11428165.0,ns,306
Decision Tree Classification,Small/Smartcore,,,,12485671.0,ns,340
Decision Tree Classification,Small/Smartcore,,,,11910068.0,ns,374
Decision Tree Classification,Small/Smartcore,,,,14677384.0,ns,408
Decision Tree Classification,Small/Smartcore,,,,14309881.0,ns,442
Decision Tree Classification,Small/Smartcore,,,,15802690.0,ns,476
Decision Tree Classification,Small/Smartcore,,,,17352499.0,ns,510
Decision Tree Classification,Small/Smartcore,,,,19987214.0,ns,544
Decision Tree Classification,Small/Smartcore,,,,19026408.0,ns,578
Decision Tree Classification,Small/Smartcore,,,,22907130.0,ns,612
Decision Tree Classification,Small/Smartcore,,,,20535917.0,ns,646
Decision Tree Classification,Small/Smartcore,,,,21680424.0,ns,680
Decision Tree Classification,Small/Smartcore,,,,21206520.0,ns,714
Decision Tree Classification,Small/Smartcore,,,,23229532.0,ns,748
Decision Tree Classification,Small/Smartcore,,,,24522840.0,ns,782
Decision Tree Classification,Small/Smartcore,,,,30901976.0,ns,816
Decision Tree Classification,Small/Smartcore,,,,25620846.0,ns,850
Decision Tree Classification,Small/Smartcore,,,,30331572.0,ns,884
Decision Tree Classification,Small/Smartcore,,,,28095760.0,ns,918
Decision Tree Classification,Small/Smartcore,,,,32945987.0,ns,952
Decision Tree Classification,Small/Smartcore,,,,33030388.0,ns,986
Decision Tree Classification,Small/Smartcore,,,,35964205.0,ns,1020
