group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decision Tree Classification,Small/Smartcore,,,,1044000.0,ns,25
Decision Tree Classification,Small/Smartcore,,,,2580101.0,ns,50
Decision Tree Classification,Small/Smartcore,,,,3530501.0,ns,75
Decision Tree Classification,Small/Smartcore,,,,5320202.0,ns,100
Decision Tree Classification,Small/Smartcore,,,,4684202.0,ns,125
Decision Tree Classification,Small/Smartcore,,,,5192001.0,ns,150
Decision Tree Classification,Small/Smartcore,,,,5958302.0,ns,175
Decision Tree Classification,Small/Smartcore,,,,7228702.0,ns,200
Decision Tree Classification,Small/Smartcore,,,,8090703.0,ns,225
Decision Tree Classification,Small/Smartcore,,,,11803804.0,ns,250
Decision Tree Classification,Small/Smartcore,,,,9437703.0,ns,275
Decision Tree Classification,Small/Smartcore,,,,10859204.0,ns,300
Decision Tree Classification,Small/Smartcore,,,,11476204.0,ns,325
Decision Tree Classification,Small/Smartcore,,,,14461005.0,ns,350
Decision Tree Classification,Small/Smartcore,,,,13350604.0,ns,375
Decision Tree Classification,Small/Smartcore,,,,16309606.0,ns,400
Decision Tree Classification,Small/Smartcore,,,,14352505.0,ns,425
Decision Tree Classification,Small/Smartcore,,,,21928307.0,ns,450
Decision Tree Classification,Small/Smartcore,,,,16474506.0,ns,475
Decision Tree Classification,Small/Smartcore,,,,18570706.0,ns,500
Decision Tree Classification,Small/Smartcore,,,,16610506.0,ns,525
Decision Tree Classification,Small/Smartcore,,,,19531306.0,ns,550
Decision Tree Classification,Small/Smartcore,,,,26112709.0,ns,575
Decision Tree Classification,Small/Smartcore,,,,22819708.0,ns,600
Decision Tree Classification,Small/Smartcore,,,,22199508.0,ns,625
Decision Tree Classification,Small/Smartcore,,,,25698209.0,ns,650
Decision Tree Classification,Small/Smartcore,,,,24330908.0,ns,675
Decision Tree Classification,Small/Smartcore,,,,25048608.0,ns,700
Decision Tree Classification,Small/Smartcore,,,,28955410.0,ns,725
Decision Tree Classification,Small/Smartcore,,,,31340011.0,ns,750
Decision Tree Classification,Small/Smartcore,,,,31196711.0,ns,775
Decision Tree Classification,Small/Smartcore,,,,29858910.0,ns,800
Decision Tree Classification,Small/Smartcore,,,,30338510.0,ns,825
Decision Tree Classification,Small/Smartcore,,,,34456212.0,ns,850
Decision Tree Classification,Small/Smartcore,,,,32629911.0,ns,875
Decision Tree Classification,Small/Smartcore,,,,32620611.0,ns,900
Decision Tree Classification,Small/Smartcore,,,,36379513.0,ns,925
Decision Tree Classification,Small/Smartcore,,,,39478513.0,ns,950
Decision Tree Classification,Small/Smartcore,,,,35131112.0,ns,975
Decision Tree Classification,Small/Smartcore,,,,37026713.0,ns,1000
Decision Tree Classification,Small/Smartcore,,,,40236413.0,ns,1025
Decision Tree Classification,Small/Smartcore,,,,39705614.0,ns,1050
Decision Tree Classification,Small/Smartcore,,,,39345813.0,ns,1075
Decision Tree Classification,Small/Smartcore,,,,41212514.0,ns,1100
Decision Tree Classification,Small/Smartcore,,,,39577814.0,ns,1125
Decision Tree Classification,Small/Smartcore,,,,41628314.0,ns,1150
Decision Tree Classification,Small/Smartcore,,,,46194316.0,ns,1175
Decision Tree Classification,Small/Smartcore,,,,39445313.0,ns,1200
Decision Tree Classification,Small/Smartcore,,,,44944716.0,ns,1225
Decision Tree Classification,Small/Smartcore,,,,41417014.0,ns,1250
Decision Tree Classification,Small/Smartcore,,,,48557116.0,ns,1275
Decision Tree Classification,Small/Smartcore,,,,47449817.0,ns,1300
Decision Tree Classification,Small/Smartcore,,,,50438617.0,ns,1325
Decision Tree Classification,Small/Smartcore,,,,54599918.0,ns,1350
Decision Tree Classification,Small/Smartcore,,,,51452618.0,ns,1375
Decision Tree Classification,Small/Smartcore,,,,52703318.0,ns,1400
Decision Tree Classification,Small/Smartcore,,,,49774817.0,ns,1425
Decision Tree Classification,Small/Smartcore,,,,49400517.0,ns,1450
Decision Tree Classification,Small/Smartcore,,,,58077320.0,ns,1475
Decision Tree Classification,Small/Smartcore,,,,58997320.0,ns,1500
Decision Tree Classification,Small/Smartcore,,,,63106221.0,ns,1525
Decision Tree Classification,Small/Smartcore,,,,49363317.0,ns,1550
Decision Tree Classification,Small/Smartcore,,,,53713618.0,ns,1575
Decision Tree Classification,Small/Smartcore,,,,55558519.0,ns,1600
Decision Tree Classification,Small/Smartcore,,,,60125621.0,ns,1625
Decision Tree Classification,Small/Smartcore,,,,60810621.0,ns,1650
Decision Tree Classification,Small/Smartcore,,,,65785022.0,ns,1675
Decision Tree Classification,Small/Smartcore,,,,69653425.0,ns,1700
Decision Tree Classification,Small/Smartcore,,,,58022321.0,ns,1725
Decision Tree Classification,Small/Smartcore,,,,57594822.0,ns,1750
Decision Tree Classification,Small/Smartcore,,,,57345121.0,ns,1775
Decision Tree Classification,Small/Smartcore,,,,66133724.0,ns,1800
Decision Tree Classification,Small/Smartcore,,,,77914029.0,ns,1825
Decision Tree Classification,Small/Smartcore,,,,70579026.0,ns,1850
Decision Tree Classification,Small/Smartcore,,,,71067426.0,ns,1875
Decision Tree Classification,Small/Smartcore,,,,76578229.0,ns,1900
Decision Tree Classification,Small/Smartcore,,,,74708927.0,ns,1925
Decision Tree Classification,Small/Smartcore,,,,68909226.0,ns,1950
Decision Tree Classification,Small/Smartcore,,,,72107926.0,ns,1975
Decision Tree Classification,Small/Smartcore,,,,76804729.0,ns,2000
Decision Tree Classification,Small/Smartcore,,,,80151529.0,ns,2025
Decision Tree Classification,Small/Smartcore,,,,69115526.0,ns,2050
Decision Tree Classification,Small/Smartcore,,,,78054529.0,ns,2075
Decision Tree Classification,Small/Smartcore,,,,76721228.0,ns,2100
Decision Tree Classification,Small/Smartcore,,,,77166129.0,ns,2125
Decision Tree Classification,Small/Smartcore,,,,83045230.0,ns,2150
Decision Tree Classification,Small/Smartcore,,,,78640829.0,ns,2175
Decision Tree Classification,Small/Smartcore,,,,83469131.0,ns,2200
Decision Tree Classification,Small/Smartcore,,,,85564432.0,ns,2225
Decision Tree Classification,Small/Smartcore,,,,94314335.0,ns,2250
Decision Tree Classification,Small/Smartcore,,,,86152332.0,ns,2275
Decision Tree Classification,Small/Smartcore,,,,82989030.0,ns,2300
Decision Tree Classification,Small/Smartcore,,,,74597928.0,ns,2325
Decision Tree Classification,Small/Smartcore,,,,79439729.0,ns,2350
Decision Tree Classification,Small/Smartcore,,,,88577033.0,ns,2375
Decision Tree Classification,Small/Smartcore,,,,90300233.0,ns,2400
Decision Tree Classification,Small/Smartcore,,,,93915335.0,ns,2425
Decision Tree Classification,Small/Smartcore,,,,104870739.0,ns,2450
Decision Tree Classification,Small/Smartcore,,,,109802640.0,ns,2475
Decision Tree Classification,Small/Smartcore,,,,102001138.0,ns,2500
