group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decision Tree Classification,Smartcore,,,,994092.0,ns,315
Decision Tree Classification,Smartcore,,,,1993683.0,ns,630
Decision Tree Classification,Smartcore,,,,2972776.0,ns,945
Decision Tree Classification,Smartcore,,,,3974567.0,ns,1260
Decision Tree Classification,Smartcore,,,,4970858.0,ns,1575
Decision Tree Classification,Smartcore,,,,5969751.0,ns,1890
Decision Tree Classification,Smartcore,,,,6936442.0,ns,2205
Decision Tree Classification,Smartcore,,,,7950634.0,ns,2520
Decision Tree Classification,Smartcore,,,,8955025.0,ns,2835
Decision Tree Classification,Smartcore,,,,9950718.0,ns,3150
Decision Tree Classification,Smartcore,,,,10900309.0,ns,3465
Decision Tree Classification,Smartcore,,,,11937201.0,ns,3780
Decision Tree Classification,Smartcore,,,,12928392.0,ns,4095
Decision Tree Classification,Smartcore,,,,13903085.0,ns,4410
Decision Tree Classification,Smartcore,,,,14862776.0,ns,4725
Decision Tree Classification,Smartcore,,,,15895768.0,ns,5040
Decision Tree Classification,Smartcore,,,,16916159.0,ns,5355
Decision Tree Classification,Smartcore,,,,17898852.0,ns,5670
Decision Tree Classification,Smartcore,,,,18871656.0,ns,5985
Decision Tree Classification,Smartcore,,,,19878337.0,ns,6300
Decision Tree Classification,Smartcore,,,,20931045.0,ns,6615
Decision Tree Classification,Smartcore,,,,21860750.0,ns,6930
Decision Tree Classification,Smartcore,,,,22790158.0,ns,7245
Decision Tree Classification,Smartcore,,,,23891165.0,ns,7560
Decision Tree Classification,Smartcore,,,,24851671.0,ns,7875
Decision Tree Classification,Smartcore,,,,25857978.0,ns,8190
Decision Tree Classification,Smartcore,,,,26803085.0,ns,8505
Decision Tree Classification,Smartcore,,,,27837592.0,ns,8820
Decision Tree Classification,Smartcore,,,,28857799.0,ns,9135
Decision Tree Classification,Smartcore,,,,29844506.0,ns,9450
Decision Tree Classification,Smartcore,,,,30736112.0,ns,9765
Decision Tree Classification,Smartcore,,,,31803320.0,ns,10080
Decision Tree Classification,Smartcore,,,,32838526.0,ns,10395
Decision Tree Classification,Smartcore,,,,33772333.0,ns,10710
Decision Tree Classification,Smartcore,,,,34696640.0,ns,11025
Decision Tree Classification,Smartcore,,,,35828347.0,ns,11340
Decision Tree Classification,Smartcore,,,,36806154.0,ns,11655
Decision Tree Classification,Smartcore,,,,37794961.0,ns,11970
Decision Tree Classification,Smartcore,,,,38670366.0,ns,12285
Decision Tree Classification,Smartcore,,,,39775475.0,ns,12600
Decision Tree Classification,Smartcore,,,,40790981.0,ns,12915
Decision Tree Classification,Smartcore,,,,41769488.0,ns,13230
Decision Tree Classification,Smartcore,,,,42625494.0,ns,13545
Decision Tree Classification,Smartcore,,,,43740702.0,ns,13860
Decision Tree Classification,Smartcore,,,,44740109.0,ns,14175
Decision Tree Classification,Smartcore,,,,45730015.0,ns,14490
Decision Tree Classification,Smartcore,,,,46559922.0,ns,14805
Decision Tree Classification,Smartcore,,,,47758829.0,ns,15120
Decision Tree Classification,Smartcore,,,,48719836.0,ns,15435
Decision Tree Classification,Smartcore,,,,49718643.0,ns,15750
Decision Tree Classification,Smartcore,,,,50543149.0,ns,16065
Decision Tree Classification,Smartcore,,,,51749957.0,ns,16380
Decision Tree Classification,Smartcore,,,,52713464.0,ns,16695
Decision Tree Classification,Smartcore,,,,53673070.0,ns,17010
Decision Tree Classification,Smartcore,,,,54503876.0,ns,17325
Decision Tree Classification,Smartcore,,,,55659084.0,ns,17640
Decision Tree Classification,Smartcore,,,,56734591.0,ns,17955
Decision Tree Classification,Smartcore,,,,57625698.0,ns,18270
Decision Tree Classification,Smartcore,,,,58460603.0,ns,18585
Decision Tree Classification,Smartcore,,,,59714112.0,ns,18900
Decision Tree Classification,Smartcore,,,,60663819.0,ns,19215
Decision Tree Classification,Smartcore,,,,61681025.0,ns,19530
Decision Tree Classification,Smartcore,,,,62447831.0,ns,19845
Decision Tree Classification,Smartcore,,,,63633739.0,ns,20160
Decision Tree Classification,Smartcore,,,,64650446.0,ns,20475
Decision Tree Classification,Smartcore,,,,65609353.0,ns,20790
Decision Tree Classification,Smartcore,,,,66392158.0,ns,21105
Decision Tree Classification,Smartcore,,,,67599466.0,ns,21420
Decision Tree Classification,Smartcore,,,,68659474.0,ns,21735
Decision Tree Classification,Smartcore,,,,69572380.0,ns,22050
Decision Tree Classification,Smartcore,,,,70340485.0,ns,22365
Decision Tree Classification,Smartcore,,,,71647295.0,ns,22680
Decision Tree Classification,Smartcore,,,,72608200.0,ns,22995
Decision Tree Classification,Smartcore,,,,73610308.0,ns,23310
Decision Tree Classification,Smartcore,,,,74333913.0,ns,23625
Decision Tree Classification,Smartcore,,,,75551821.0,ns,23940
Decision Tree Classification,Smartcore,,,,76934631.0,ns,24255
Decision Tree Classification,Smartcore,,,,77544935.0,ns,24570
Decision Tree Classification,Smartcore,,,,78491742.0,ns,24885
Decision Tree Classification,Smartcore,,,,79533348.0,ns,25200
Decision Tree Classification,Smartcore,,,,80571756.0,ns,25515
Decision Tree Classification,Smartcore,,,,81539763.0,ns,25830
Decision Tree Classification,Smartcore,,,,82253867.0,ns,26145
Decision Tree Classification,Smartcore,,,,83567977.0,ns,26460
Decision Tree Classification,Smartcore,,,,84527283.0,ns,26775
Decision Tree Classification,Smartcore,,,,85512990.0,ns,27090
Decision Tree Classification,Smartcore,,,,86253695.0,ns,27405
Decision Tree Classification,Smartcore,,,,87521004.0,ns,27720
Decision Tree Classification,Smartcore,,,,88546911.0,ns,28035
Decision Tree Classification,Smartcore,,,,89454117.0,ns,28350
Decision Tree Classification,Smartcore,,,,90177522.0,ns,28665
Decision Tree Classification,Smartcore,,,,91536431.0,ns,28980
Decision Tree Classification,Smartcore,,,,92536739.0,ns,29295
Decision Tree Classification,Smartcore,,,,93496945.0,ns,29610
Decision Tree Classification,Smartcore,,,,94126649.0,ns,29925
Decision Tree Classification,Smartcore,,,,95528659.0,ns,30240
Decision Tree Classification,Smartcore,,,,96457966.0,ns,30555
Decision Tree Classification,Smartcore,,,,97463572.0,ns,30870
Decision Tree Classification,Smartcore,,,,98103577.0,ns,31185
Decision Tree Classification,Smartcore,,,,99429586.0,ns,31500
