group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Large/Linfa,,,,62355182.0,ns,2
Elastic Net,Large/Linfa,,,,62020052.0,ns,2
Elastic Net,Large/Linfa,,,,61757928.0,ns,2
Elastic Net,Large/Linfa,,,,63116650.0,ns,2
Elastic Net,Large/Linfa,,,,67048202.0,ns,2
Elastic Net,Large/Linfa,,,,61821834.0,ns,2
Elastic Net,Large/Linfa,,,,64988118.0,ns,2
Elastic Net,Large/Linfa,,,,64346561.0,ns,2
Elastic Net,Large/Linfa,,,,65123529.0,ns,2
Elastic Net,Large/Linfa,,,,65380553.0,ns,2
Elastic Net,Large/Linfa,,,,63968726.0,ns,2
Elastic Net,Large/Linfa,,,,67263322.0,ns,2
Elastic Net,Large/Linfa,,,,62527097.0,ns,2
Elastic Net,Large/Linfa,,,,62105259.0,ns,2
Elastic Net,Large/Linfa,,,,63350271.0,ns,2
Elastic Net,Large/Linfa,,,,63171455.0,ns,2
Elastic Net,Large/Linfa,,,,62834625.0,ns,2
Elastic Net,Large/Linfa,,,,62735116.0,ns,2
Elastic Net,Large/Linfa,,,,62918733.0,ns,2
Elastic Net,Large/Linfa,,,,62838025.0,ns,2
Elastic Net,Large/Linfa,,,,61715925.0,ns,2
Elastic Net,Large/Linfa,,,,62819324.0,ns,2
Elastic Net,Large/Linfa,,,,61581612.0,ns,2
Elastic Net,Large/Linfa,,,,60402607.0,ns,2
Elastic Net,Large/Linfa,,,,62320979.0,ns,2
Elastic Net,Large/Linfa,,,,61614315.0,ns,2
Elastic Net,Large/Linfa,,,,67865675.0,ns,2
Elastic Net,Large/Linfa,,,,62099259.0,ns,2
Elastic Net,Large/Linfa,,,,61916142.0,ns,2
Elastic Net,Large/Linfa,,,,60145684.0,ns,2
Elastic Net,Large/Linfa,,,,62828924.0,ns,2
Elastic Net,Large/Linfa,,,,62425688.0,ns,2
Elastic Net,Large/Linfa,,,,63653398.0,ns,2
Elastic Net,Large/Linfa,,,,63824913.0,ns,2
Elastic Net,Large/Linfa,,,,62223870.0,ns,2
Elastic Net,Large/Linfa,,,,62277974.0,ns,2
Elastic Net,Large/Linfa,,,,62663710.0,ns,2
Elastic Net,Large/Linfa,,,,62377084.0,ns,2
Elastic Net,Large/Linfa,,,,62410187.0,ns,2
Elastic Net,Large/Linfa,,,,61855537.0,ns,2
Elastic Net,Large/Linfa,,,,62380784.0,ns,2
Elastic Net,Large/Linfa,,,,60400707.0,ns,2
Elastic Net,Large/Linfa,,,,61392296.0,ns,2
Elastic Net,Large/Linfa,,,,61994450.0,ns,2
Elastic Net,Large/Linfa,,,,60899953.0,ns,2
Elastic Net,Large/Linfa,,,,61125473.0,ns,2
Elastic Net,Large/Linfa,,,,60714036.0,ns,2
Elastic Net,Large/Linfa,,,,61191779.0,ns,2
Elastic Net,Large/Linfa,,,,61050466.0,ns,2
Elastic Net,Large/Linfa,,,,59683344.0,ns,2
Elastic Net,Large/Linfa,,,,60367505.0,ns,2
Elastic Net,Large/Linfa,,,,60237093.0,ns,2
Elastic Net,Large/Linfa,,,,59719947.0,ns,2
Elastic Net,Large/Linfa,,,,62876730.0,ns,2
Elastic Net,Large/Linfa,,,,60618128.0,ns,2
Elastic Net,Large/Linfa,,,,60278997.0,ns,2
Elastic Net,Large/Linfa,,,,59100392.0,ns,2
Elastic Net,Large/Linfa,,,,59445222.0,ns,2
Elastic Net,Large/Linfa,,,,59603137.0,ns,2
Elastic Net,Large/Linfa,,,,59375516.0,ns,2
Elastic Net,Large/Linfa,,,,58612248.0,ns,2
Elastic Net,Large/Linfa,,,,60369805.0,ns,2
Elastic Net,Large/Linfa,,,,60281097.0,ns,2
Elastic Net,Large/Linfa,,,,60065278.0,ns,2
Elastic Net,Large/Linfa,,,,60295499.0,ns,2
Elastic Net,Large/Linfa,,,,60559622.0,ns,2
Elastic Net,Large/Linfa,,,,60682833.0,ns,2
Elastic Net,Large/Linfa,,,,59619239.0,ns,2
Elastic Net,Large/Linfa,,,,59726347.0,ns,2
Elastic Net,Large/Linfa,,,,61926444.0,ns,2
Elastic Net,Large/Linfa,,,,60927955.0,ns,2
Elastic Net,Large/Linfa,,,,62493396.0,ns,2
Elastic Net,Large/Linfa,,,,63405077.0,ns,2
Elastic Net,Large/Linfa,,,,63234162.0,ns,2
Elastic Net,Large/Linfa,,,,61538910.0,ns,2
Elastic Net,Large/Linfa,,,,61805734.0,ns,2
Elastic Net,Large/Linfa,,,,63738407.0,ns,2
Elastic Net,Large/Linfa,,,,62656710.0,ns,2
Elastic Net,Large/Linfa,,,,62271876.0,ns,2
Elastic Net,Large/Linfa,,,,62148965.0,ns,2
Elastic Net,Large/Linfa,,,,61535510.0,ns,2
Elastic Net,Large/Linfa,,,,62325381.0,ns,2
Elastic Net,Large/Linfa,,,,60579024.0,ns,2
Elastic Net,Large/Linfa,,,,59380617.0,ns,2
Elastic Net,Large/Linfa,,,,59171598.0,ns,2
Elastic Net,Large/Linfa,,,,59474625.0,ns,2
Elastic Net,Large/Linfa,,,,59953768.0,ns,2
Elastic Net,Large/Linfa,,,,59527930.0,ns,2
Elastic Net,Large/Linfa,,,,59862260.0,ns,2
Elastic Net,Large/Linfa,,,,60761540.0,ns,2
Elastic Net,Large/Linfa,,,,59588735.0,ns,2
Elastic Net,Large/Linfa,,,,58957779.0,ns,2
