group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Large/Linfa,,,,67824848.0,ns,3
Elastic Net,Large/Linfa,,,,66945536.0,ns,3
Elastic Net,Large/Linfa,,,,67697247.0,ns,3
Elastic Net,Large/Linfa,,,,67107639.0,ns,3
Elastic Net,Large/Linfa,,,,67586346.0,ns,3
Elastic Net,Large/Linfa,,,,66763433.0,ns,3
Elastic Net,Large/Linfa,,,,67188639.0,ns,3
Elastic Net,Large/Linfa,,,,68059752.0,ns,3
Elastic Net,Large/Linfa,,,,67127839.0,ns,3
Elastic Net,Large/Linfa,,,,66348428.0,ns,3
Elastic Net,Large/Linfa,,,,66958236.0,ns,3
Elastic Net,Large/Linfa,,,,67363042.0,ns,3
Elastic Net,Large/Linfa,,,,66821135.0,ns,3
Elastic Net,Large/Linfa,,,,66536927.0,ns,3
Elastic Net,Large/Linfa,,,,65836714.0,ns,3
Elastic Net,Large/Linfa,,,,66072118.0,ns,3
Elastic Net,Large/Linfa,,,,72274604.0,ns,3
Elastic Net,Large/Linfa,,,,66797228.0,ns,3
Elastic Net,Large/Linfa,,,,66818828.0,ns,3
Elastic Net,Large/Linfa,,,,66734227.0,ns,3
Elastic Net,Large/Linfa,,,,68396350.0,ns,3
Elastic Net,Large/Linfa,,,,67313635.0,ns,3
Elastic Net,Large/Linfa,,,,66829728.0,ns,3
Elastic Net,Large/Linfa,,,,68087345.0,ns,3
Elastic Net,Large/Linfa,,,,68710554.0,ns,3
Elastic Net,Large/Linfa,,,,67462637.0,ns,3
Elastic Net,Large/Linfa,,,,66722626.0,ns,3
Elastic Net,Large/Linfa,,,,66229220.0,ns,3
Elastic Net,Large/Linfa,,,,66685326.0,ns,3
Elastic Net,Large/Linfa,,,,66826328.0,ns,3
Elastic Net,Large/Linfa,,,,67401036.0,ns,3
Elastic Net,Large/Linfa,,,,67583838.0,ns,3
Elastic Net,Large/Linfa,,,,67260034.0,ns,3
Elastic Net,Large/Linfa,,,,67854642.0,ns,3
Elastic Net,Large/Linfa,,,,67849842.0,ns,3
Elastic Net,Large/Linfa,,,,67432837.0,ns,3
Elastic Net,Large/Linfa,,,,67607039.0,ns,3
Elastic Net,Large/Linfa,,,,67078531.0,ns,3
Elastic Net,Large/Linfa,,,,67684040.0,ns,3
Elastic Net,Large/Linfa,,,,70578980.0,ns,3
Elastic Net,Large/Linfa,,,,71444692.0,ns,3
Elastic Net,Large/Linfa,,,,69140260.0,ns,3
Elastic Net,Large/Linfa,,,,68168547.0,ns,3
Elastic Net,Large/Linfa,,,,67665340.0,ns,3
Elastic Net,Large/Linfa,,,,67974544.0,ns,3
Elastic Net,Large/Linfa,,,,68341249.0,ns,3
Elastic Net,Large/Linfa,,,,68233147.0,ns,3
Elastic Net,Large/Linfa,,,,69989172.0,ns,3
Elastic Net,Large/Linfa,,,,70942985.0,ns,3
Elastic Net,Large/Linfa,,,,71646496.0,ns,3
Elastic Net,Large/Linfa,,,,69677568.0,ns,3
Elastic Net,Large/Linfa,,,,68708754.0,ns,3
Elastic Net,Large/Linfa,,,,69474364.0,ns,3
Elastic Net,Large/Linfa,,,,67162233.0,ns,3
Elastic Net,Large/Linfa,,,,68458151.0,ns,3
Elastic Net,Large/Linfa,,,,70196975.0,ns,3
Elastic Net,Large/Linfa,,,,67749641.0,ns,3
Elastic Net,Large/Linfa,,,,68725055.0,ns,3
Elastic Net,Large/Linfa,,,,67781441.0,ns,3
Elastic Net,Large/Linfa,,,,76995569.0,ns,3
Elastic Net,Large/Linfa,,,,78692093.0,ns,3
Elastic Net,Large/Linfa,,,,74514035.0,ns,3
Elastic Net,Large/Linfa,,,,72490706.0,ns,3
Elastic Net,Large/Linfa,,,,72528707.0,ns,3
Elastic Net,Large/Linfa,,,,72867912.0,ns,3
Elastic Net,Large/Linfa,,,,72828111.0,ns,3
Elastic Net,Large/Linfa,,,,68325049.0,ns,3
Elastic Net,Large/Linfa,,,,68646053.0,ns,3
Elastic Net,Large/Linfa,,,,69264662.0,ns,3
Elastic Net,Large/Linfa,,,,68060645.0,ns,3
Elastic Net,Large/Linfa,,,,68411450.0,ns,3
Elastic Net,Large/Linfa,,,,68146746.0,ns,3
Elastic Net,Large/Linfa,,,,67317035.0,ns,3
Elastic Net,Large/Linfa,,,,73508821.0,ns,3
Elastic Net,Large/Linfa,,,,69650268.0,ns,3
Elastic Net,Large/Linfa,,,,68191747.0,ns,3
Elastic Net,Large/Linfa,,,,71616995.0,ns,3
Elastic Net,Large/Linfa,,,,69184261.0,ns,3
Elastic Net,Large/Linfa,,,,69938471.0,ns,3
Elastic Net,Large/Linfa,,,,68678853.0,ns,3
Elastic Net,Large/Linfa,,,,71630095.0,ns,3
Elastic Net,Large/Linfa,,,,69550066.0,ns,3
Elastic Net,Large/Linfa,,,,68027245.0,ns,3
Elastic Net,Large/Linfa,,,,68371250.0,ns,3
Elastic Net,Large/Linfa,,,,69317363.0,ns,3
Elastic Net,Large/Linfa,,,,76093057.0,ns,3
Elastic Net,Large/Linfa,,,,69243762.0,ns,3
Elastic Net,Large/Linfa,,,,68705555.0,ns,3
Elastic Net,Large/Linfa,,,,67841742.0,ns,3
Elastic Net,Large/Linfa,,,,67420036.0,ns,3
Elastic Net,Large/Linfa,,,,69324263.0,ns,3
Elastic Net,Large/Linfa,,,,69005358.0,ns,3
Elastic Net,Large/Linfa,,,,69213061.0,ns,3
Elastic Net,Large/Linfa,,,,67002831.0,ns,3
Elastic Net,Large/Linfa,,,,68877157.0,ns,3
Elastic Net,Large/Linfa,,,,67479137.0,ns,3
Elastic Net,Large/Linfa,,,,66907530.0,ns,3
Elastic Net,Large/Linfa,,,,68052045.0,ns,3
Elastic Net,Large/Linfa,,,,68131547.0,ns,3
Elastic Net,Large/Linfa,,,,67086831.0,ns,3
