group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Large/Smart,,,,267044249.0,ns,1
Elastic Net,Large/Smart,,,,267187150.0,ns,1
Elastic Net,Large/Smart,,,,266197642.0,ns,1
Elastic Net,Large/Smart,,,,267965555.0,ns,1
Elastic Net,Large/Smart,,,,266997148.0,ns,1
Elastic Net,Large/Smart,,,,267308351.0,ns,1
Elastic Net,Large/Smart,,,,266315843.0,ns,1
Elastic Net,Large/Smart,,,,266584245.0,ns,1
Elastic Net,Large/Smart,,,,267120049.0,ns,1
Elastic Net,Large/Smart,,,,301278599.0,ns,1
Elastic Net,Large/Smart,,,,266084141.0,ns,1
Elastic Net,Large/Smart,,,,267112349.0,ns,1
Elastic Net,Large/Smart,,,,268307258.0,ns,1
Elastic Net,Large/Smart,,,,267392551.0,ns,1
Elastic Net,Large/Smart,,,,267249150.0,ns,1
Elastic Net,Large/Smart,,,,267340451.0,ns,1
Elastic Net,Large/Smart,,,,266770847.0,ns,1
Elastic Net,Large/Smart,,,,267137849.0,ns,1
Elastic Net,Large/Smart,,,,267394651.0,ns,1
Elastic Net,Large/Smart,,,,266601545.0,ns,1
Elastic Net,Large/Smart,,,,266847251.0,ns,1
Elastic Net,Large/Smart,,,,286013934.0,ns,1
Elastic Net,Large/Smart,,,,267356595.0,ns,1
Elastic Net,Large/Smart,,,,266096386.0,ns,1
Elastic Net,Large/Smart,,,,267669998.0,ns,1
Elastic Net,Large/Smart,,,,266758490.0,ns,1
Elastic Net,Large/Smart,,,,266246587.0,ns,1
Elastic Net,Large/Smart,,,,265206779.0,ns,1
Elastic Net,Large/Smart,,,,282777510.0,ns,1
Elastic Net,Large/Smart,,,,267421996.0,ns,1
Elastic Net,Large/Smart,,,,266480289.0,ns,1
Elastic Net,Large/Smart,,,,269144308.0,ns,1
Elastic Net,Large/Smart,,,,267300194.0,ns,1
Elastic Net,Large/Smart,,,,268714005.0,ns,1
Elastic Net,Large/Smart,,,,269264609.0,ns,1
Elastic Net,Large/Smart,,,,268264701.0,ns,1
Elastic Net,Large/Smart,,,,266831191.0,ns,1
Elastic Net,Large/Smart,,,,267041492.0,ns,1
Elastic Net,Large/Smart,,,,267361795.0,ns,1
Elastic Net,Large/Smart,,,,267637297.0,ns,1
Elastic Net,Large/Smart,,,,267315594.0,ns,1
Elastic Net,Large/Smart,,,,269568112.0,ns,1
Elastic Net,Large/Smart,,,,267073493.0,ns,1
Elastic Net,Large/Smart,,,,266660690.0,ns,1
Elastic Net,Large/Smart,,,,266875591.0,ns,1
Elastic Net,Large/Smart,,,,267340095.0,ns,1
Elastic Net,Large/Smart,,,,267349794.0,ns,1
Elastic Net,Large/Smart,,,,266752491.0,ns,1
Elastic Net,Large/Smart,,,,292468537.0,ns,1
Elastic Net,Large/Smart,,,,266174815.0,ns,1
Elastic Net,Large/Smart,,,,266823820.0,ns,1
Elastic Net,Large/Smart,,,,267061121.0,ns,1
Elastic Net,Large/Smart,,,,266611218.0,ns,1
Elastic Net,Large/Smart,,,,267134122.0,ns,1
Elastic Net,Large/Smart,,,,267100422.0,ns,1
Elastic Net,Large/Smart,,,,265862513.0,ns,1
Elastic Net,Large/Smart,,,,267126822.0,ns,1
Elastic Net,Large/Smart,,,,266722219.0,ns,1
Elastic Net,Large/Smart,,,,265487210.0,ns,1
Elastic Net,Large/Smart,,,,265790613.0,ns,1
Elastic Net,Large/Smart,,,,266905421.0,ns,1
Elastic Net,Large/Smart,,,,266164515.0,ns,1
Elastic Net,Large/Smart,,,,266556117.0,ns,1
Elastic Net,Large/Smart,,,,266560018.0,ns,1
Elastic Net,Large/Smart,,,,266778819.0,ns,1
Elastic Net,Large/Smart,,,,267109322.0,ns,1
Elastic Net,Large/Smart,,,,267518224.0,ns,1
Elastic Net,Large/Smart,,,,266674819.0,ns,1
Elastic Net,Large/Smart,,,,266200015.0,ns,1
Elastic Net,Large/Smart,,,,266217516.0,ns,1
Elastic Net,Large/Smart,,,,265668311.0,ns,1
Elastic Net,Large/Smart,,,,267846727.0,ns,1
Elastic Net,Large/Smart,,,,265560910.0,ns,1
Elastic Net,Large/Smart,,,,265464710.0,ns,1
Elastic Net,Large/Smart,,,,266673018.0,ns,1
Elastic Net,Large/Smart,,,,266335717.0,ns,1
Elastic Net,Large/Smart,,,,267402501.0,ns,1
Elastic Net,Large/Smart,,,,266601111.0,ns,1
Elastic Net,Large/Smart,,,,265473203.0,ns,1
Elastic Net,Large/Smart,,,,266930414.0,ns,1
Elastic Net,Large/Smart,,,,267381917.0,ns,1
