group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Large/Smart,,,,473311701.0,ns,1
Elastic Net,Large/Smart,,,,487064146.0,ns,1
Elastic Net,Large/Smart,,,,472251537.0,ns,1
Elastic Net,Large/Smart,,,,473552164.0,ns,1
Elastic Net,Large/Smart,,,,473085459.0,ns,1
Elastic Net,Large/Smart,,,,473951569.0,ns,1
Elastic Net,Large/Smart,,,,473095459.0,ns,1
Elastic Net,Large/Smart,,,,473158360.0,ns,1
Elastic Net,Large/Smart,,,,472144148.0,ns,1
Elastic Net,Large/Smart,,,,472772155.0,ns,1
Elastic Net,Large/Smart,,,,489274253.0,ns,1
Elastic Net,Large/Smart,,,,481181056.0,ns,1
Elastic Net,Large/Smart,,,,477697114.0,ns,1
Elastic Net,Large/Smart,,,,475910515.0,ns,1
Elastic Net,Large/Smart,,,,474761461.0,ns,1
Elastic Net,Large/Smart,,,,475230667.0,ns,1
Elastic Net,Large/Smart,,,,475141266.0,ns,1
Elastic Net,Large/Smart,,,,474543658.0,ns,1
Elastic Net,Large/Smart,,,,474146284.0,ns,1
Elastic Net,Large/Smart,,,,477333460.0,ns,1
Elastic Net,Large/Smart,,,,477669862.0,ns,1
Elastic Net,Large/Smart,,,,476231256.0,ns,1
Elastic Net,Large/Smart,,,,476297056.0,ns,1
Elastic Net,Large/Smart,,,,476754658.0,ns,1
Elastic Net,Large/Smart,,,,479246568.0,ns,1
Elastic Net,Large/Smart,,,,480131470.0,ns,1
Elastic Net,Large/Smart,,,,477268069.0,ns,1
Elastic Net,Large/Smart,,,,478940270.0,ns,1
Elastic Net,Large/Smart,,,,480107085.0,ns,1
Elastic Net,Large/Smart,,,,483679434.0,ns,1
Elastic Net,Large/Smart,,,,476616437.0,ns,1
Elastic Net,Large/Smart,,,,480960597.0,ns,1
Elastic Net,Large/Smart,,,,480969998.0,ns,1
Elastic Net,Large/Smart,,,,479482677.0,ns,1
Elastic Net,Large/Smart,,,,479688696.0,ns,1
Elastic Net,Large/Smart,,,,476810983.0,ns,1
Elastic Net,Large/Smart,,,,474874160.0,ns,1
Elastic Net,Large/Smart,,,,479439115.0,ns,1
Elastic Net,Large/Smart,,,,475119163.0,ns,1
Elastic Net,Large/Smart,,,,474462155.0,ns,1
Elastic Net,Large/Smart,,,,476028474.0,ns,1
Elastic Net,Large/Smart,,,,482245849.0,ns,1
Elastic Net,Large/Smart,,,,477952597.0,ns,1
Elastic Net,Large/Smart,,,,478794808.0,ns,1
Elastic Net,Large/Smart,,,,476243777.0,ns,1
Elastic Net,Large/Smart,,,,475962473.0,ns,1
Elastic Net,Large/Smart,,,,474956161.0,ns,1
Elastic Net,Large/Smart,,,,499093849.0,ns,1
Elastic Net,Large/Smart,,,,474780059.0,ns,1
Elastic Net,Large/Smart,,,,476240176.0,ns,1
Elastic Net,Large/Smart,,,,475799799.0,ns,1
Elastic Net,Large/Smart,,,,530422575.0,ns,1
Elastic Net,Large/Smart,,,,489240381.0,ns,1
Elastic Net,Large/Smart,,,,489282881.0,ns,1
Elastic Net,Large/Smart,,,,477275937.0,ns,1
Elastic Net,Large/Smart,,,,479470864.0,ns,1
Elastic Net,Large/Smart,,,,476345526.0,ns,1
Elastic Net,Large/Smart,,,,474785207.0,ns,1
Elastic Net,Large/Smart,,,,474110399.0,ns,1
Elastic Net,Large/Smart,,,,474729907.0,ns,1
Elastic Net,Large/Smart,,,,474653606.0,ns,1
Elastic Net,Large/Smart,,,,476168224.0,ns,1
