group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Large/Smartcore,,,,260124441.0,ns,1
Elastic Net,Large/Smartcore,,,,258518839.0,ns,1
Elastic Net,Large/Smartcore,,,,267068647.0,ns,1
Elastic Net,Large/Smartcore,,,,259068548.0,ns,1
Elastic Net,Large/Smartcore,,,,252836390.0,ns,1
Elastic Net,Large/Smartcore,,,,282770700.0,ns,1
Elastic Net,Large/Smartcore,,,,283719601.0,ns,1
Elastic Net,Large/Smartcore,,,,263131494.0,ns,1
Elastic Net,Large/Smartcore,,,,286019702.0,ns,1
Elastic Net,Large/Smartcore,,,,256602091.0,ns,1
Elastic Net,Large/Smartcore,,,,271903097.0,ns,1
Elastic Net,Large/Smartcore,,,,250779889.0,ns,1
Elastic Net,Large/Smartcore,,,,270302596.0,ns,1
Elastic Net,Large/Smartcore,,,,261678193.0,ns,1
Elastic Net,Large/Smartcore,,,,260312792.0,ns,1
Elastic Net,Large/Smartcore,,,,262715194.0,ns,1
Elastic Net,Large/Smartcore,,,,258076092.0,ns,1
Elastic Net,Large/Smartcore,,,,251220089.0,ns,1
Elastic Net,Large/Smartcore,,,,262770293.0,ns,1
Elastic Net,Large/Smartcore,,,,269828996.0,ns,1
Elastic Net,Large/Smartcore,,,,268854496.0,ns,1
Elastic Net,Large/Smartcore,,,,256057891.0,ns,1
Elastic Net,Large/Smartcore,,,,252396590.0,ns,1
Elastic Net,Large/Smartcore,,,,257466791.0,ns,1
Elastic Net,Large/Smartcore,,,,269506696.0,ns,1
Elastic Net,Large/Smartcore,,,,282041600.0,ns,1
Elastic Net,Large/Smartcore,,,,251611190.0,ns,1
Elastic Net,Large/Smartcore,,,,256502891.0,ns,1
Elastic Net,Large/Smartcore,,,,258486691.0,ns,1
Elastic Net,Large/Smartcore,,,,249674988.0,ns,1
Elastic Net,Large/Smartcore,,,,252996790.0,ns,1
Elastic Net,Large/Smartcore,,,,255182948.0,ns,1
Elastic Net,Large/Smartcore,,,,259767371.0,ns,1
Elastic Net,Large/Smartcore,,,,254183568.0,ns,1
Elastic Net,Large/Smartcore,,,,264485974.0,ns,1
Elastic Net,Large/Smartcore,,,,249186564.0,ns,1
Elastic Net,Large/Smartcore,,,,261179673.0,ns,1
Elastic Net,Large/Smartcore,,,,264985175.0,ns,1
Elastic Net,Large/Smartcore,,,,256908570.0,ns,1
Elastic Net,Large/Smartcore,,,,281257886.0,ns,1
Elastic Net,Large/Smartcore,,,,284744388.0,ns,1
Elastic Net,Large/Smartcore,,,,259079171.0,ns,1
Elastic Net,Large/Smartcore,,,,262576074.0,ns,1
Elastic Net,Large/Smartcore,,,,258261870.0,ns,1
Elastic Net,Large/Smartcore,,,,255626869.0,ns,1
