group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Linfa,,,,1736017.0,ns,2
Elastic Net,Linfa,,,,3461035.0,ns,4
Elastic Net,Linfa,,,,5204552.0,ns,6
Elastic Net,Linfa,,,,6934870.0,ns,8
Elastic Net,Linfa,,,,8681087.0,ns,10
Elastic Net,Linfa,,,,10409805.0,ns,12
Elastic Net,Linfa,,,,12141222.0,ns,14
Elastic Net,Linfa,,,,13879440.0,ns,16
Elastic Net,Linfa,,,,15646657.0,ns,18
Elastic Net,Linfa,,,,17340375.0,ns,20
Elastic Net,Linfa,,,,19061091.0,ns,22
Elastic Net,Linfa,,,,20870610.0,ns,24
Elastic Net,Linfa,,,,22587127.0,ns,26
Elastic Net,Linfa,,,,24262444.0,ns,28
Elastic Net,Linfa,,,,25994262.0,ns,30
Elastic Net,Linfa,,,,27749879.0,ns,32
Elastic Net,Linfa,,,,29584798.0,ns,34
Elastic Net,Linfa,,,,31216614.0,ns,36
Elastic Net,Linfa,,,,33317835.0,ns,38
Elastic Net,Linfa,,,,34691849.0,ns,40
Elastic Net,Linfa,,,,36483667.0,ns,42
Elastic Net,Linfa,,,,38203684.0,ns,44
Elastic Net,Linfa,,,,40187804.0,ns,46
Elastic Net,Linfa,,,,41629219.0,ns,48
Elastic Net,Linfa,,,,43351236.0,ns,50
Elastic Net,Linfa,,,,45177954.0,ns,52
Elastic Net,Linfa,,,,46805971.0,ns,54
Elastic Net,Linfa,,,,48554688.0,ns,56
Elastic Net,Linfa,,,,50335006.0,ns,58
Elastic Net,Linfa,,,,52040124.0,ns,60
Elastic Net,Linfa,,,,53875242.0,ns,62
Elastic Net,Linfa,,,,55504458.0,ns,64
Elastic Net,Linfa,,,,57216075.0,ns,66
Elastic Net,Linfa,,,,58985994.0,ns,68
Elastic Net,Linfa,,,,61737121.0,ns,70
Elastic Net,Linfa,,,,62391427.0,ns,72
Elastic Net,Linfa,,,,64100845.0,ns,74
Elastic Net,Linfa,,,,65967963.0,ns,76
Elastic Net,Linfa,,,,67859383.0,ns,78
Elastic Net,Linfa,,,,72534329.0,ns,80
Elastic Net,Linfa,,,,71099015.0,ns,82
Elastic Net,Linfa,,,,72832933.0,ns,84
Elastic Net,Linfa,,,,74673051.0,ns,86
Elastic Net,Linfa,,,,76310568.0,ns,88
Elastic Net,Linfa,,,,78123985.0,ns,90
Elastic Net,Linfa,,,,79992705.0,ns,92
Elastic Net,Linfa,,,,81516920.0,ns,94
Elastic Net,Linfa,,,,83302438.0,ns,96
Elastic Net,Linfa,,,,85007455.0,ns,98
Elastic Net,Linfa,,,,86677671.0,ns,100
Elastic Net,Linfa,,,,88491590.0,ns,102
Elastic Net,Linfa,,,,90312109.0,ns,104
Elastic Net,Linfa,,,,91908124.0,ns,106
Elastic Net,Linfa,,,,93665342.0,ns,108
Elastic Net,Linfa,,,,95419960.0,ns,110
Elastic Net,Linfa,,,,97163477.0,ns,112
Elastic Net,Linfa,,,,99002496.0,ns,114
Elastic Net,Linfa,,,,100577611.0,ns,116
Elastic Net,Linfa,,,,102281229.0,ns,118
Elastic Net,Linfa,,,,103952746.0,ns,120
Elastic Net,Linfa,,,,105708563.0,ns,122
Elastic Net,Linfa,,,,107467581.0,ns,124
Elastic Net,Linfa,,,,109326999.0,ns,126
Elastic Net,Linfa,,,,111073317.0,ns,128
Elastic Net,Linfa,,,,112670034.0,ns,130
Elastic Net,Linfa,,,,114703653.0,ns,132
Elastic Net,Linfa,,,,116120168.0,ns,134
Elastic Net,Linfa,,,,117801485.0,ns,136
Elastic Net,Linfa,,,,119520002.0,ns,138
Elastic Net,Linfa,,,,121287720.0,ns,140
Elastic Net,Linfa,,,,123339244.0,ns,142
Elastic Net,Linfa,,,,124850322.0,ns,144
Elastic Net,Linfa,,,,126824050.0,ns,146
Elastic Net,Linfa,,,,128390171.0,ns,148
Elastic Net,Linfa,,,,130153396.0,ns,150
Elastic Net,Linfa,,,,131778818.0,ns,152
Elastic Net,Linfa,,,,133406540.0,ns,154
Elastic Net,Linfa,,,,135372368.0,ns,156
Elastic Net,Linfa,,,,137302594.0,ns,158
Elastic Net,Linfa,,,,138951417.0,ns,160
Elastic Net,Linfa,,,,140493838.0,ns,162
Elastic Net,Linfa,,,,142303563.0,ns,164
Elastic Net,Linfa,,,,143986487.0,ns,166
Elastic Net,Linfa,,,,145714910.0,ns,168
Elastic Net,Linfa,,,,147499535.0,ns,170
Elastic Net,Linfa,,,,149447662.0,ns,172
Elastic Net,Linfa,,,,150983883.0,ns,174
Elastic Net,Linfa,,,,152677106.0,ns,176
Elastic Net,Linfa,,,,157850978.0,ns,178
Elastic Net,Linfa,,,,160108309.0,ns,180
Elastic Net,Linfa,,,,158471286.0,ns,182
Elastic Net,Linfa,,,,166574098.0,ns,184
Elastic Net,Linfa,,,,161430627.0,ns,186
Elastic Net,Linfa,,,,163051049.0,ns,188
Elastic Net,Linfa,,,,167713314.0,ns,190
Elastic Net,Linfa,,,,166442696.0,ns,192
Elastic Net,Linfa,,,,168483025.0,ns,194
Elastic Net,Linfa,,,,171437765.0,ns,196
Elastic Net,Linfa,,,,172544580.0,ns,198
Elastic Net,Linfa,,,,175830626.0,ns,200
