group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Linfa,,,,1784035.0,ns,2
Elastic Net,Linfa,,,,3580571.0,ns,4
Elastic Net,Linfa,,,,5471007.0,ns,6
Elastic Net,Linfa,,,,7161241.0,ns,8
Elastic Net,Linfa,,,,8947876.0,ns,10
Elastic Net,Linfa,,,,10741011.0,ns,12
Elastic Net,Linfa,,,,12533346.0,ns,14
Elastic Net,Linfa,,,,14320582.0,ns,16
Elastic Net,Linfa,,,,16465823.0,ns,18
Elastic Net,Linfa,,,,17934253.0,ns,20
Elastic Net,Linfa,,,,19787489.0,ns,22
Elastic Net,Linfa,,,,21550223.0,ns,24
Elastic Net,Linfa,,,,23283058.0,ns,26
Elastic Net,Linfa,,,,25300397.0,ns,28
Elastic Net,Linfa,,,,26889528.0,ns,30
Elastic Net,Linfa,,,,28648863.0,ns,32
Elastic Net,Linfa,,,,30435299.0,ns,34
Elastic Net,Linfa,,,,32314335.0,ns,36
Elastic Net,Linfa,,,,34023468.0,ns,38
Elastic Net,Linfa,,,,35849105.0,ns,40
Elastic Net,Linfa,,,,37624639.0,ns,42
Elastic Net,Linfa,,,,39424075.0,ns,44
Elastic Net,Linfa,,,,41214310.0,ns,46
Elastic Net,Linfa,,,,43003045.0,ns,48
Elastic Net,Linfa,,,,44794780.0,ns,50
Elastic Net,Linfa,,,,46589616.0,ns,52
Elastic Net,Linfa,,,,48368951.0,ns,54
Elastic Net,Linfa,,,,50189886.0,ns,56
Elastic Net,Linfa,,,,51964521.0,ns,58
Elastic Net,Linfa,,,,53781957.0,ns,60
Elastic Net,Linfa,,,,55515091.0,ns,62
Elastic Net,Linfa,,,,57404228.0,ns,64
Elastic Net,Linfa,,,,59189363.0,ns,66
Elastic Net,Linfa,,,,60961198.0,ns,68
Elastic Net,Linfa,,,,62696533.0,ns,70
Elastic Net,Linfa,,,,64620670.0,ns,72
Elastic Net,Linfa,,,,66302403.0,ns,74
Elastic Net,Linfa,,,,68117438.0,ns,76
Elastic Net,Linfa,,,,69895674.0,ns,78
Elastic Net,Linfa,,,,71685309.0,ns,80
Elastic Net,Linfa,,,,75216578.0,ns,82
Elastic Net,Linfa,,,,75252079.0,ns,84
Elastic Net,Linfa,,,,77074014.0,ns,86
Elastic Net,Linfa,,,,78912351.0,ns,88
Elastic Net,Linfa,,,,80780588.0,ns,90
Elastic Net,Linfa,,,,82605523.0,ns,92
Elastic Net,Linfa,,,,84327557.0,ns,94
Elastic Net,Linfa,,,,86024391.0,ns,96
Elastic Net,Linfa,,,,88314335.0,ns,98
Elastic Net,Linfa,,,,89568261.0,ns,100
Elastic Net,Linfa,,,,91394096.0,ns,102
Elastic Net,Linfa,,,,93353434.0,ns,104
Elastic Net,Linfa,,,,94996167.0,ns,106
Elastic Net,Linfa,,,,96882104.0,ns,108
Elastic Net,Linfa,,,,98625738.0,ns,110
Elastic Net,Linfa,,,,100364573.0,ns,112
Elastic Net,Linfa,,,,102405412.0,ns,114
Elastic Net,Linfa,,,,104091346.0,ns,116
Elastic Net,Linfa,,,,105992983.0,ns,118
Elastic Net,Linfa,,,,107538513.0,ns,120
Elastic Net,Linfa,,,,109271048.0,ns,122
Elastic Net,Linfa,,,,111109183.0,ns,124
Elastic Net,Linfa,,,,112889619.0,ns,126
Elastic Net,Linfa,,,,114852857.0,ns,128
Elastic Net,Linfa,,,,116588391.0,ns,130
Elastic Net,Linfa,,,,118395827.0,ns,132
Elastic Net,Linfa,,,,120083360.0,ns,134
Elastic Net,Linfa,,,,121936496.0,ns,136
Elastic Net,Linfa,,,,123704831.0,ns,138
Elastic Net,Linfa,,,,125523367.0,ns,140
Elastic Net,Linfa,,,,127221300.0,ns,142
Elastic Net,Linfa,,,,129066437.0,ns,144
Elastic Net,Linfa,,,,130853271.0,ns,146
Elastic Net,Linfa,,,,132651807.0,ns,148
Elastic Net,Linfa,,,,134441042.0,ns,150
Elastic Net,Linfa,,,,136550884.0,ns,152
Elastic Net,Linfa,,,,138026712.0,ns,154
Elastic Net,Linfa,,,,139824248.0,ns,156
Elastic Net,Linfa,,,,141606383.0,ns,158
Elastic Net,Linfa,,,,143436119.0,ns,160
Elastic Net,Linfa,,,,145657762.0,ns,162
Elastic Net,Linfa,,,,147114695.0,ns,164
Elastic Net,Linfa,,,,148817029.0,ns,166
Elastic Net,Linfa,,,,150520862.0,ns,168
Elastic Net,Linfa,,,,152280597.0,ns,170
Elastic Net,Linfa,,,,154114433.0,ns,172
Elastic Net,Linfa,,,,156978589.0,ns,174
Elastic Net,Linfa,,,,157970009.0,ns,176
Elastic Net,Linfa,,,,160161752.0,ns,178
Elastic Net,Linfa,,,,161297274.0,ns,180
Elastic Net,Linfa,,,,165580259.0,ns,182
Elastic Net,Linfa,,,,164961746.0,ns,184
Elastic Net,Linfa,,,,166845584.0,ns,186
Elastic Net,Linfa,,,,168640219.0,ns,188
Elastic Net,Linfa,,,,170443754.0,ns,190
Elastic Net,Linfa,,,,172183288.0,ns,192
Elastic Net,Linfa,,,,173852622.0,ns,194
Elastic Net,Linfa,,,,175607356.0,ns,196
Elastic Net,Linfa,,,,177443592.0,ns,198
Elastic Net,Linfa,,,,179424631.0,ns,200
