group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Medium/Linfa,,,,1207715.0,ns,1
Elastic Net,Medium/Linfa,,,,2722534.0,ns,2
Elastic Net,Medium/Linfa,,,,3555145.0,ns,3
Elastic Net,Medium/Linfa,,,,4779160.0,ns,4
Elastic Net,Medium/Linfa,,,,6277678.0,ns,5
Elastic Net,Medium/Linfa,,,,7110088.0,ns,6
Elastic Net,Medium/Linfa,,,,8608407.0,ns,7
Elastic Net,Medium/Linfa,,,,9790622.0,ns,8
Elastic Net,Medium/Linfa,,,,11159539.0,ns,9
Elastic Net,Medium/Linfa,,,,12640457.0,ns,10
Elastic Net,Medium/Linfa,,,,13641169.0,ns,11
Elastic Net,Medium/Linfa,,,,16200002.0,ns,12
Elastic Net,Medium/Linfa,,,,18210827.0,ns,13
Elastic Net,Medium/Linfa,,,,16842409.0,ns,14
Elastic Net,Medium/Linfa,,,,18922435.0,ns,15
Elastic Net,Medium/Linfa,,,,19982748.0,ns,16
Elastic Net,Medium/Linfa,,,,21033061.0,ns,17
Elastic Net,Medium/Linfa,,,,22221076.0,ns,18
Elastic Net,Medium/Linfa,,,,22923485.0,ns,19
Elastic Net,Medium/Linfa,,,,24158700.0,ns,20
Elastic Net,Medium/Linfa,,,,25609818.0,ns,21
Elastic Net,Medium/Linfa,,,,26458329.0,ns,22
Elastic Net,Medium/Linfa,,,,28176751.0,ns,23
Elastic Net,Medium/Linfa,,,,29155463.0,ns,24
Elastic Net,Medium/Linfa,,,,30727682.0,ns,25
Elastic Net,Medium/Linfa,,,,32755308.0,ns,26
Elastic Net,Medium/Linfa,,,,32968810.0,ns,27
Elastic Net,Medium/Linfa,,,,34364327.0,ns,28
Elastic Net,Medium/Linfa,,,,35145738.0,ns,29
Elastic Net,Medium/Linfa,,,,37004460.0,ns,30
Elastic Net,Medium/Linfa,,,,37807871.0,ns,31
Elastic Net,Medium/Linfa,,,,38560880.0,ns,32
Elastic Net,Medium/Linfa,,,,40226800.0,ns,33
Elastic Net,Medium/Linfa,,,,41882121.0,ns,34
Elastic Net,Medium/Linfa,,,,44090749.0,ns,35
Elastic Net,Medium/Linfa,,,,44249650.0,ns,36
Elastic Net,Medium/Linfa,,,,46057773.0,ns,37
Elastic Net,Medium/Linfa,,,,47595492.0,ns,38
Elastic Net,Medium/Linfa,,,,48263001.0,ns,39
Elastic Net,Medium/Linfa,,,,48248601.0,ns,40
Elastic Net,Medium/Linfa,,,,50190824.0,ns,41
Elastic Net,Medium/Linfa,,,,51413839.0,ns,42
Elastic Net,Medium/Linfa,,,,53045260.0,ns,43
Elastic Net,Medium/Linfa,,,,54107873.0,ns,44
Elastic Net,Medium/Linfa,,,,55131486.0,ns,45
Elastic Net,Medium/Linfa,,,,56154098.0,ns,46
Elastic Net,Medium/Linfa,,,,58636330.0,ns,47
Elastic Net,Medium/Linfa,,,,59635242.0,ns,48
Elastic Net,Medium/Linfa,,,,61048460.0,ns,49
Elastic Net,Medium/Linfa,,,,61305563.0,ns,50
Elastic Net,Medium/Linfa,,,,61191461.0,ns,51
Elastic Net,Medium/Linfa,,,,64687405.0,ns,52
Elastic Net,Medium/Linfa,,,,65210411.0,ns,53
Elastic Net,Medium/Linfa,,,,65289812.0,ns,54
Elastic Net,Medium/Linfa,,,,66788431.0,ns,55
Elastic Net,Medium/Linfa,,,,68656255.0,ns,56
Elastic Net,Medium/Linfa,,,,71358188.0,ns,57
Elastic Net,Medium/Linfa,,,,72247599.0,ns,58
Elastic Net,Medium/Linfa,,,,74200523.0,ns,59
Elastic Net,Medium/Linfa,,,,74522627.0,ns,60
Elastic Net,Medium/Linfa,,,,77813568.0,ns,61
Elastic Net,Medium/Linfa,,,,76992457.0,ns,62
Elastic Net,Medium/Linfa,,,,77586266.0,ns,63
Elastic Net,Medium/Linfa,,,,79355487.0,ns,64
Elastic Net,Medium/Linfa,,,,80032896.0,ns,65
Elastic Net,Medium/Linfa,,,,79507889.0,ns,66
Elastic Net,Medium/Linfa,,,,81169809.0,ns,67
Elastic Net,Medium/Linfa,,,,85250561.0,ns,68
Elastic Net,Medium/Linfa,,,,85540164.0,ns,69
Elastic Net,Medium/Linfa,,,,86311574.0,ns,70
Elastic Net,Medium/Linfa,,,,87058683.0,ns,71
Elastic Net,Medium/Linfa,,,,89308211.0,ns,72
Elastic Net,Medium/Linfa,,,,90736429.0,ns,73
Elastic Net,Medium/Linfa,,,,92823355.0,ns,74
Elastic Net,Medium/Linfa,,,,93587165.0,ns,75
Elastic Net,Medium/Linfa,,,,94058770.0,ns,76
Elastic Net,Medium/Linfa,,,,94154871.0,ns,77
Elastic Net,Medium/Linfa,,,,95886493.0,ns,78
Elastic Net,Medium/Linfa,,,,100053045.0,ns,79
Elastic Net,Medium/Linfa,,,,98605826.0,ns,80
Elastic Net,Medium/Linfa,,,,100722653.0,ns,81
Elastic Net,Medium/Linfa,,,,101482762.0,ns,82
Elastic Net,Medium/Linfa,,,,102624476.0,ns,83
Elastic Net,Medium/Linfa,,,,103342786.0,ns,84
Elastic Net,Medium/Linfa,,,,105193708.0,ns,85
Elastic Net,Medium/Linfa,,,,107100033.0,ns,86
Elastic Net,Medium/Linfa,,,,107672539.0,ns,87
Elastic Net,Medium/Linfa,,,,109586863.0,ns,88
Elastic Net,Medium/Linfa,,,,111836092.0,ns,89
Elastic Net,Medium/Linfa,,,,111000580.0,ns,90
Elastic Net,Medium/Linfa,,,,111643888.0,ns,91
Elastic Net,Medium/Linfa,,,,112310397.0,ns,92
Elastic Net,Medium/Linfa,,,,112534300.0,ns,93
Elastic Net,Medium/Linfa,,,,121092507.0,ns,94
Elastic Net,Medium/Linfa,,,,118789578.0,ns,95
Elastic Net,Medium/Linfa,,,,119392185.0,ns,96
Elastic Net,Medium/Linfa,,,,123079231.0,ns,97
Elastic Net,Medium/Linfa,,,,122473723.0,ns,98
Elastic Net,Medium/Linfa,,,,127530186.0,ns,99
Elastic Net,Medium/Linfa,,,,125262959.0,ns,100
