group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Medium/Linfa,,,,51972966.0,ns,25
Elastic Net,Medium/Linfa,,,,51603267.0,ns,25
Elastic Net,Medium/Linfa,,,,52358866.0,ns,25
Elastic Net,Medium/Linfa,,,,53756465.0,ns,25
Elastic Net,Medium/Linfa,,,,51612066.0,ns,25
Elastic Net,Medium/Linfa,,,,49476568.0,ns,25
Elastic Net,Medium/Linfa,,,,55848464.0,ns,25
Elastic Net,Medium/Linfa,,,,51258267.0,ns,25
Elastic Net,Medium/Linfa,,,,51895566.0,ns,25
Elastic Net,Medium/Linfa,,,,52027666.0,ns,25
Elastic Net,Medium/Linfa,,,,52604866.0,ns,25
Elastic Net,Medium/Linfa,,,,51060567.0,ns,25
Elastic Net,Medium/Linfa,,,,56320663.0,ns,25
Elastic Net,Medium/Linfa,,,,51439466.0,ns,25
Elastic Net,Medium/Linfa,,,,56307263.0,ns,25
Elastic Net,Medium/Linfa,,,,50522367.0,ns,25
Elastic Net,Medium/Linfa,,,,57281263.0,ns,25
Elastic Net,Medium/Linfa,,,,50061368.0,ns,25
Elastic Net,Medium/Linfa,,,,49096568.0,ns,25
Elastic Net,Medium/Linfa,,,,50252867.0,ns,25
Elastic Net,Medium/Linfa,,,,50622767.0,ns,25
Elastic Net,Medium/Linfa,,,,55977864.0,ns,25
Elastic Net,Medium/Linfa,,,,50381167.0,ns,25
Elastic Net,Medium/Linfa,,,,52235466.0,ns,25
Elastic Net,Medium/Linfa,,,,50833667.0,ns,25
Elastic Net,Medium/Linfa,,,,49985168.0,ns,25
Elastic Net,Medium/Linfa,,,,51113667.0,ns,25
Elastic Net,Medium/Linfa,,,,49307368.0,ns,25
Elastic Net,Medium/Linfa,,,,50649868.0,ns,25
Elastic Net,Medium/Linfa,,,,49518768.0,ns,25
Elastic Net,Medium/Linfa,,,,50194567.0,ns,25
Elastic Net,Medium/Linfa,,,,57883063.0,ns,25
Elastic Net,Medium/Linfa,,,,53838666.0,ns,25
Elastic Net,Medium/Linfa,,,,50891767.0,ns,25
Elastic Net,Medium/Linfa,,,,52509466.0,ns,25
Elastic Net,Medium/Linfa,,,,55860464.0,ns,25
Elastic Net,Medium/Linfa,,,,51069867.0,ns,25
Elastic Net,Medium/Linfa,,,,50770567.0,ns,25
Elastic Net,Medium/Linfa,,,,49598568.0,ns,25
Elastic Net,Medium/Linfa,,,,52168266.0,ns,25
Elastic Net,Medium/Linfa,,,,52250566.0,ns,25
Elastic Net,Medium/Linfa,,,,52311767.0,ns,25
Elastic Net,Medium/Linfa,,,,49969568.0,ns,25
Elastic Net,Medium/Linfa,,,,52077567.0,ns,25
Elastic Net,Medium/Linfa,,,,50312368.0,ns,25
Elastic Net,Medium/Linfa,,,,54171365.0,ns,25
Elastic Net,Medium/Linfa,,,,50565168.0,ns,25
Elastic Net,Medium/Linfa,,,,51496467.0,ns,25
Elastic Net,Medium/Linfa,,,,48683369.0,ns,25
Elastic Net,Medium/Linfa,,,,55117765.0,ns,25
Elastic Net,Medium/Linfa,,,,49591968.0,ns,25
Elastic Net,Medium/Linfa,,,,51356466.0,ns,25
Elastic Net,Medium/Linfa,,,,50304967.0,ns,25
Elastic Net,Medium/Linfa,,,,52743566.0,ns,25
Elastic Net,Medium/Linfa,,,,52528466.0,ns,25
Elastic Net,Medium/Linfa,,,,52448766.0,ns,25
Elastic Net,Medium/Linfa,,,,51362867.0,ns,25
Elastic Net,Medium/Linfa,,,,53704866.0,ns,25
Elastic Net,Medium/Linfa,,,,52008566.0,ns,25
Elastic Net,Medium/Linfa,,,,52016966.0,ns,25
Elastic Net,Medium/Linfa,,,,54066765.0,ns,25
Elastic Net,Medium/Linfa,,,,51949867.0,ns,25
Elastic Net,Medium/Linfa,,,,57213563.0,ns,25
Elastic Net,Medium/Linfa,,,,49747467.0,ns,25
Elastic Net,Medium/Linfa,,,,50319667.0,ns,25
Elastic Net,Medium/Linfa,,,,50525367.0,ns,25
Elastic Net,Medium/Linfa,,,,49858967.0,ns,25
Elastic Net,Medium/Linfa,,,,50728167.0,ns,25
Elastic Net,Medium/Linfa,,,,50343168.0,ns,25
Elastic Net,Medium/Linfa,,,,53101466.0,ns,25
Elastic Net,Medium/Linfa,,,,52805065.0,ns,25
Elastic Net,Medium/Linfa,,,,50256267.0,ns,25
Elastic Net,Medium/Linfa,,,,51977866.0,ns,25
Elastic Net,Medium/Linfa,,,,51076667.0,ns,25
Elastic Net,Medium/Linfa,,,,55717964.0,ns,25
Elastic Net,Medium/Linfa,,,,52660166.0,ns,25
Elastic Net,Medium/Linfa,,,,51130467.0,ns,25
Elastic Net,Medium/Linfa,,,,56360964.0,ns,25
Elastic Net,Medium/Linfa,,,,52775566.0,ns,25
Elastic Net,Medium/Linfa,,,,50801567.0,ns,25
Elastic Net,Medium/Linfa,,,,51453067.0,ns,25
Elastic Net,Medium/Linfa,,,,56029263.0,ns,25
Elastic Net,Medium/Linfa,,,,49868368.0,ns,25
Elastic Net,Medium/Linfa,,,,52206166.0,ns,25
Elastic Net,Medium/Linfa,,,,49552168.0,ns,25
Elastic Net,Medium/Linfa,,,,51441867.0,ns,25
Elastic Net,Medium/Linfa,,,,51548367.0,ns,25
Elastic Net,Medium/Linfa,,,,51775766.0,ns,25
