group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Medium/Smart,,,,56173884.0,ns,6
Elastic Net,Medium/Smart,,,,56398387.0,ns,6
Elastic Net,Medium/Smart,,,,54048762.0,ns,6
Elastic Net,Medium/Smart,,,,56979093.0,ns,6
Elastic Net,Medium/Smart,,,,53637959.0,ns,6
Elastic Net,Medium/Smart,,,,53948862.0,ns,6
Elastic Net,Medium/Smart,,,,59233717.0,ns,6
Elastic Net,Medium/Smart,,,,54058263.0,ns,6
Elastic Net,Medium/Smart,,,,53629759.0,ns,6
Elastic Net,Medium/Smart,,,,56268386.0,ns,6
Elastic Net,Medium/Smart,,,,56416988.0,ns,6
Elastic Net,Medium/Smart,,,,59595621.0,ns,6
Elastic Net,Medium/Smart,,,,55845781.0,ns,6
Elastic Net,Medium/Smart,,,,56319986.0,ns,6
Elastic Net,Medium/Smart,,,,56534888.0,ns,6
Elastic Net,Medium/Smart,,,,57249196.0,ns,6
Elastic Net,Medium/Smart,,,,63682263.0,ns,6
Elastic Net,Medium/Smart,,,,50719128.0,ns,6
Elastic Net,Medium/Smart,,,,56507388.0,ns,6
Elastic Net,Medium/Smart,,,,59592221.0,ns,6
Elastic Net,Medium/Smart,,,,59419618.0,ns,6
Elastic Net,Medium/Smart,,,,55585493.0,ns,6
Elastic Net,Medium/Smart,,,,55812576.0,ns,6
Elastic Net,Medium/Smart,,,,56277383.0,ns,6
Elastic Net,Medium/Smart,,,,56291483.0,ns,6
Elastic Net,Medium/Smart,,,,53414043.0,ns,6
Elastic Net,Medium/Smart,,,,53074338.0,ns,6
Elastic Net,Medium/Smart,,,,52868035.0,ns,6
Elastic Net,Medium/Smart,,,,59274225.0,ns,6
Elastic Net,Medium/Smart,,,,56113481.0,ns,6
Elastic Net,Medium/Smart,,,,59910033.0,ns,6
Elastic Net,Medium/Smart,,,,63457183.0,ns,6
Elastic Net,Medium/Smart,,,,56128481.0,ns,6
Elastic Net,Medium/Smart,,,,59218424.0,ns,6
Elastic Net,Medium/Smart,,,,56167382.0,ns,6
Elastic Net,Medium/Smart,,,,56120981.0,ns,6
Elastic Net,Medium/Smart,,,,56173381.0,ns,6
Elastic Net,Medium/Smart,,,,56185981.0,ns,6
Elastic Net,Medium/Smart,,,,55963578.0,ns,6
Elastic Net,Medium/Smart,,,,56155981.0,ns,6
Elastic Net,Medium/Smart,,,,55903678.0,ns,6
Elastic Net,Medium/Smart,,,,53930550.0,ns,6
Elastic Net,Medium/Smart,,,,56539186.0,ns,6
Elastic Net,Medium/Smart,,,,56092780.0,ns,6
Elastic Net,Medium/Smart,,,,56327284.0,ns,6
Elastic Net,Medium/Smart,,,,61393454.0,ns,6
Elastic Net,Medium/Smart,,,,60563243.0,ns,6
Elastic Net,Medium/Smart,,,,52895336.0,ns,6
Elastic Net,Medium/Smart,,,,61674758.0,ns,6
Elastic Net,Medium/Smart,,,,59694730.0,ns,6
Elastic Net,Medium/Smart,,,,55553272.0,ns,6
Elastic Net,Medium/Smart,,,,56141081.0,ns,6
Elastic Net,Medium/Smart,,,,59088221.0,ns,6
Elastic Net,Medium/Smart,,,,53969650.0,ns,6
Elastic Net,Medium/Smart,,,,59325225.0,ns,6
Elastic Net,Medium/Smart,,,,50277499.0,ns,6
Elastic Net,Medium/Smart,,,,52828735.0,ns,6
Elastic Net,Medium/Smart,,,,55424871.0,ns,6
Elastic Net,Medium/Smart,,,,50257599.0,ns,6
Elastic Net,Medium/Smart,,,,54191353.0,ns,6
Elastic Net,Medium/Smart,,,,54689660.0,ns,6
Elastic Net,Medium/Smart,,,,59354626.0,ns,6
Elastic Net,Medium/Smart,,,,55475972.0,ns,6
Elastic Net,Medium/Smart,,,,56155381.0,ns,6
Elastic Net,Medium/Smart,,,,59703331.0,ns,6
Elastic Net,Medium/Smart,,,,55301369.0,ns,6
Elastic Net,Medium/Smart,,,,56244282.0,ns,6
Elastic Net,Medium/Smart,,,,56698288.0,ns,6
Elastic Net,Medium/Smart,,,,56155481.0,ns,6
Elastic Net,Medium/Smart,,,,56803090.0,ns,6
Elastic Net,Medium/Smart,,,,59327725.0,ns,6
Elastic Net,Medium/Smart,,,,53060338.0,ns,6
Elastic Net,Medium/Smart,,,,53663446.0,ns,6
Elastic Net,Medium/Smart,,,,56048680.0,ns,6
Elastic Net,Medium/Smart,,,,61174451.0,ns,6
Elastic Net,Medium/Smart,,,,57040593.0,ns,6
Elastic Net,Medium/Smart,,,,56363884.0,ns,6
Elastic Net,Medium/Smart,,,,53331842.0,ns,6
Elastic Net,Medium/Smart,,,,55808076.0,ns,6
Elastic Net,Medium/Smart,,,,54019151.0,ns,6
Elastic Net,Medium/Smart,,,,53953350.0,ns,6
Elastic Net,Medium/Smart,,,,59618829.0,ns,6
Elastic Net,Medium/Smart,,,,55482972.0,ns,6
Elastic Net,Medium/Smart,,,,56390185.0,ns,6
Elastic Net,Medium/Smart,,,,59625129.0,ns,6
Elastic Net,Medium/Smart,,,,64201693.0,ns,6
Elastic Net,Medium/Smart,,,,50490502.0,ns,6
Elastic Net,Medium/Smart,,,,56205482.0,ns,6
Elastic Net,Medium/Smart,,,,60016012.0,ns,6
Elastic Net,Medium/Smart,,,,59523163.0,ns,6
Elastic Net,Medium/Smart,,,,56313649.0,ns,6
Elastic Net,Medium/Smart,,,,59445663.0,ns,6
Elastic Net,Medium/Smart,,,,63577181.0,ns,6
Elastic Net,Medium/Smart,,,,54266340.0,ns,6
Elastic Net,Medium/Smart,,,,55775547.0,ns,6
Elastic Net,Medium/Smart,,,,56615750.0,ns,6
Elastic Net,Medium/Smart,,,,53856338.0,ns,6
Elastic Net,Medium/Smart,,,,59303362.0,ns,6
Elastic Net,Medium/Smart,,,,56363449.0,ns,6
Elastic Net,Medium/Smart,,,,53822238.0,ns,6
