group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Medium/Smart,,,,49394475.0,ns,3
Elastic Net,Medium/Smart,,,,48352161.0,ns,3
Elastic Net,Medium/Smart,,,,49986683.0,ns,3
Elastic Net,Medium/Smart,,,,47836055.0,ns,3
Elastic Net,Medium/Smart,,,,52513318.0,ns,3
Elastic Net,Medium/Smart,,,,47827554.0,ns,3
Elastic Net,Medium/Smart,,,,49962983.0,ns,3
Elastic Net,Medium/Smart,,,,48403662.0,ns,3
Elastic Net,Medium/Smart,,,,48458263.0,ns,3
Elastic Net,Medium/Smart,,,,50069685.0,ns,3
Elastic Net,Medium/Smart,,,,50078485.0,ns,3
Elastic Net,Medium/Smart,,,,52222714.0,ns,3
Elastic Net,Medium/Smart,,,,54228641.0,ns,3
Elastic Net,Medium/Smart,,,,49743880.0,ns,3
Elastic Net,Medium/Smart,,,,51193200.0,ns,3
Elastic Net,Medium/Smart,,,,51739807.0,ns,3
Elastic Net,Medium/Smart,,,,49375076.0,ns,3
Elastic Net,Medium/Smart,,,,50626692.0,ns,3
Elastic Net,Medium/Smart,,,,50101286.0,ns,3
Elastic Net,Medium/Smart,,,,50735294.0,ns,3
Elastic Net,Medium/Smart,,,,46416135.0,ns,3
Elastic Net,Medium/Smart,,,,50206887.0,ns,3
Elastic Net,Medium/Smart,,,,48306461.0,ns,3
Elastic Net,Medium/Smart,,,,50467591.0,ns,3
Elastic Net,Medium/Smart,,,,52200214.0,ns,3
Elastic Net,Medium/Smart,,,,48613065.0,ns,3
Elastic Net,Medium/Smart,,,,50423790.0,ns,3
Elastic Net,Medium/Smart,,,,50018384.0,ns,3
Elastic Net,Medium/Smart,,,,50106085.0,ns,3
Elastic Net,Medium/Smart,,,,49865782.0,ns,3
Elastic Net,Medium/Smart,,,,52383316.0,ns,3
Elastic Net,Medium/Smart,,,,55243656.0,ns,3
Elastic Net,Medium/Smart,,,,50336289.0,ns,3
Elastic Net,Medium/Smart,,,,48250960.0,ns,3
Elastic Net,Medium/Smart,,,,48458563.0,ns,3
Elastic Net,Medium/Smart,,,,48604665.0,ns,3
Elastic Net,Medium/Smart,,,,50511391.0,ns,3
Elastic Net,Medium/Smart,,,,51482913.0,ns,3
Elastic Net,Medium/Smart,,,,52001937.0,ns,3
Elastic Net,Medium/Smart,,,,48357286.0,ns,3
Elastic Net,Medium/Smart,,,,55272083.0,ns,3
Elastic Net,Medium/Smart,,,,48330886.0,ns,3
Elastic Net,Medium/Smart,,,,50148111.0,ns,3
Elastic Net,Medium/Smart,,,,50129711.0,ns,3
Elastic Net,Medium/Smart,,,,52457544.0,ns,3
Elastic Net,Medium/Smart,,,,48527988.0,ns,3
Elastic Net,Medium/Smart,,,,50117211.0,ns,3
Elastic Net,Medium/Smart,,,,50374014.0,ns,3
Elastic Net,Medium/Smart,,,,50365614.0,ns,3
Elastic Net,Medium/Smart,,,,48298985.0,ns,3
Elastic Net,Medium/Smart,,,,50129011.0,ns,3
Elastic Net,Medium/Smart,,,,49230998.0,ns,3
Elastic Net,Medium/Smart,,,,50385714.0,ns,3
Elastic Net,Medium/Smart,,,,50652519.0,ns,3
Elastic Net,Medium/Smart,,,,48545089.0,ns,3
Elastic Net,Medium/Smart,,,,52528945.0,ns,3
Elastic Net,Medium/Smart,,,,50342414.0,ns,3
Elastic Net,Medium/Smart,,,,52974251.0,ns,3
Elastic Net,Medium/Smart,,,,50912222.0,ns,3
Elastic Net,Medium/Smart,,,,50114011.0,ns,3
Elastic Net,Medium/Smart,,,,50397114.0,ns,3
Elastic Net,Medium/Smart,,,,50010109.0,ns,3
Elastic Net,Medium/Smart,,,,50459216.0,ns,3
Elastic Net,Medium/Smart,,,,48507188.0,ns,3
Elastic Net,Medium/Smart,,,,48651890.0,ns,3
Elastic Net,Medium/Smart,,,,52572546.0,ns,3
Elastic Net,Medium/Smart,,,,52501545.0,ns,3
Elastic Net,Medium/Smart,,,,50300913.0,ns,3
Elastic Net,Medium/Smart,,,,50319014.0,ns,3
Elastic Net,Medium/Smart,,,,50106811.0,ns,3
Elastic Net,Medium/Smart,,,,48300485.0,ns,3
Elastic Net,Medium/Smart,,,,48324885.0,ns,3
Elastic Net,Medium/Smart,,,,48356585.0,ns,3
Elastic Net,Medium/Smart,,,,48341685.0,ns,3
Elastic Net,Medium/Smart,,,,46408758.0,ns,3
Elastic Net,Medium/Smart,,,,52696348.0,ns,3
Elastic Net,Medium/Smart,,,,50081610.0,ns,3
Elastic Net,Medium/Smart,,,,50118311.0,ns,3
Elastic Net,Medium/Smart,,,,50362214.0,ns,3
Elastic Net,Medium/Smart,,,,48483888.0,ns,3
Elastic Net,Medium/Smart,,,,51882736.0,ns,3
Elastic Net,Medium/Smart,,,,50357015.0,ns,3
Elastic Net,Medium/Smart,,,,45934652.0,ns,3
Elastic Net,Medium/Smart,,,,50423315.0,ns,3
Elastic Net,Medium/Smart,,,,50635118.0,ns,3
Elastic Net,Medium/Smart,,,,50678218.0,ns,3
Elastic Net,Medium/Smart,,,,50378414.0,ns,3
Elastic Net,Medium/Smart,,,,50320713.0,ns,3
Elastic Net,Medium/Smart,,,,50331814.0,ns,3
Elastic Net,Medium/Smart,,,,49990208.0,ns,3
Elastic Net,Medium/Smart,,,,50131211.0,ns,3
Elastic Net,Medium/Smart,,,,50406915.0,ns,3
Elastic Net,Medium/Smart,,,,49896808.0,ns,3
Elastic Net,Medium/Smart,,,,48303585.0,ns,3
Elastic Net,Medium/Smart,,,,49597803.0,ns,3
Elastic Net,Medium/Smart,,,,50727520.0,ns,3
Elastic Net,Medium/Smart,,,,52481745.0,ns,3
Elastic Net,Medium/Smart,,,,50357314.0,ns,3
Elastic Net,Medium/Smart,,,,48522988.0,ns,3
Elastic Net,Medium/Smart,,,,48576289.0,ns,3
