group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Medium/Smartcore,,,,50239618.0,ns,5
Elastic Net,Medium/Smartcore,,,,52318419.0,ns,5
Elastic Net,Medium/Smartcore,,,,48218318.0,ns,5
Elastic Net,Medium/Smartcore,,,,53803419.0,ns,5
Elastic Net,Medium/Smartcore,,,,49825118.0,ns,5
Elastic Net,Medium/Smartcore,,,,52273119.0,ns,5
Elastic Net,Medium/Smartcore,,,,48401817.0,ns,5
Elastic Net,Medium/Smartcore,,,,61630721.0,ns,5
Elastic Net,Medium/Smartcore,,,,58669621.0,ns,5
Elastic Net,Medium/Smartcore,,,,59070521.0,ns,5
Elastic Net,Medium/Smartcore,,,,60397422.0,ns,5
Elastic Net,Medium/Smartcore,,,,47802617.0,ns,5
Elastic Net,Medium/Smartcore,,,,55310520.0,ns,5
Elastic Net,Medium/Smartcore,,,,58209021.0,ns,5
Elastic Net,Medium/Smartcore,,,,57154521.0,ns,5
Elastic Net,Medium/Smartcore,,,,56977920.0,ns,5
Elastic Net,Medium/Smartcore,,,,59303121.0,ns,5
Elastic Net,Medium/Smartcore,,,,61232422.0,ns,5
Elastic Net,Medium/Smartcore,,,,57624121.0,ns,5
Elastic Net,Medium/Smartcore,,,,58081621.0,ns,5
Elastic Net,Medium/Smartcore,,,,57002020.0,ns,5
Elastic Net,Medium/Smartcore,,,,50427218.0,ns,5
Elastic Net,Medium/Smartcore,,,,55091319.0,ns,5
Elastic Net,Medium/Smartcore,,,,51100518.0,ns,5
Elastic Net,Medium/Smartcore,,,,56909321.0,ns,5
Elastic Net,Medium/Smartcore,,,,51713618.0,ns,5
Elastic Net,Medium/Smartcore,,,,56837020.0,ns,5
Elastic Net,Medium/Smartcore,,,,52492919.0,ns,5
Elastic Net,Medium/Smartcore,,,,55537420.0,ns,5
Elastic Net,Medium/Smartcore,,,,52405519.0,ns,5
Elastic Net,Medium/Smartcore,,,,58000021.0,ns,5
Elastic Net,Medium/Smartcore,,,,51399518.0,ns,5
Elastic Net,Medium/Smartcore,,,,59437421.0,ns,5
Elastic Net,Medium/Smartcore,,,,66024424.0,ns,5
Elastic Net,Medium/Smartcore,,,,82412729.0,ns,5
Elastic Net,Medium/Smartcore,,,,57766821.0,ns,5
Elastic Net,Medium/Smartcore,,,,56399920.0,ns,5
Elastic Net,Medium/Smartcore,,,,53622318.0,ns,5
Elastic Net,Medium/Smartcore,,,,62127821.0,ns,5
Elastic Net,Medium/Smartcore,,,,55478419.0,ns,5
Elastic Net,Medium/Smartcore,,,,56418920.0,ns,5
Elastic Net,Medium/Smartcore,,,,52757018.0,ns,5
Elastic Net,Medium/Smartcore,,,,52017018.0,ns,5
Elastic Net,Medium/Smartcore,,,,52709518.0,ns,5
Elastic Net,Medium/Smartcore,,,,50276517.0,ns,5
Elastic Net,Medium/Smartcore,,,,48021517.0,ns,5
Elastic Net,Medium/Smartcore,,,,53199118.0,ns,5
Elastic Net,Medium/Smartcore,,,,56116719.0,ns,5
Elastic Net,Medium/Smartcore,,,,52774818.0,ns,5
Elastic Net,Medium/Smartcore,,,,54596818.0,ns,5
Elastic Net,Medium/Smartcore,,,,53459218.0,ns,5
Elastic Net,Medium/Smartcore,,,,57513620.0,ns,5
Elastic Net,Medium/Smartcore,,,,49916217.0,ns,5
Elastic Net,Medium/Smartcore,,,,51862917.0,ns,5
Elastic Net,Medium/Smartcore,,,,47663516.0,ns,5
Elastic Net,Medium/Smartcore,,,,49565917.0,ns,5
Elastic Net,Medium/Smartcore,,,,54856819.0,ns,5
Elastic Net,Medium/Smartcore,,,,51337117.0,ns,5
Elastic Net,Medium/Smartcore,,,,49223617.0,ns,5
Elastic Net,Medium/Smartcore,,,,54007818.0,ns,5
Elastic Net,Medium/Smartcore,,,,51924918.0,ns,5
Elastic Net,Medium/Smartcore,,,,51487618.0,ns,5
Elastic Net,Medium/Smartcore,,,,58945121.0,ns,5
Elastic Net,Medium/Smartcore,,,,52730818.0,ns,5
Elastic Net,Medium/Smartcore,,,,55009319.0,ns,5
Elastic Net,Medium/Smartcore,,,,51475918.0,ns,5
Elastic Net,Medium/Smartcore,,,,55807219.0,ns,5
Elastic Net,Medium/Smartcore,,,,55750819.0,ns,5
Elastic Net,Medium/Smartcore,,,,62252521.0,ns,5
Elastic Net,Medium/Smartcore,,,,60048620.0,ns,5
Elastic Net,Medium/Smartcore,,,,50566917.0,ns,5
Elastic Net,Medium/Smartcore,,,,52487518.0,ns,5
Elastic Net,Medium/Smartcore,,,,58109720.0,ns,5
Elastic Net,Medium/Smartcore,,,,60215820.0,ns,5
Elastic Net,Medium/Smartcore,,,,57506919.0,ns,5
Elastic Net,Medium/Smartcore,,,,52819618.0,ns,5
Elastic Net,Medium/Smartcore,,,,57268020.0,ns,5
Elastic Net,Medium/Smartcore,,,,53771618.0,ns,5
Elastic Net,Medium/Smartcore,,,,56893819.0,ns,5
Elastic Net,Medium/Smartcore,,,,53097519.0,ns,5
Elastic Net,Medium/Smartcore,,,,59486520.0,ns,5
Elastic Net,Medium/Smartcore,,,,51337017.0,ns,5
Elastic Net,Medium/Smartcore,,,,49920418.0,ns,5
Elastic Net,Medium/Smartcore,,,,52545118.0,ns,5
Elastic Net,Medium/Smartcore,,,,52770018.0,ns,5
Elastic Net,Medium/Smartcore,,,,53524319.0,ns,5
Elastic Net,Medium/Smartcore,,,,55921119.0,ns,5
Elastic Net,Medium/Smartcore,,,,67941924.0,ns,5
Elastic Net,Medium/Smartcore,,,,65989223.0,ns,5
Elastic Net,Medium/Smartcore,,,,54681819.0,ns,5
Elastic Net,Medium/Smartcore,,,,55094019.0,ns,5
Elastic Net,Medium/Smartcore,,,,54282519.0,ns,5
Elastic Net,Medium/Smartcore,,,,52186918.0,ns,5
Elastic Net,Medium/Smartcore,,,,50056417.0,ns,5
Elastic Net,Medium/Smartcore,,,,56846019.0,ns,5
Elastic Net,Medium/Smartcore,,,,54625119.0,ns,5
Elastic Net,Medium/Smartcore,,,,52408618.0,ns,5
Elastic Net,Medium/Smartcore,,,,58242220.0,ns,5
Elastic Net,Medium/Smartcore,,,,58211120.0,ns,5
Elastic Net,Medium/Smartcore,,,,54293219.0,ns,5
