group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Small/Linfa,,,,1011900.0,ns,35
Elastic Net,Small/Linfa,,,,1745800.0,ns,70
Elastic Net,Small/Linfa,,,,2769001.0,ns,105
Elastic Net,Small/Linfa,,,,3798202.0,ns,140
Elastic Net,Small/Linfa,,,,6287202.0,ns,175
Elastic Net,Small/Linfa,,,,6238402.0,ns,210
Elastic Net,Small/Linfa,,,,6891702.0,ns,245
Elastic Net,Small/Linfa,,,,9077104.0,ns,280
Elastic Net,Small/Linfa,,,,10277603.0,ns,315
Elastic Net,Small/Linfa,,,,10156704.0,ns,350
Elastic Net,Small/Linfa,,,,11615504.0,ns,385
Elastic Net,Small/Linfa,,,,12329404.0,ns,420
Elastic Net,Small/Linfa,,,,16633306.0,ns,455
Elastic Net,Small/Linfa,,,,14329905.0,ns,490
Elastic Net,Small/Linfa,,,,13230104.0,ns,525
Elastic Net,Small/Linfa,,,,16596506.0,ns,560
Elastic Net,Small/Linfa,,,,16992206.0,ns,595
Elastic Net,Small/Linfa,,,,17676206.0,ns,630
Elastic Net,Small/Linfa,,,,18348006.0,ns,665
Elastic Net,Small/Linfa,,,,19555407.0,ns,700
Elastic Net,Small/Linfa,,,,20232406.0,ns,735
Elastic Net,Small/Linfa,,,,22259801.0,ns,770
Elastic Net,Small/Linfa,,,,24897402.0,ns,805
Elastic Net,Small/Linfa,,,,26763102.0,ns,840
Elastic Net,Small/Linfa,,,,24318402.0,ns,875
Elastic Net,Small/Linfa,,,,26075002.0,ns,910
Elastic Net,Small/Linfa,,,,26761802.0,ns,945
Elastic Net,Small/Linfa,,,,30264703.0,ns,980
Elastic Net,Small/Linfa,,,,33641502.0,ns,1015
Elastic Net,Small/Linfa,,,,30606903.0,ns,1050
Elastic Net,Small/Linfa,,,,32039502.0,ns,1085
Elastic Net,Small/Linfa,,,,32225303.0,ns,1120
Elastic Net,Small/Linfa,,,,36824103.0,ns,1155
Elastic Net,Small/Linfa,,,,37965503.0,ns,1190
Elastic Net,Small/Linfa,,,,34569502.0,ns,1225
Elastic Net,Small/Linfa,,,,39391003.0,ns,1260
Elastic Net,Small/Linfa,,,,41605404.0,ns,1295
Elastic Net,Small/Linfa,,,,41368203.0,ns,1330
Elastic Net,Small/Linfa,,,,37650703.0,ns,1365
Elastic Net,Small/Linfa,,,,41683403.0,ns,1400
Elastic Net,Small/Linfa,,,,46641504.0,ns,1435
Elastic Net,Small/Linfa,,,,41400003.0,ns,1470
Elastic Net,Small/Linfa,,,,47167803.0,ns,1505
Elastic Net,Small/Linfa,,,,46516204.0,ns,1540
Elastic Net,Small/Linfa,,,,47113004.0,ns,1575
Elastic Net,Small/Linfa,,,,47119803.0,ns,1610
Elastic Net,Small/Linfa,,,,46344704.0,ns,1645
Elastic Net,Small/Linfa,,,,48366504.0,ns,1680
Elastic Net,Small/Linfa,,,,49953804.0,ns,1715
Elastic Net,Small/Linfa,,,,57038204.0,ns,1750
Elastic Net,Small/Linfa,,,,51516904.0,ns,1785
Elastic Net,Small/Linfa,,,,57905304.0,ns,1820
Elastic Net,Small/Linfa,,,,52437305.0,ns,1855
Elastic Net,Small/Linfa,,,,60564004.0,ns,1890
Elastic Net,Small/Linfa,,,,46203204.0,ns,1925
Elastic Net,Small/Linfa,,,,63453505.0,ns,1960
Elastic Net,Small/Linfa,,,,56352704.0,ns,1995
Elastic Net,Small/Linfa,,,,57604805.0,ns,2030
Elastic Net,Small/Linfa,,,,57390104.0,ns,2065
Elastic Net,Small/Linfa,,,,60394605.0,ns,2100
Elastic Net,Small/Linfa,,,,67130505.0,ns,2135
Elastic Net,Small/Linfa,,,,67068005.0,ns,2170
Elastic Net,Small/Linfa,,,,61719005.0,ns,2205
Elastic Net,Small/Linfa,,,,63297805.0,ns,2240
Elastic Net,Small/Linfa,,,,62393505.0,ns,2275
Elastic Net,Small/Linfa,,,,71743505.0,ns,2310
Elastic Net,Small/Linfa,,,,65363205.0,ns,2345
Elastic Net,Small/Linfa,,,,65951105.0,ns,2380
Elastic Net,Small/Linfa,,,,68760106.0,ns,2415
Elastic Net,Small/Linfa,,,,73450005.0,ns,2450
Elastic Net,Small/Linfa,,,,68642006.0,ns,2485
Elastic Net,Small/Linfa,,,,71398205.0,ns,2520
Elastic Net,Small/Linfa,,,,73957106.0,ns,2555
Elastic Net,Small/Linfa,,,,81376406.0,ns,2590
Elastic Net,Small/Linfa,,,,76444306.0,ns,2625
Elastic Net,Small/Linfa,,,,84941207.0,ns,2660
Elastic Net,Small/Linfa,,,,79340806.0,ns,2695
Elastic Net,Small/Linfa,,,,77829106.0,ns,2730
Elastic Net,Small/Linfa,,,,88838007.0,ns,2765
Elastic Net,Small/Linfa,,,,82823706.0,ns,2800
Elastic Net,Small/Linfa,,,,79597707.0,ns,2835
Elastic Net,Small/Linfa,,,,81810706.0,ns,2870
Elastic Net,Small/Linfa,,,,90659107.0,ns,2905
Elastic Net,Small/Linfa,,,,83026106.0,ns,2940
Elastic Net,Small/Linfa,,,,86441607.0,ns,2975
Elastic Net,Small/Linfa,,,,88094207.0,ns,3010
Elastic Net,Small/Linfa,,,,99341408.0,ns,3045
Elastic Net,Small/Linfa,,,,96959707.0,ns,3080
Elastic Net,Small/Linfa,,,,88335707.0,ns,3115
Elastic Net,Small/Linfa,,,,88738607.0,ns,3150
Elastic Net,Small/Linfa,,,,98870708.0,ns,3185
Elastic Net,Small/Linfa,,,,105025208.0,ns,3220
Elastic Net,Small/Linfa,,,,89853707.0,ns,3255
Elastic Net,Small/Linfa,,,,103335208.0,ns,3290
Elastic Net,Small/Linfa,,,,97757107.0,ns,3325
Elastic Net,Small/Linfa,,,,105678309.0,ns,3360
Elastic Net,Small/Linfa,,,,110031708.0,ns,3395
Elastic Net,Small/Linfa,,,,103971608.0,ns,3430
Elastic Net,Small/Linfa,,,,98418508.0,ns,3465
Elastic Net,Small/Linfa,,,,107368908.0,ns,3500
