group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Small/Linfa,,,,1411126.0,ns,28
Elastic Net,Small/Linfa,,,,2289306.0,ns,56
Elastic Net,Small/Linfa,,,,3056974.0,ns,84
Elastic Net,Small/Linfa,,,,4537707.0,ns,112
Elastic Net,Small/Linfa,,,,5699311.0,ns,140
Elastic Net,Small/Linfa,,,,6545488.0,ns,168
Elastic Net,Small/Linfa,,,,7559679.0,ns,196
Elastic Net,Small/Linfa,,,,8013719.0,ns,224
Elastic Net,Small/Linfa,,,,9151921.0,ns,252
Elastic Net,Small/Linfa,,,,9478651.0,ns,280
Elastic Net,Small/Linfa,,,,10610553.0,ns,308
Elastic Net,Small/Linfa,,,,12239698.0,ns,336
Elastic Net,Small/Linfa,,,,13860944.0,ns,364
Elastic Net,Small/Linfa,,,,13546716.0,ns,392
Elastic Net,Small/Linfa,,,,14892437.0,ns,420
Elastic Net,Small/Linfa,,,,15999836.0,ns,448
Elastic Net,Small/Linfa,,,,17630783.0,ns,476
Elastic Net,Small/Linfa,,,,20032698.0,ns,504
Elastic Net,Small/Linfa,,,,21805758.0,ns,532
Elastic Net,Small/Linfa,,,,19804178.0,ns,560
Elastic Net,Small/Linfa,,,,20527342.0,ns,588
Elastic Net,Small/Linfa,,,,21787656.0,ns,616
Elastic Net,Small/Linfa,,,,24624610.0,ns,644
Elastic Net,Small/Linfa,,,,23912646.0,ns,672
Elastic Net,Small/Linfa,,,,27330254.0,ns,700
Elastic Net,Small/Linfa,,,,27688585.0,ns,728
Elastic Net,Small/Linfa,,,,26008835.0,ns,756
Elastic Net,Small/Linfa,,,,27246446.0,ns,784
Elastic Net,Small/Linfa,,,,31778052.0,ns,812
Elastic Net,Small/Linfa,,,,29878482.0,ns,840
Elastic Net,Small/Linfa,,,,31426521.0,ns,868
Elastic Net,Small/Linfa,,,,31584736.0,ns,896
Elastic Net,Small/Linfa,,,,32383707.0,ns,924
Elastic Net,Small/Linfa,,,,34289379.0,ns,952
Elastic Net,Small/Linfa,,,,38770480.0,ns,980
Elastic Net,Small/Linfa,,,,35731308.0,ns,1008
Elastic Net,Small/Linfa,,,,41939465.0,ns,1036
Elastic Net,Small/Linfa,,,,37231042.0,ns,1064
Elastic Net,Small/Linfa,,,,37958907.0,ns,1092
Elastic Net,Small/Linfa,,,,44059855.0,ns,1120
Elastic Net,Small/Linfa,,,,43937744.0,ns,1148
Elastic Net,Small/Linfa,,,,43897441.0,ns,1176
Elastic Net,Small/Linfa,,,,41012782.0,ns,1204
Elastic Net,Small/Linfa,,,,42275195.0,ns,1232
Elastic Net,Small/Linfa,,,,47517866.0,ns,1260
Elastic Net,Small/Linfa,,,,52936052.0,ns,1288
Elastic Net,Small/Linfa,,,,44754818.0,ns,1316
Elastic Net,Small/Linfa,,,,45994729.0,ns,1344
Elastic Net,Small/Linfa,,,,47711683.0,ns,1372
Elastic Net,Small/Linfa,,,,52363001.0,ns,1400
Elastic Net,Small/Linfa,,,,48195426.0,ns,1428
Elastic Net,Small/Linfa,,,,53804530.0,ns,1456
Elastic Net,Small/Linfa,,,,56622583.0,ns,1484
Elastic Net,Small/Linfa,,,,58680768.0,ns,1512
Elastic Net,Small/Linfa,,,,52168584.0,ns,1540
Elastic Net,Small/Linfa,,,,60692449.0,ns,1568
Elastic Net,Small/Linfa,,,,62042170.0,ns,1596
