group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Small/Smart,,,,1356346.0,ns,3
Elastic Net,Small/Smart,,,,2304078.0,ns,6
Elastic Net,Small/Smart,,,,3440016.0,ns,9
Elastic Net,Small/Smart,,,,5297578.0,ns,12
Elastic Net,Small/Smart,,,,5645391.0,ns,15
Elastic Net,Small/Smart,,,,8146674.0,ns,18
Elastic Net,Small/Smart,,,,7948167.0,ns,21
Elastic Net,Small/Smart,,,,9083406.0,ns,24
Elastic Net,Small/Smart,,,,9988537.0,ns,27
Elastic Net,Small/Smart,,,,11495487.0,ns,30
Elastic Net,Small/Smart,,,,12622725.0,ns,33
Elastic Net,Small/Smart,,,,13208945.0,ns,36
Elastic Net,Small/Smart,,,,15124910.0,ns,39
Elastic Net,Small/Smart,,,,16003539.0,ns,42
Elastic Net,Small/Smart,,,,19055742.0,ns,45
Elastic Net,Small/Smart,,,,18159811.0,ns,48
Elastic Net,Small/Smart,,,,19175945.0,ns,51
Elastic Net,Small/Smart,,,,20411187.0,ns,54
Elastic Net,Small/Smart,,,,21803235.0,ns,57
Elastic Net,Small/Smart,,,,22780967.0,ns,60
Elastic Net,Small/Smart,,,,23741599.0,ns,63
Elastic Net,Small/Smart,,,,25251150.0,ns,66
Elastic Net,Small/Smart,,,,25933474.0,ns,69
Elastic Net,Small/Smart,,,,27131314.0,ns,72
Elastic Net,Small/Smart,,,,28499160.0,ns,75
Elastic Net,Small/Smart,,,,29669499.0,ns,78
Elastic Net,Small/Smart,,,,30524728.0,ns,81
Elastic Net,Small/Smart,,,,31920375.0,ns,84
Elastic Net,Small/Smart,,,,33323022.0,ns,87
Elastic Net,Small/Smart,,,,40721471.0,ns,90
Elastic Net,Small/Smart,,,,35530196.0,ns,93
Elastic Net,Small/Smart,,,,36368125.0,ns,96
Elastic Net,Small/Smart,,,,36299722.0,ns,99
Elastic Net,Small/Smart,,,,38730005.0,ns,102
Elastic Net,Small/Smart,,,,39429028.0,ns,105
