group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Small/Smart,,,,1312711.0,ns,4
Elastic Net,Small/Smart,,,,2512222.0,ns,8
Elastic Net,Small/Smart,,,,3852734.0,ns,12
Elastic Net,Small/Smart,,,,4998143.0,ns,16
Elastic Net,Small/Smart,,,,6286955.0,ns,20
Elastic Net,Small/Smart,,,,7345263.0,ns,24
Elastic Net,Small/Smart,,,,8507874.0,ns,28
Elastic Net,Small/Smart,,,,10141988.0,ns,32
Elastic Net,Small/Smart,,,,14213723.0,ns,36
Elastic Net,Small/Smart,,,,13640118.0,ns,40
Elastic Net,Small/Smart,,,,13979921.0,ns,44
Elastic Net,Small/Smart,,,,15248832.0,ns,48
Elastic Net,Small/Smart,,,,15243832.0,ns,52
Elastic Net,Small/Smart,,,,21544486.0,ns,56
Elastic Net,Small/Smart,,,,18715262.0,ns,60
Elastic Net,Small/Smart,,,,20073574.0,ns,64
Elastic Net,Small/Smart,,,,21586387.0,ns,68
Elastic Net,Small/Smart,,,,22225392.0,ns,72
Elastic Net,Small/Smart,,,,23579505.0,ns,76
Elastic Net,Small/Smart,,,,25273918.0,ns,80
Elastic Net,Small/Smart,,,,26561529.0,ns,84
Elastic Net,Small/Smart,,,,27189035.0,ns,88
Elastic Net,Small/Smart,,,,29405054.0,ns,92
Elastic Net,Small/Smart,,,,34492798.0,ns,96
Elastic Net,Small/Smart,,,,31542573.0,ns,100
Elastic Net,Small/Smart,,,,33046086.0,ns,104
Elastic Net,Small/Smart,,,,34686701.0,ns,108
Elastic Net,Small/Smart,,,,35418006.0,ns,112
Elastic Net,Small/Smart,,,,36072813.0,ns,116
Elastic Net,Small/Smart,,,,38058829.0,ns,120
Elastic Net,Small/Smart,,,,39822945.0,ns,124
Elastic Net,Small/Smart,,,,40717852.0,ns,128
Elastic Net,Small/Smart,,,,42128564.0,ns,132
Elastic Net,Small/Smart,,,,42695670.0,ns,136
Elastic Net,Small/Smart,,,,43654778.0,ns,140
Elastic Net,Small/Smart,,,,45882397.0,ns,144
Elastic Net,Small/Smart,,,,45606795.0,ns,148
Elastic Net,Small/Smart,,,,59551715.0,ns,152
Elastic Net,Small/Smart,,,,47975416.0,ns,156
Elastic Net,Small/Smart,,,,50554637.0,ns,160
Elastic Net,Small/Smart,,,,50295136.0,ns,164
Elastic Net,Small/Smart,,,,51870049.0,ns,168
Elastic Net,Small/Smart,,,,54584472.0,ns,172
Elastic Net,Small/Smart,,,,55187978.0,ns,176
