group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Small/Smartcore,,,,1190000.0,ns,4
Elastic Net,Small/Smartcore,,,,2436301.0,ns,8
Elastic Net,Small/Smartcore,,,,4820702.0,ns,12
Elastic Net,Small/Smartcore,,,,4863702.0,ns,16
Elastic Net,Small/Smartcore,,,,5668003.0,ns,20
Elastic Net,Small/Smartcore,,,,7349303.0,ns,24
Elastic Net,Small/Smartcore,,,,9479704.0,ns,28
Elastic Net,Small/Smartcore,,,,9920404.0,ns,32
Elastic Net,Small/Smartcore,,,,10244004.0,ns,36
Elastic Net,Small/Smartcore,,,,13817306.0,ns,40
Elastic Net,Small/Smartcore,,,,13125906.0,ns,44
Elastic Net,Small/Smartcore,,,,15353506.0,ns,48
Elastic Net,Small/Smartcore,,,,18312308.0,ns,52
Elastic Net,Small/Smartcore,,,,16647507.0,ns,56
Elastic Net,Small/Smartcore,,,,18078508.0,ns,60
Elastic Net,Small/Smartcore,,,,22607610.0,ns,64
Elastic Net,Small/Smartcore,,,,23165509.0,ns,68
Elastic Net,Small/Smartcore,,,,25864911.0,ns,72
Elastic Net,Small/Smartcore,,,,24243011.0,ns,76
Elastic Net,Small/Smartcore,,,,23732510.0,ns,80
Elastic Net,Small/Smartcore,,,,24880210.0,ns,84
Elastic Net,Small/Smartcore,,,,27764512.0,ns,88
Elastic Net,Small/Smartcore,,,,27263312.0,ns,92
Elastic Net,Small/Smartcore,,,,29753812.0,ns,96
Elastic Net,Small/Smartcore,,,,29287513.0,ns,100
Elastic Net,Small/Smartcore,,,,31090313.0,ns,104
Elastic Net,Small/Smartcore,,,,33023714.0,ns,108
Elastic Net,Small/Smartcore,,,,36040015.0,ns,112
Elastic Net,Small/Smartcore,,,,35563215.0,ns,116
Elastic Net,Small/Smartcore,,,,41802718.0,ns,120
Elastic Net,Small/Smartcore,,,,39382417.0,ns,124
Elastic Net,Small/Smartcore,,,,41450818.0,ns,128
Elastic Net,Small/Smartcore,,,,46777019.0,ns,132
Elastic Net,Small/Smartcore,,,,42358118.0,ns,136
Elastic Net,Small/Smartcore,,,,49653822.0,ns,140
Elastic Net,Small/Smartcore,,,,44459418.0,ns,144
Elastic Net,Small/Smartcore,,,,45003920.0,ns,148
Elastic Net,Small/Smartcore,,,,60316825.0,ns,152
Elastic Net,Small/Smartcore,,,,49445221.0,ns,156
Elastic Net,Small/Smartcore,,,,47687920.0,ns,160
Elastic Net,Small/Smartcore,,,,50930722.0,ns,164
Elastic Net,Small/Smartcore,,,,52200222.0,ns,168
Elastic Net,Small/Smartcore,,,,58036625.0,ns,172
Elastic Net,Small/Smartcore,,,,53488223.0,ns,176
Elastic Net,Small/Smartcore,,,,58730124.0,ns,180
Elastic Net,Small/Smartcore,,,,55038524.0,ns,184
Elastic Net,Small/Smartcore,,,,58748825.0,ns,188
Elastic Net,Small/Smartcore,,,,62045226.0,ns,192
Elastic Net,Small/Smartcore,,,,60290226.0,ns,196
Elastic Net,Small/Smartcore,,,,65288127.0,ns,200
Elastic Net,Small/Smartcore,,,,65385228.0,ns,204
Elastic Net,Small/Smartcore,,,,64024927.0,ns,208
Elastic Net,Small/Smartcore,,,,69953630.0,ns,212
Elastic Net,Small/Smartcore,,,,68393929.0,ns,216
Elastic Net,Small/Smartcore,,,,67900329.0,ns,220
Elastic Net,Small/Smartcore,,,,71485430.0,ns,224
Elastic Net,Small/Smartcore,,,,76169633.0,ns,228
Elastic Net,Small/Smartcore,,,,68514029.0,ns,232
Elastic Net,Small/Smartcore,,,,75855432.0,ns,236
Elastic Net,Small/Smartcore,,,,76908933.0,ns,240
Elastic Net,Small/Smartcore,,,,72904231.0,ns,244
Elastic Net,Small/Smartcore,,,,75353032.0,ns,248
Elastic Net,Small/Smartcore,,,,78204033.0,ns,252
Elastic Net,Small/Smartcore,,,,82790735.0,ns,256
Elastic Net,Small/Smartcore,,,,95379241.0,ns,260
Elastic Net,Small/Smartcore,,,,84387835.0,ns,264
Elastic Net,Small/Smartcore,,,,82887136.0,ns,268
Elastic Net,Small/Smartcore,,,,83465335.0,ns,272
Elastic Net,Small/Smartcore,,,,91661039.0,ns,276
Elastic Net,Small/Smartcore,,,,87262837.0,ns,280
Elastic Net,Small/Smartcore,,,,85751136.0,ns,284
Elastic Net,Small/Smartcore,,,,94134840.0,ns,288
Elastic Net,Small/Smartcore,,,,92584540.0,ns,292
Elastic Net,Small/Smartcore,,,,91983739.0,ns,296
Elastic Net,Small/Smartcore,,,,96789741.0,ns,300
Elastic Net,Small/Smartcore,,,,102358443.0,ns,304
Elastic Net,Small/Smartcore,,,,98368742.0,ns,308
Elastic Net,Small/Smartcore,,,,98065342.0,ns,312
Elastic Net,Small/Smartcore,,,,94378040.0,ns,316
Elastic Net,Small/Smartcore,,,,103610144.0,ns,320
Elastic Net,Small/Smartcore,,,,97784341.0,ns,324
Elastic Net,Small/Smartcore,,,,113190948.0,ns,328
Elastic Net,Small/Smartcore,,,,106075845.0,ns,332
Elastic Net,Small/Smartcore,,,,122539652.0,ns,336
Elastic Net,Small/Smartcore,,,,118042851.0,ns,340
Elastic Net,Small/Smartcore,,,,106071245.0,ns,344
Elastic Net,Small/Smartcore,,,,117850950.0,ns,348
Elastic Net,Small/Smartcore,,,,110761647.0,ns,352
Elastic Net,Small/Smartcore,,,,115341749.0,ns,356
Elastic Net,Small/Smartcore,,,,114277848.0,ns,360
Elastic Net,Small/Smartcore,,,,113476048.0,ns,364
Elastic Net,Small/Smartcore,,,,120501252.0,ns,368
Elastic Net,Small/Smartcore,,,,153255565.0,ns,372
Elastic Net,Small/Smartcore,,,,127539154.0,ns,376
Elastic Net,Small/Smartcore,,,,126560246.0,ns,380
Elastic Net,Small/Smartcore,,,,129622145.0,ns,384
Elastic Net,Small/Smartcore,,,,115644940.0,ns,388
Elastic Net,Small/Smartcore,,,,121236942.0,ns,392
Elastic Net,Small/Smartcore,,,,123387842.0,ns,396
Elastic Net,Small/Smartcore,,,,129769045.0,ns,400
