group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Smartcore,,,,1028822.0,ns,20
Elastic Net,Smartcore,,,,2044842.0,ns,40
Elastic Net,Smartcore,,,,3068364.0,ns,60
Elastic Net,Smartcore,,,,4087385.0,ns,80
Elastic Net,Smartcore,,,,5114907.0,ns,100
Elastic Net,Smartcore,,,,6142128.0,ns,120
Elastic Net,Smartcore,,,,7153349.0,ns,140
Elastic Net,Smartcore,,,,8183070.0,ns,160
Elastic Net,Smartcore,,,,9207692.0,ns,180
Elastic Net,Smartcore,,,,10234513.0,ns,200
Elastic Net,Smartcore,,,,11252234.0,ns,220
Elastic Net,Smartcore,,,,12266555.0,ns,240
Elastic Net,Smartcore,,,,13303377.0,ns,260
Elastic Net,Smartcore,,,,14307498.0,ns,280
Elastic Net,Smartcore,,,,15335220.0,ns,300
Elastic Net,Smartcore,,,,16376941.0,ns,320
Elastic Net,Smartcore,,,,17387462.0,ns,340
Elastic Net,Smartcore,,,,18402483.0,ns,360
Elastic Net,Smartcore,,,,19425304.0,ns,380
Elastic Net,Smartcore,,,,20432726.0,ns,400
Elastic Net,Smartcore,,,,21444646.0,ns,420
Elastic Net,Smartcore,,,,22479668.0,ns,440
Elastic Net,Smartcore,,,,23507190.0,ns,460
Elastic Net,Smartcore,,,,24528811.0,ns,480
Elastic Net,Smartcore,,,,25541431.0,ns,500
Elastic Net,Smartcore,,,,26583254.0,ns,520
Elastic Net,Smartcore,,,,27641575.0,ns,540
Elastic Net,Smartcore,,,,28632397.0,ns,560
Elastic Net,Smartcore,,,,29632417.0,ns,580
Elastic Net,Smartcore,,,,30638837.0,ns,600
Elastic Net,Smartcore,,,,31675560.0,ns,620
Elastic Net,Smartcore,,,,32700581.0,ns,640
Elastic Net,Smartcore,,,,33720902.0,ns,660
Elastic Net,Smartcore,,,,34757124.0,ns,680
Elastic Net,Smartcore,,,,35762344.0,ns,700
Elastic Net,Smartcore,,,,36807567.0,ns,720
Elastic Net,Smartcore,,,,37823587.0,ns,740
Elastic Net,Smartcore,,,,38862409.0,ns,760
Elastic Net,Smartcore,,,,39888031.0,ns,780
Elastic Net,Smartcore,,,,40900451.0,ns,800
Elastic Net,Smartcore,,,,41927772.0,ns,820
Elastic Net,Smartcore,,,,42952095.0,ns,840
Elastic Net,Smartcore,,,,43969115.0,ns,860
Elastic Net,Smartcore,,,,44968337.0,ns,880
Elastic Net,Smartcore,,,,46009958.0,ns,900
Elastic Net,Smartcore,,,,47009478.0,ns,920
Elastic Net,Smartcore,,,,48058101.0,ns,940
Elastic Net,Smartcore,,,,49085722.0,ns,960
Elastic Net,Smartcore,,,,50088943.0,ns,980
Elastic Net,Smartcore,,,,51115664.0,ns,1000
Elastic Net,Smartcore,,,,52109985.0,ns,1020
Elastic Net,Smartcore,,,,53290910.0,ns,1040
Elastic Net,Smartcore,,,,54236329.0,ns,1060
Elastic Net,Smartcore,,,,55175649.0,ns,1080
Elastic Net,Smartcore,,,,56235671.0,ns,1100
Elastic Net,Smartcore,,,,57242192.0,ns,1120
Elastic Net,Smartcore,,,,58247112.0,ns,1140
Elastic Net,Smartcore,,,,59301435.0,ns,1160
Elastic Net,Smartcore,,,,60309056.0,ns,1180
Elastic Net,Smartcore,,,,61316677.0,ns,1200
Elastic Net,Smartcore,,,,62328374.0,ns,1220
Elastic Net,Smartcore,,,,63365462.0,ns,1240
Elastic Net,Smartcore,,,,64438983.0,ns,1260
Elastic Net,Smartcore,,,,65438103.0,ns,1280
Elastic Net,Smartcore,,,,66412722.0,ns,1300
Elastic Net,Smartcore,,,,67516845.0,ns,1320
Elastic Net,Smartcore,,,,68514464.0,ns,1340
Elastic Net,Smartcore,,,,69547385.0,ns,1360
Elastic Net,Smartcore,,,,70588606.0,ns,1380
Elastic Net,Smartcore,,,,71625026.0,ns,1400
Elastic Net,Smartcore,,,,72623547.0,ns,1420
Elastic Net,Smartcore,,,,73604165.0,ns,1440
Elastic Net,Smartcore,,,,74621086.0,ns,1460
Elastic Net,Smartcore,,,,75653707.0,ns,1480
Elastic Net,Smartcore,,,,76723728.0,ns,1500
Elastic Net,Smartcore,,,,77853450.0,ns,1520
Elastic Net,Smartcore,,,,78782569.0,ns,1540
Elastic Net,Smartcore,,,,79787389.0,ns,1560
Elastic Net,Smartcore,,,,80732408.0,ns,1580
Elastic Net,Smartcore,,,,81755828.0,ns,1600
Elastic Net,Smartcore,,,,82808449.0,ns,1620
Elastic Net,Smartcore,,,,83852069.0,ns,1640
Elastic Net,Smartcore,,,,84889891.0,ns,1660
Elastic Net,Smartcore,,,,85856510.0,ns,1680
Elastic Net,Smartcore,,,,86856929.0,ns,1700
Elastic Net,Smartcore,,,,87934951.0,ns,1720
Elastic Net,Smartcore,,,,88923470.0,ns,1740
Elastic Net,Smartcore,,,,89997292.0,ns,1760
Elastic Net,Smartcore,,,,91038712.0,ns,1780
Elastic Net,Smartcore,,,,92061434.0,ns,1800
Elastic Net,Smartcore,,,,93045653.0,ns,1820
Elastic Net,Smartcore,,,,94065873.0,ns,1840
Elastic Net,Smartcore,,,,94990691.0,ns,1860
Elastic Net,Smartcore,,,,96065514.0,ns,1880
Elastic Net,Smartcore,,,,97056632.0,ns,1900
Elastic Net,Smartcore,,,,98067853.0,ns,1920
Elastic Net,Smartcore,,,,99140374.0,ns,1940
Elastic Net,Smartcore,,,,100194896.0,ns,1960
Elastic Net,Smartcore,,,,101178615.0,ns,1980
Elastic Net,Smartcore,,,,102195935.0,ns,2000
