group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Elastic Net,Smartcore,,,,1012506.0,ns,21
Elastic Net,Smartcore,,,,2028211.0,ns,42
Elastic Net,Smartcore,,,,3037817.0,ns,63
Elastic Net,Smartcore,,,,4048722.0,ns,84
Elastic Net,Smartcore,,,,5054828.0,ns,105
Elastic Net,Smartcore,,,,6065734.0,ns,126
Elastic Net,Smartcore,,,,7081539.0,ns,147
Elastic Net,Smartcore,,,,8094745.0,ns,168
Elastic Net,Smartcore,,,,9102651.0,ns,189
Elastic Net,Smartcore,,,,10118956.0,ns,210
Elastic Net,Smartcore,,,,11130862.0,ns,231
Elastic Net,Smartcore,,,,12137368.0,ns,252
Elastic Net,Smartcore,,,,13148073.0,ns,273
Elastic Net,Smartcore,,,,14177578.0,ns,294
Elastic Net,Smartcore,,,,15172385.0,ns,315
Elastic Net,Smartcore,,,,16180090.0,ns,336
Elastic Net,Smartcore,,,,18609903.0,ns,357
Elastic Net,Smartcore,,,,18368202.0,ns,378
Elastic Net,Smartcore,,,,19234907.0,ns,399
Elastic Net,Smartcore,,,,20277813.0,ns,420
Elastic Net,Smartcore,,,,21263518.0,ns,441
Elastic Net,Smartcore,,,,22283623.0,ns,462
Elastic Net,Smartcore,,,,23271530.0,ns,483
Elastic Net,Smartcore,,,,24284935.0,ns,504
Elastic Net,Smartcore,,,,25287440.0,ns,525
Elastic Net,Smartcore,,,,26311646.0,ns,546
Elastic Net,Smartcore,,,,27295952.0,ns,567
Elastic Net,Smartcore,,,,28330257.0,ns,588
Elastic Net,Smartcore,,,,29494364.0,ns,609
Elastic Net,Smartcore,,,,30334069.0,ns,630
Elastic Net,Smartcore,,,,31368174.0,ns,651
Elastic Net,Smartcore,,,,32370280.0,ns,672
Elastic Net,Smartcore,,,,33401685.0,ns,693
Elastic Net,Smartcore,,,,34392792.0,ns,714
Elastic Net,Smartcore,,,,35417496.0,ns,735
Elastic Net,Smartcore,,,,36415803.0,ns,756
Elastic Net,Smartcore,,,,37572208.0,ns,777
Elastic Net,Smartcore,,,,38438814.0,ns,798
Elastic Net,Smartcore,,,,39452519.0,ns,819
Elastic Net,Smartcore,,,,40476925.0,ns,840
Elastic Net,Smartcore,,,,41463630.0,ns,861
Elastic Net,Smartcore,,,,42548937.0,ns,882
Elastic Net,Smartcore,,,,43499241.0,ns,903
Elastic Net,Smartcore,,,,44503048.0,ns,924
Elastic Net,Smartcore,,,,45533853.0,ns,945
Elastic Net,Smartcore,,,,46555058.0,ns,966
Elastic Net,Smartcore,,,,47560265.0,ns,987
Elastic Net,Smartcore,,,,48558369.0,ns,1008
Elastic Net,Smartcore,,,,49578376.0,ns,1029
Elastic Net,Smartcore,,,,50790182.0,ns,1050
Elastic Net,Smartcore,,,,51593287.0,ns,1071
Elastic Net,Smartcore,,,,52607392.0,ns,1092
Elastic Net,Smartcore,,,,53602098.0,ns,1113
Elastic Net,Smartcore,,,,54584403.0,ns,1134
Elastic Net,Smartcore,,,,55637409.0,ns,1155
Elastic Net,Smartcore,,,,56677415.0,ns,1176
Elastic Net,Smartcore,,,,57676820.0,ns,1197
Elastic Net,Smartcore,,,,58679126.0,ns,1218
Elastic Net,Smartcore,,,,59710532.0,ns,1239
Elastic Net,Smartcore,,,,60692137.0,ns,1260
Elastic Net,Smartcore,,,,61710543.0,ns,1281
Elastic Net,Smartcore,,,,62725549.0,ns,1302
Elastic Net,Smartcore,,,,63753354.0,ns,1323
Elastic Net,Smartcore,,,,64765760.0,ns,1344
Elastic Net,Smartcore,,,,65772965.0,ns,1365
Elastic Net,Smartcore,,,,66805571.0,ns,1386
Elastic Net,Smartcore,,,,67780877.0,ns,1407
Elastic Net,Smartcore,,,,68789382.0,ns,1428
Elastic Net,Smartcore,,,,69784888.0,ns,1449
Elastic Net,Smartcore,,,,70792193.0,ns,1470
Elastic Net,Smartcore,,,,71822299.0,ns,1491
Elastic Net,Smartcore,,,,72831205.0,ns,1512
Elastic Net,Smartcore,,,,73877410.0,ns,1533
Elastic Net,Smartcore,,,,74875216.0,ns,1554
Elastic Net,Smartcore,,,,75914922.0,ns,1575
Elastic Net,Smartcore,,,,77078828.0,ns,1596
Elastic Net,Smartcore,,,,77924933.0,ns,1617
Elastic Net,Smartcore,,,,78934938.0,ns,1638
Elastic Net,Smartcore,,,,79935145.0,ns,1659
Elastic Net,Smartcore,,,,80962149.0,ns,1680
Elastic Net,Smartcore,,,,81958356.0,ns,1701
Elastic Net,Smartcore,,,,82949161.0,ns,1722
Elastic Net,Smartcore,,,,83974466.0,ns,1743
Elastic Net,Smartcore,,,,84984572.0,ns,1764
Elastic Net,Smartcore,,,,86030078.0,ns,1785
Elastic Net,Smartcore,,,,86988683.0,ns,1806
Elastic Net,Smartcore,,,,87980789.0,ns,1827
Elastic Net,Smartcore,,,,88996995.0,ns,1848
Elastic Net,Smartcore,,,,90038100.0,ns,1869
Elastic Net,Smartcore,,,,91051706.0,ns,1890
Elastic Net,Smartcore,,,,92086111.0,ns,1911
Elastic Net,Smartcore,,,,93058917.0,ns,1932
Elastic Net,Smartcore,,,,94117223.0,ns,1953
Elastic Net,Smartcore,,,,95118529.0,ns,1974
Elastic Net,Smartcore,,,,96126234.0,ns,1995
Elastic Net,Smartcore,,,,97099739.0,ns,2016
Elastic Net,Smartcore,,,,98120245.0,ns,2037
Elastic Net,Smartcore,,,,99157851.0,ns,2058
Elastic Net,Smartcore,,,,100108156.0,ns,2079
Elastic Net,Smartcore,,,,101155562.0,ns,2100
