group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Gaussian Naive Bayes,Large/Linfa,,,,52095524.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,50785606.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52038124.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51476517.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,54062252.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53970551.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52211726.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53247040.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53304242.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51260013.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51473116.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51259713.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51969123.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51916522.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53287142.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52911536.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,54813163.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52769634.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53527244.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52102425.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51490216.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51899722.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52921099.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51422968.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51112561.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,50714852.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51370666.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51065659.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51533970.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,50854755.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51495469.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51843276.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51618271.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51359766.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52144382.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51360066.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51784375.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,50769053.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51107661.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,50793754.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51343566.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51470368.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52099882.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51203762.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,54237626.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52255284.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53619213.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,51164061.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53263605.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53210704.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53170204.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52824596.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,54335427.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52659693.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53946520.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53339806.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,54257026.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,54436030.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,54120923.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52421288.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53759616.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,54025021.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53227705.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52653492.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53523611.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52920998.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53090102.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52938198.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53417908.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,52375587.0,ns,8
Gaussian Naive Bayes,Large/Linfa,,,,53903218.0,ns,8
