group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Gaussian Naive Bayes,Large/Smart,,,,53163829.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,53666536.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,52296317.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,52979526.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,53217230.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,48373663.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,56073969.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,52343818.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,58174997.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,56503774.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,50187988.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,54974654.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,53553234.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,53690236.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,50199889.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,48878970.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,54321245.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,55890567.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,57782892.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,55279558.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,54443347.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,54592449.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,55946967.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,52312017.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,54071741.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,56378773.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,53668236.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,56918580.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,54266044.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,59804120.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,55299559.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,52498120.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,60247426.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,61101138.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,55374459.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,55215457.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,54565348.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,56988981.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,55512061.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,58085596.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,54606148.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,57142884.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,59134210.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,61225239.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,58690205.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,55512865.0,ns,4
Gaussian Naive Bayes,Large/Smart,,,,60876939.0,ns,4
