group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Gaussian Naive Bayes,Medium/Linfa,,,,1004014.0,ns,3
Gaussian Naive Bayes,Medium/Linfa,,,,2130029.0,ns,6
Gaussian Naive Bayes,Medium/Linfa,,,,3158543.0,ns,9
Gaussian Naive Bayes,Medium/Linfa,,,,4189757.0,ns,12
Gaussian Naive Bayes,Medium/Linfa,,,,5245272.0,ns,15
Gaussian Naive Bayes,Medium/Linfa,,,,6334787.0,ns,18
Gaussian Naive Bayes,Medium/Linfa,,,,7272600.0,ns,21
Gaussian Naive Bayes,Medium/Linfa,,,,8385615.0,ns,24
Gaussian Naive Bayes,Medium/Linfa,,,,9464529.0,ns,27
Gaussian Naive Bayes,Medium/Linfa,,,,10493944.0,ns,30
Gaussian Naive Bayes,Medium/Linfa,,,,11539458.0,ns,33
Gaussian Naive Bayes,Medium/Linfa,,,,12534671.0,ns,36
Gaussian Naive Bayes,Medium/Linfa,,,,13797889.0,ns,39
Gaussian Naive Bayes,Medium/Linfa,,,,14766002.0,ns,42
Gaussian Naive Bayes,Medium/Linfa,,,,15741915.0,ns,45
Gaussian Naive Bayes,Medium/Linfa,,,,16900232.0,ns,48
Gaussian Naive Bayes,Medium/Linfa,,,,18093748.0,ns,51
Gaussian Naive Bayes,Medium/Linfa,,,,18945360.0,ns,54
Gaussian Naive Bayes,Medium/Linfa,,,,19948073.0,ns,57
Gaussian Naive Bayes,Medium/Linfa,,,,21141089.0,ns,60
Gaussian Naive Bayes,Medium/Linfa,,,,22045702.0,ns,63
Gaussian Naive Bayes,Medium/Linfa,,,,22873013.0,ns,66
Gaussian Naive Bayes,Medium/Linfa,,,,24391334.0,ns,69
Gaussian Naive Bayes,Medium/Linfa,,,,25555550.0,ns,72
Gaussian Naive Bayes,Medium/Linfa,,,,26635765.0,ns,75
Gaussian Naive Bayes,Medium/Linfa,,,,27755880.0,ns,78
Gaussian Naive Bayes,Medium/Linfa,,,,29221100.0,ns,81
Gaussian Naive Bayes,Medium/Linfa,,,,29432703.0,ns,84
