group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Gaussian Naive Bayes,Medium/Linfa,,,,1023814.0,ns,3
Gaussian Naive Bayes,Medium/Linfa,,,,2068327.0,ns,6
Gaussian Naive Bayes,Medium/Linfa,,,,3042540.0,ns,9
Gaussian Naive Bayes,Medium/Linfa,,,,4032952.0,ns,12
Gaussian Naive Bayes,Medium/Linfa,,,,5071966.0,ns,15
Gaussian Naive Bayes,Medium/Linfa,,,,6101279.0,ns,18
Gaussian Naive Bayes,Medium/Linfa,,,,7106992.0,ns,21
Gaussian Naive Bayes,Medium/Linfa,,,,8080204.0,ns,24
Gaussian Naive Bayes,Medium/Linfa,,,,9228319.0,ns,27
Gaussian Naive Bayes,Medium/Linfa,,,,10178632.0,ns,30
Gaussian Naive Bayes,Medium/Linfa,,,,11273546.0,ns,33
Gaussian Naive Bayes,Medium/Linfa,,,,12287359.0,ns,36
Gaussian Naive Bayes,Medium/Linfa,,,,13161570.0,ns,39
Gaussian Naive Bayes,Medium/Linfa,,,,14217984.0,ns,42
Gaussian Naive Bayes,Medium/Linfa,,,,15287597.0,ns,45
Gaussian Naive Bayes,Medium/Linfa,,,,16404512.0,ns,48
Gaussian Naive Bayes,Medium/Linfa,,,,17308124.0,ns,51
Gaussian Naive Bayes,Medium/Linfa,,,,18444939.0,ns,54
Gaussian Naive Bayes,Medium/Linfa,,,,19424751.0,ns,57
Gaussian Naive Bayes,Medium/Linfa,,,,20527765.0,ns,60
Gaussian Naive Bayes,Medium/Linfa,,,,21448077.0,ns,63
Gaussian Naive Bayes,Medium/Linfa,,,,22373989.0,ns,66
Gaussian Naive Bayes,Medium/Linfa,,,,23389002.0,ns,69
Gaussian Naive Bayes,Medium/Linfa,,,,24522117.0,ns,72
Gaussian Naive Bayes,Medium/Linfa,,,,25602431.0,ns,75
Gaussian Naive Bayes,Medium/Linfa,,,,26510242.0,ns,78
Gaussian Naive Bayes,Medium/Linfa,,,,27535156.0,ns,81
Gaussian Naive Bayes,Medium/Linfa,,,,28545369.0,ns,84
Gaussian Naive Bayes,Medium/Linfa,,,,29638183.0,ns,87
Gaussian Naive Bayes,Medium/Linfa,,,,30428593.0,ns,90
Gaussian Naive Bayes,Medium/Linfa,,,,31740310.0,ns,93
Gaussian Naive Bayes,Medium/Linfa,,,,32911725.0,ns,96
Gaussian Naive Bayes,Medium/Linfa,,,,33547233.0,ns,99
Gaussian Naive Bayes,Medium/Linfa,,,,34839050.0,ns,102
Gaussian Naive Bayes,Medium/Linfa,,,,35678661.0,ns,105
Gaussian Naive Bayes,Medium/Linfa,,,,36710574.0,ns,108
Gaussian Naive Bayes,Medium/Linfa,,,,37772288.0,ns,111
Gaussian Naive Bayes,Medium/Linfa,,,,38652799.0,ns,114
Gaussian Naive Bayes,Medium/Linfa,,,,39666612.0,ns,117
Gaussian Naive Bayes,Medium/Linfa,,,,40983729.0,ns,120
Gaussian Naive Bayes,Medium/Linfa,,,,41964142.0,ns,123
Gaussian Naive Bayes,Medium/Linfa,,,,42805153.0,ns,126
Gaussian Naive Bayes,Medium/Linfa,,,,43791166.0,ns,129
Gaussian Naive Bayes,Medium/Linfa,,,,44922980.0,ns,132
Gaussian Naive Bayes,Medium/Linfa,,,,46009194.0,ns,135
Gaussian Naive Bayes,Medium/Linfa,,,,47198410.0,ns,138
Gaussian Naive Bayes,Medium/Linfa,,,,48189722.0,ns,141
Gaussian Naive Bayes,Medium/Linfa,,,,48714629.0,ns,144
Gaussian Naive Bayes,Medium/Linfa,,,,49811543.0,ns,147
Gaussian Naive Bayes,Medium/Linfa,,,,50905258.0,ns,150
Gaussian Naive Bayes,Medium/Linfa,,,,52018272.0,ns,153
Gaussian Naive Bayes,Medium/Linfa,,,,53106886.0,ns,156
Gaussian Naive Bayes,Medium/Linfa,,,,54092199.0,ns,159
Gaussian Naive Bayes,Medium/Linfa,,,,55116912.0,ns,162
Gaussian Naive Bayes,Medium/Linfa,,,,56013224.0,ns,165
Gaussian Naive Bayes,Medium/Linfa,,,,57229639.0,ns,168
Gaussian Naive Bayes,Medium/Linfa,,,,58173951.0,ns,171
Gaussian Naive Bayes,Medium/Linfa,,,,59293266.0,ns,174
Gaussian Naive Bayes,Medium/Linfa,,,,59775972.0,ns,177
Gaussian Naive Bayes,Medium/Linfa,,,,60881986.0,ns,180
Gaussian Naive Bayes,Medium/Linfa,,,,61920299.0,ns,183
Gaussian Naive Bayes,Medium/Linfa,,,,63383219.0,ns,186
Gaussian Naive Bayes,Medium/Linfa,,,,64586334.0,ns,189
Gaussian Naive Bayes,Medium/Linfa,,,,65046541.0,ns,192
Gaussian Naive Bayes,Medium/Linfa,,,,66134154.0,ns,195
Gaussian Naive Bayes,Medium/Linfa,,,,67248669.0,ns,198
Gaussian Naive Bayes,Medium/Linfa,,,,68171880.0,ns,201
Gaussian Naive Bayes,Medium/Linfa,,,,69060392.0,ns,204
Gaussian Naive Bayes,Medium/Linfa,,,,70447010.0,ns,207
Gaussian Naive Bayes,Medium/Linfa,,,,71247620.0,ns,210
Gaussian Naive Bayes,Medium/Linfa,,,,72437535.0,ns,213
Gaussian Naive Bayes,Medium/Linfa,,,,73167245.0,ns,216
Gaussian Naive Bayes,Medium/Linfa,,,,74448362.0,ns,219
Gaussian Naive Bayes,Medium/Linfa,,,,75538076.0,ns,222
Gaussian Naive Bayes,Medium/Linfa,,,,76376387.0,ns,225
Gaussian Naive Bayes,Medium/Linfa,,,,77010704.0,ns,228
Gaussian Naive Bayes,Medium/Linfa,,,,78080167.0,ns,231
Gaussian Naive Bayes,Medium/Linfa,,,,79595489.0,ns,234
Gaussian Naive Bayes,Medium/Linfa,,,,80783907.0,ns,237
Gaussian Naive Bayes,Medium/Linfa,,,,81204614.0,ns,240
Gaussian Naive Bayes,Medium/Linfa,,,,82493733.0,ns,243
Gaussian Naive Bayes,Medium/Linfa,,,,83293845.0,ns,246
Gaussian Naive Bayes,Medium/Linfa,,,,84670665.0,ns,249
Gaussian Naive Bayes,Medium/Linfa,,,,85425077.0,ns,252
Gaussian Naive Bayes,Medium/Linfa,,,,86046585.0,ns,255
Gaussian Naive Bayes,Medium/Linfa,,,,87282005.0,ns,258
Gaussian Naive Bayes,Medium/Linfa,,,,88970529.0,ns,261
Gaussian Naive Bayes,Medium/Linfa,,,,89759842.0,ns,264
Gaussian Naive Bayes,Medium/Linfa,,,,90713856.0,ns,267
Gaussian Naive Bayes,Medium/Linfa,,,,91338565.0,ns,270
Gaussian Naive Bayes,Medium/Linfa,,,,92986090.0,ns,273
Gaussian Naive Bayes,Medium/Linfa,,,,93724001.0,ns,276
Gaussian Naive Bayes,Medium/Linfa,,,,94913218.0,ns,279
Gaussian Naive Bayes,Medium/Linfa,,,,95531028.0,ns,282
Gaussian Naive Bayes,Medium/Linfa,,,,96562343.0,ns,285
Gaussian Naive Bayes,Medium/Linfa,,,,97776462.0,ns,288
Gaussian Naive Bayes,Medium/Linfa,,,,98695475.0,ns,291
Gaussian Naive Bayes,Medium/Linfa,,,,99836092.0,ns,294
Gaussian Naive Bayes,Medium/Linfa,,,,100733205.0,ns,297
Gaussian Naive Bayes,Medium/Linfa,,,,101734120.0,ns,300
