group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Gaussian Naive Bayes,Small/Linfa,,,,1006790.0,ns,46
Gaussian Naive Bayes,Small/Linfa,,,,1990779.0,ns,92
Gaussian Naive Bayes,Small/Linfa,,,,3002669.0,ns,138
Gaussian Naive Bayes,Small/Linfa,,,,3986257.0,ns,184
Gaussian Naive Bayes,Small/Linfa,,,,5004649.0,ns,230
Gaussian Naive Bayes,Small/Linfa,,,,5988837.0,ns,276
Gaussian Naive Bayes,Small/Linfa,,,,7005928.0,ns,322
Gaussian Naive Bayes,Small/Linfa,,,,7983415.0,ns,368
Gaussian Naive Bayes,Small/Linfa,,,,9016808.0,ns,414
Gaussian Naive Bayes,Small/Linfa,,,,9988595.0,ns,460
Gaussian Naive Bayes,Small/Linfa,,,,11021688.0,ns,506
Gaussian Naive Bayes,Small/Linfa,,,,11973074.0,ns,552
Gaussian Naive Bayes,Small/Linfa,,,,13009566.0,ns,598
Gaussian Naive Bayes,Small/Linfa,,,,13974453.0,ns,644
Gaussian Naive Bayes,Small/Linfa,,,,15019146.0,ns,690
Gaussian Naive Bayes,Small/Linfa,,,,15964331.0,ns,736
Gaussian Naive Bayes,Small/Linfa,,,,17044328.0,ns,782
Gaussian Naive Bayes,Small/Linfa,,,,17973911.0,ns,828
Gaussian Naive Bayes,Small/Linfa,,,,19029206.0,ns,874
Gaussian Naive Bayes,Small/Linfa,,,,19939787.0,ns,920
Gaussian Naive Bayes,Small/Linfa,,,,21021984.0,ns,966
Gaussian Naive Bayes,Small/Linfa,,,,21954467.0,ns,1012
Gaussian Naive Bayes,Small/Linfa,,,,23030964.0,ns,1058
Gaussian Naive Bayes,Small/Linfa,,,,23949647.0,ns,1104
Gaussian Naive Bayes,Small/Linfa,,,,25046745.0,ns,1150
Gaussian Naive Bayes,Small/Linfa,,,,25954427.0,ns,1196
Gaussian Naive Bayes,Small/Linfa,,,,27050024.0,ns,1242
Gaussian Naive Bayes,Small/Linfa,,,,27957906.0,ns,1288
Gaussian Naive Bayes,Small/Linfa,,,,29037602.0,ns,1334
Gaussian Naive Bayes,Small/Linfa,,,,30078696.0,ns,1380
Gaussian Naive Bayes,Small/Linfa,,,,31184795.0,ns,1426
Gaussian Naive Bayes,Small/Linfa,,,,31909860.0,ns,1472
Gaussian Naive Bayes,Small/Linfa,,,,33025961.0,ns,1518
Gaussian Naive Bayes,Small/Linfa,,,,33927841.0,ns,1564
Gaussian Naive Bayes,Small/Linfa,,,,35046141.0,ns,1610
Gaussian Naive Bayes,Small/Linfa,,,,35904718.0,ns,1656
Gaussian Naive Bayes,Small/Linfa,,,,37067323.0,ns,1702
Gaussian Naive Bayes,Small/Linfa,,,,37911498.0,ns,1748
Gaussian Naive Bayes,Small/Linfa,,,,39044100.0,ns,1794
Gaussian Naive Bayes,Small/Linfa,,,,39883174.0,ns,1840
Gaussian Naive Bayes,Small/Linfa,,,,41003975.0,ns,1886
Gaussian Naive Bayes,Small/Linfa,,,,41869053.0,ns,1932
Gaussian Naive Bayes,Small/Linfa,,,,43089462.0,ns,1978
Gaussian Naive Bayes,Small/Linfa,,,,43885733.0,ns,2024
Gaussian Naive Bayes,Small/Linfa,,,,45086542.0,ns,2070
Gaussian Naive Bayes,Small/Linfa,,,,45872012.0,ns,2116
Gaussian Naive Bayes,Small/Linfa,,,,47042916.0,ns,2162
Gaussian Naive Bayes,Small/Linfa,,,,47859490.0,ns,2208
Gaussian Naive Bayes,Small/Linfa,,,,49059397.0,ns,2254
