group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Gaussian Naive Bayes,Small/Linfa,,,,1078415.0,ns,64
Gaussian Naive Bayes,Small/Linfa,,,,2158729.0,ns,128
Gaussian Naive Bayes,Small/Linfa,,,,3244143.0,ns,192
Gaussian Naive Bayes,Small/Linfa,,,,4323357.0,ns,256
Gaussian Naive Bayes,Small/Linfa,,,,5384771.0,ns,320
Gaussian Naive Bayes,Small/Linfa,,,,6476686.0,ns,384
Gaussian Naive Bayes,Small/Linfa,,,,7546501.0,ns,448
Gaussian Naive Bayes,Small/Linfa,,,,8630316.0,ns,512
Gaussian Naive Bayes,Small/Linfa,,,,9702530.0,ns,576
Gaussian Naive Bayes,Small/Linfa,,,,10824144.0,ns,640
Gaussian Naive Bayes,Small/Linfa,,,,11865859.0,ns,704
Gaussian Naive Bayes,Small/Linfa,,,,12955173.0,ns,768
Gaussian Naive Bayes,Small/Linfa,,,,14012288.0,ns,832
Gaussian Naive Bayes,Small/Linfa,,,,15111502.0,ns,896
Gaussian Naive Bayes,Small/Linfa,,,,16168716.0,ns,960
Gaussian Naive Bayes,Small/Linfa,,,,17259031.0,ns,1024
Gaussian Naive Bayes,Small/Linfa,,,,18347045.0,ns,1088
Gaussian Naive Bayes,Small/Linfa,,,,19452060.0,ns,1152
Gaussian Naive Bayes,Small/Linfa,,,,20486174.0,ns,1216
Gaussian Naive Bayes,Small/Linfa,,,,21653189.0,ns,1280
Gaussian Naive Bayes,Small/Linfa,,,,22642203.0,ns,1344
Gaussian Naive Bayes,Small/Linfa,,,,23719117.0,ns,1408
Gaussian Naive Bayes,Small/Linfa,,,,24818132.0,ns,1472
Gaussian Naive Bayes,Small/Linfa,,,,25874946.0,ns,1536
Gaussian Naive Bayes,Small/Linfa,,,,26838258.0,ns,1600
Gaussian Naive Bayes,Small/Linfa,,,,27904872.0,ns,1664
Gaussian Naive Bayes,Small/Linfa,,,,28926386.0,ns,1728
Gaussian Naive Bayes,Small/Linfa,,,,29806698.0,ns,1792
Gaussian Naive Bayes,Small/Linfa,,,,30749610.0,ns,1856
Gaussian Naive Bayes,Small/Linfa,,,,32024828.0,ns,1920
Gaussian Naive Bayes,Small/Linfa,,,,33335245.0,ns,1984
Gaussian Naive Bayes,Small/Linfa,,,,34517961.0,ns,2048
Gaussian Naive Bayes,Small/Linfa,,,,35333772.0,ns,2112
Gaussian Naive Bayes,Small/Linfa,,,,36548688.0,ns,2176
Gaussian Naive Bayes,Small/Linfa,,,,37753405.0,ns,2240
Gaussian Naive Bayes,Small/Linfa,,,,38312812.0,ns,2304
Gaussian Naive Bayes,Small/Linfa,,,,39366726.0,ns,2368
Gaussian Naive Bayes,Small/Linfa,,,,40263938.0,ns,2432
Gaussian Naive Bayes,Small/Linfa,,,,40766045.0,ns,2496
Gaussian Naive Bayes,Small/Linfa,,,,41569955.0,ns,2560
Gaussian Naive Bayes,Small/Linfa,,,,43219478.0,ns,2624
Gaussian Naive Bayes,Small/Linfa,,,,44454594.0,ns,2688
Gaussian Naive Bayes,Small/Linfa,,,,45887613.0,ns,2752
Gaussian Naive Bayes,Small/Linfa,,,,46684424.0,ns,2816
Gaussian Naive Bayes,Small/Linfa,,,,47853039.0,ns,2880
Gaussian Naive Bayes,Small/Linfa,,,,48930353.0,ns,2944
Gaussian Naive Bayes,Small/Linfa,,,,49800766.0,ns,3008
Gaussian Naive Bayes,Small/Linfa,,,,51370686.0,ns,3072
