group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Gaussian Naive Bayes,Small/Smart,,,,992713.0,ns,54
Gaussian Naive Bayes,Small/Smart,,,,1987426.0,ns,108
Gaussian Naive Bayes,Small/Smart,,,,2967939.0,ns,162
Gaussian Naive Bayes,Small/Smart,,,,3961852.0,ns,216
Gaussian Naive Bayes,Small/Smart,,,,4937265.0,ns,270
Gaussian Naive Bayes,Small/Smart,,,,5936978.0,ns,324
Gaussian Naive Bayes,Small/Smart,,,,6912291.0,ns,378
Gaussian Naive Bayes,Small/Smart,,,,7915105.0,ns,432
Gaussian Naive Bayes,Small/Smart,,,,8910917.0,ns,486
Gaussian Naive Bayes,Small/Smart,,,,9874030.0,ns,540
Gaussian Naive Bayes,Small/Smart,,,,10864343.0,ns,594
Gaussian Naive Bayes,Small/Smart,,,,11899357.0,ns,648
Gaussian Naive Bayes,Small/Smart,,,,12853369.0,ns,702
Gaussian Naive Bayes,Small/Smart,,,,13848782.0,ns,756
Gaussian Naive Bayes,Small/Smart,,,,14839495.0,ns,810
Gaussian Naive Bayes,Small/Smart,,,,15815408.0,ns,864
Gaussian Naive Bayes,Small/Smart,,,,16803621.0,ns,918
Gaussian Naive Bayes,Small/Smart,,,,17793434.0,ns,972
Gaussian Naive Bayes,Small/Smart,,,,18789647.0,ns,1026
Gaussian Naive Bayes,Small/Smart,,,,19776560.0,ns,1080
Gaussian Naive Bayes,Small/Smart,,,,20765873.0,ns,1134
Gaussian Naive Bayes,Small/Smart,,,,21740186.0,ns,1188
Gaussian Naive Bayes,Small/Smart,,,,22727499.0,ns,1242
Gaussian Naive Bayes,Small/Smart,,,,23749112.0,ns,1296
Gaussian Naive Bayes,Small/Smart,,,,24687025.0,ns,1350
Gaussian Naive Bayes,Small/Smart,,,,25690838.0,ns,1404
Gaussian Naive Bayes,Small/Smart,,,,26679750.0,ns,1458
Gaussian Naive Bayes,Small/Smart,,,,27645163.0,ns,1512
Gaussian Naive Bayes,Small/Smart,,,,28681577.0,ns,1566
Gaussian Naive Bayes,Small/Smart,,,,29645790.0,ns,1620
Gaussian Naive Bayes,Small/Smart,,,,30624703.0,ns,1674
Gaussian Naive Bayes,Small/Smart,,,,31658417.0,ns,1728
Gaussian Naive Bayes,Small/Smart,,,,32637029.0,ns,1782
Gaussian Naive Bayes,Small/Smart,,,,33552241.0,ns,1836
Gaussian Naive Bayes,Small/Smart,,,,34550855.0,ns,1890
Gaussian Naive Bayes,Small/Smart,,,,35593168.0,ns,1944
Gaussian Naive Bayes,Small/Smart,,,,36613382.0,ns,1998
Gaussian Naive Bayes,Small/Smart,,,,37544894.0,ns,2052
Gaussian Naive Bayes,Small/Smart,,,,38592908.0,ns,2106
Gaussian Naive Bayes,Small/Smart,,,,39558721.0,ns,2160
Gaussian Naive Bayes,Small/Smart,,,,40512733.0,ns,2214
Gaussian Naive Bayes,Small/Smart,,,,41480646.0,ns,2268
Gaussian Naive Bayes,Small/Smart,,,,42457558.0,ns,2322
Gaussian Naive Bayes,Small/Smart,,,,43423971.0,ns,2376
Gaussian Naive Bayes,Small/Smart,,,,44482285.0,ns,2430
Gaussian Naive Bayes,Small/Smart,,,,45427098.0,ns,2484
Gaussian Naive Bayes,Small/Smart,,,,46455011.0,ns,2538
Gaussian Naive Bayes,Small/Smart,,,,47479125.0,ns,2592
Gaussian Naive Bayes,Small/Smart,,,,48402937.0,ns,2646
Gaussian Naive Bayes,Small/Smart,,,,49438650.0,ns,2700
Gaussian Naive Bayes,Small/Smart,,,,50431063.0,ns,2754
Gaussian Naive Bayes,Small/Smart,,,,51364676.0,ns,2808
Gaussian Naive Bayes,Small/Smart,,,,52368289.0,ns,2862
Gaussian Naive Bayes,Small/Smart,,,,53359502.0,ns,2916
Gaussian Naive Bayes,Small/Smart,,,,54353615.0,ns,2970
Gaussian Naive Bayes,Small/Smart,,,,55378528.0,ns,3024
Gaussian Naive Bayes,Small/Smart,,,,56327241.0,ns,3078
Gaussian Naive Bayes,Small/Smart,,,,57290654.0,ns,3132
Gaussian Naive Bayes,Small/Smart,,,,58369168.0,ns,3186
Gaussian Naive Bayes,Small/Smart,,,,59328381.0,ns,3240
Gaussian Naive Bayes,Small/Smart,,,,60244592.0,ns,3294
Gaussian Naive Bayes,Small/Smart,,,,61240305.0,ns,3348
Gaussian Naive Bayes,Small/Smart,,,,62250219.0,ns,3402
Gaussian Naive Bayes,Small/Smart,,,,63254533.0,ns,3456
Gaussian Naive Bayes,Small/Smart,,,,64269945.0,ns,3510
Gaussian Naive Bayes,Small/Smart,,,,65272259.0,ns,3564
Gaussian Naive Bayes,Small/Smart,,,,66199271.0,ns,3618
Gaussian Naive Bayes,Small/Smart,,,,67240485.0,ns,3672
Gaussian Naive Bayes,Small/Smart,,,,68221697.0,ns,3726
Gaussian Naive Bayes,Small/Smart,,,,69098409.0,ns,3780
Gaussian Naive Bayes,Small/Smart,,,,70229124.0,ns,3834
Gaussian Naive Bayes,Small/Smart,,,,71169136.0,ns,3888
Gaussian Naive Bayes,Small/Smart,,,,72129249.0,ns,3942
Gaussian Naive Bayes,Small/Smart,,,,73158563.0,ns,3996
Gaussian Naive Bayes,Small/Smart,,,,74173975.0,ns,4050
Gaussian Naive Bayes,Small/Smart,,,,75023433.0,ns,4104
Gaussian Naive Bayes,Small/Smart,,,,76127051.0,ns,4158
Gaussian Naive Bayes,Small/Smart,,,,77104089.0,ns,4212
Gaussian Naive Bayes,Small/Smart,,,,78021125.0,ns,4266
Gaussian Naive Bayes,Small/Smart,,,,79016763.0,ns,4320
Gaussian Naive Bayes,Small/Smart,,,,80100105.0,ns,4374
Gaussian Naive Bayes,Small/Smart,,,,81058442.0,ns,4428
Gaussian Naive Bayes,Small/Smart,,,,82083381.0,ns,4482
Gaussian Naive Bayes,Small/Smart,,,,83045219.0,ns,4536
Gaussian Naive Bayes,Small/Smart,,,,83969855.0,ns,4590
Gaussian Naive Bayes,Small/Smart,,,,85074598.0,ns,4644
Gaussian Naive Bayes,Small/Smart,,,,85937432.0,ns,4698
Gaussian Naive Bayes,Small/Smart,,,,86890968.0,ns,4752
Gaussian Naive Bayes,Small/Smart,,,,87996511.0,ns,4806
