group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Gaussian Naive Bayes,Small/Smart,,,,1006891.0,ns,43
Gaussian Naive Bayes,Small/Smart,,,,2020481.0,ns,86
Gaussian Naive Bayes,Small/Smart,,,,3022572.0,ns,129
Gaussian Naive Bayes,Small/Smart,,,,4024061.0,ns,172
Gaussian Naive Bayes,Small/Smart,,,,5018051.0,ns,215
Gaussian Naive Bayes,Small/Smart,,,,6015140.0,ns,258
Gaussian Naive Bayes,Small/Smart,,,,7024830.0,ns,301
Gaussian Naive Bayes,Small/Smart,,,,8040622.0,ns,344
Gaussian Naive Bayes,Small/Smart,,,,9020209.0,ns,387
Gaussian Naive Bayes,Small/Smart,,,,10048802.0,ns,430
Gaussian Naive Bayes,Small/Smart,,,,11024589.0,ns,473
Gaussian Naive Bayes,Small/Smart,,,,12044681.0,ns,516
Gaussian Naive Bayes,Small/Smart,,,,13045770.0,ns,559
Gaussian Naive Bayes,Small/Smart,,,,14044961.0,ns,602
Gaussian Naive Bayes,Small/Smart,,,,15044450.0,ns,645
Gaussian Naive Bayes,Small/Smart,,,,16002536.0,ns,688
Gaussian Naive Bayes,Small/Smart,,,,17042229.0,ns,731
Gaussian Naive Bayes,Small/Smart,,,,18072822.0,ns,774
Gaussian Naive Bayes,Small/Smart,,,,19034708.0,ns,817
Gaussian Naive Bayes,Small/Smart,,,,20022796.0,ns,860
Gaussian Naive Bayes,Small/Smart,,,,21037088.0,ns,903
Gaussian Naive Bayes,Small/Smart,,,,22050979.0,ns,946
Gaussian Naive Bayes,Small/Smart,,,,23058169.0,ns,989
Gaussian Naive Bayes,Small/Smart,,,,24077561.0,ns,1032
Gaussian Naive Bayes,Small/Smart,,,,25052348.0,ns,1075
Gaussian Naive Bayes,Small/Smart,,,,26042137.0,ns,1118
Gaussian Naive Bayes,Small/Smart,,,,27120434.0,ns,1161
Gaussian Naive Bayes,Small/Smart,,,,28120023.0,ns,1204
Gaussian Naive Bayes,Small/Smart,,,,29096010.0,ns,1247
Gaussian Naive Bayes,Small/Smart,,,,30088399.0,ns,1290
Gaussian Naive Bayes,Small/Smart,,,,31069688.0,ns,1333
Gaussian Naive Bayes,Small/Smart,,,,32067277.0,ns,1376
Gaussian Naive Bayes,Small/Smart,,,,33081069.0,ns,1419
Gaussian Naive Bayes,Small/Smart,,,,34133163.0,ns,1462
Gaussian Naive Bayes,Small/Smart,,,,35159655.0,ns,1505
Gaussian Naive Bayes,Small/Smart,,,,36071937.0,ns,1548
Gaussian Naive Bayes,Small/Smart,,,,37143333.0,ns,1591
Gaussian Naive Bayes,Small/Smart,,,,38089818.0,ns,1634
Gaussian Naive Bayes,Small/Smart,,,,39128411.0,ns,1677
Gaussian Naive Bayes,Small/Smart,,,,40062994.0,ns,1720
Gaussian Naive Bayes,Small/Smart,,,,41133691.0,ns,1763
Gaussian Naive Bayes,Small/Smart,,,,42123179.0,ns,1806
Gaussian Naive Bayes,Small/Smart,,,,43129370.0,ns,1849
Gaussian Naive Bayes,Small/Smart,,,,44117959.0,ns,1892
Gaussian Naive Bayes,Small/Smart,,,,45107547.0,ns,1935
Gaussian Naive Bayes,Small/Smart,,,,46071034.0,ns,1978
Gaussian Naive Bayes,Small/Smart,,,,47210136.0,ns,2021
Gaussian Naive Bayes,Small/Smart,,,,48114317.0,ns,2064
Gaussian Naive Bayes,Small/Smart,,,,49089505.0,ns,2107
Gaussian Naive Bayes,Small/Smart,,,,50151100.0,ns,2150
Gaussian Naive Bayes,Small/Smart,,,,51120186.0,ns,2193
Gaussian Naive Bayes,Small/Smart,,,,52079772.0,ns,2236
Gaussian Naive Bayes,Small/Smart,,,,53168270.0,ns,2279
Gaussian Naive Bayes,Small/Smart,,,,54123756.0,ns,2322
Gaussian Naive Bayes,Small/Smart,,,,55202053.0,ns,2365
Gaussian Naive Bayes,Small/Smart,,,,56123336.0,ns,2408
Gaussian Naive Bayes,Small/Smart,,,,57044319.0,ns,2451
Gaussian Naive Bayes,Small/Smart,,,,58118415.0,ns,2494
Gaussian Naive Bayes,Small/Smart,,,,59187511.0,ns,2537
Gaussian Naive Bayes,Small/Smart,,,,60117994.0,ns,2580
Gaussian Naive Bayes,Small/Smart,,,,61141486.0,ns,2623
Gaussian Naive Bayes,Small/Smart,,,,62143376.0,ns,2666
Gaussian Naive Bayes,Small/Smart,,,,63120663.0,ns,2709
Gaussian Naive Bayes,Small/Smart,,,,64101251.0,ns,2752
Gaussian Naive Bayes,Small/Smart,,,,65102942.0,ns,2795
Gaussian Naive Bayes,Small/Smart,,,,66180838.0,ns,2838
Gaussian Naive Bayes,Small/Smart,,,,67118822.0,ns,2881
Gaussian Naive Bayes,Small/Smart,,,,68074608.0,ns,2924
Gaussian Naive Bayes,Small/Smart,,,,69160605.0,ns,2967
Gaussian Naive Bayes,Small/Smart,,,,70114091.0,ns,3010
Gaussian Naive Bayes,Small/Smart,,,,71192588.0,ns,3053
Gaussian Naive Bayes,Small/Smart,,,,72191877.0,ns,3096
Gaussian Naive Bayes,Small/Smart,,,,73082658.0,ns,3139
Gaussian Naive Bayes,Small/Smart,,,,74162654.0,ns,3182
Gaussian Naive Bayes,Small/Smart,,,,75167044.0,ns,3225
Gaussian Naive Bayes,Small/Smart,,,,76316947.0,ns,3268
Gaussian Naive Bayes,Small/Smart,,,,77095417.0,ns,3311
Gaussian Naive Bayes,Small/Smart,,,,78182015.0,ns,3354
Gaussian Naive Bayes,Small/Smart,,,,79190205.0,ns,3397
Gaussian Naive Bayes,Small/Smart,,,,80176094.0,ns,3440
Gaussian Naive Bayes,Small/Smart,,,,81136880.0,ns,3483
Gaussian Naive Bayes,Small/Smart,,,,82187775.0,ns,3526
Gaussian Naive Bayes,Small/Smart,,,,83175063.0,ns,3569
Gaussian Naive Bayes,Small/Smart,,,,84201555.0,ns,3612
Gaussian Naive Bayes,Small/Smart,,,,85135639.0,ns,3655
Gaussian Naive Bayes,Small/Smart,,,,86168831.0,ns,3698
Gaussian Naive Bayes,Small/Smart,,,,87287632.0,ns,3741
