group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Large/Linfa,,,,76174747.0,ns,3
K-Means Clustering,Large/Linfa,,,,76630053.0,ns,3
K-Means Clustering,Large/Linfa,,,,88040610.0,ns,3
K-Means Clustering,Large/Linfa,,,,87803407.0,ns,3
K-Means Clustering,Large/Linfa,,,,87788507.0,ns,3
K-Means Clustering,Large/Linfa,,,,75616339.0,ns,3
K-Means Clustering,Large/Linfa,,,,76574852.0,ns,3
K-Means Clustering,Large/Linfa,,,,76759855.0,ns,3
K-Means Clustering,Large/Linfa,,,,76170947.0,ns,3
K-Means Clustering,Large/Linfa,,,,76228448.0,ns,3
K-Means Clustering,Large/Linfa,,,,87669205.0,ns,3
K-Means Clustering,Large/Linfa,,,,76136147.0,ns,3
K-Means Clustering,Large/Linfa,,,,69313553.0,ns,3
K-Means Clustering,Large/Linfa,,,,88138111.0,ns,3
K-Means Clustering,Large/Linfa,,,,89400829.0,ns,3
K-Means Clustering,Large/Linfa,,,,76297649.0,ns,3
K-Means Clustering,Large/Linfa,,,,78475078.0,ns,3
K-Means Clustering,Large/Linfa,,,,104854441.0,ns,3
K-Means Clustering,Large/Linfa,,,,89880435.0,ns,3
K-Means Clustering,Large/Linfa,,,,70608871.0,ns,3
K-Means Clustering,Large/Linfa,,,,68353139.0,ns,3
K-Means Clustering,Large/Linfa,,,,69031749.0,ns,3
K-Means Clustering,Large/Linfa,,,,70942675.0,ns,3
K-Means Clustering,Large/Linfa,,,,91896866.0,ns,3
K-Means Clustering,Large/Linfa,,,,81673126.0,ns,3
K-Means Clustering,Large/Linfa,,,,70524272.0,ns,3
K-Means Clustering,Large/Linfa,,,,71551186.0,ns,3
K-Means Clustering,Large/Linfa,,,,76366753.0,ns,3
K-Means Clustering,Large/Linfa,,,,89173429.0,ns,3
K-Means Clustering,Large/Linfa,,,,70076466.0,ns,3
K-Means Clustering,Large/Linfa,,,,70619674.0,ns,3
K-Means Clustering,Large/Linfa,,,,68937350.0,ns,3
K-Means Clustering,Large/Linfa,,,,68042638.0,ns,3
K-Means Clustering,Large/Linfa,,,,78195278.0,ns,3
K-Means Clustering,Large/Linfa,,,,67874835.0,ns,3
K-Means Clustering,Large/Linfa,,,,78452181.0,ns,3
K-Means Clustering,Large/Linfa,,,,78761985.0,ns,3
K-Means Clustering,Large/Linfa,,,,67657832.0,ns,3
K-Means Clustering,Large/Linfa,,,,78531282.0,ns,3
K-Means Clustering,Large/Linfa,,,,78916188.0,ns,3
K-Means Clustering,Large/Linfa,,,,79560397.0,ns,3
