group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Large/Linfa,,,,66147031.0,ns,3
K-Means Clustering,Large/Linfa,,,,77612819.0,ns,3
K-Means Clustering,Large/Linfa,,,,77945819.0,ns,3
K-Means Clustering,Large/Linfa,,,,65050032.0,ns,3
K-Means Clustering,Large/Linfa,,,,76902020.0,ns,3
K-Means Clustering,Large/Linfa,,,,65228632.0,ns,3
K-Means Clustering,Large/Linfa,,,,79049418.0,ns,3
K-Means Clustering,Large/Linfa,,,,64447733.0,ns,3
K-Means Clustering,Large/Linfa,,,,89438006.0,ns,3
K-Means Clustering,Large/Linfa,,,,76820920.0,ns,3
K-Means Clustering,Large/Linfa,,,,77002519.0,ns,3
K-Means Clustering,Large/Linfa,,,,77752719.0,ns,3
K-Means Clustering,Large/Linfa,,,,77493119.0,ns,3
K-Means Clustering,Large/Linfa,,,,64542232.0,ns,3
K-Means Clustering,Large/Linfa,,,,82281414.0,ns,3
K-Means Clustering,Large/Linfa,,,,65231932.0,ns,3
K-Means Clustering,Large/Linfa,,,,77425219.0,ns,3
K-Means Clustering,Large/Linfa,,,,77352919.0,ns,3
K-Means Clustering,Large/Linfa,,,,64981332.0,ns,3
K-Means Clustering,Large/Linfa,,,,78671417.0,ns,3
K-Means Clustering,Large/Linfa,,,,77584119.0,ns,3
K-Means Clustering,Large/Linfa,,,,64574933.0,ns,3
K-Means Clustering,Large/Linfa,,,,77525220.0,ns,3
K-Means Clustering,Large/Linfa,,,,77926818.0,ns,3
K-Means Clustering,Large/Linfa,,,,64948933.0,ns,3
K-Means Clustering,Large/Linfa,,,,77676418.0,ns,3
K-Means Clustering,Large/Linfa,,,,78848917.0,ns,3
K-Means Clustering,Large/Linfa,,,,77673919.0,ns,3
K-Means Clustering,Large/Linfa,,,,77003219.0,ns,3
K-Means Clustering,Large/Linfa,,,,77365519.0,ns,3
K-Means Clustering,Large/Linfa,,,,78140919.0,ns,3
K-Means Clustering,Large/Linfa,,,,77045819.0,ns,3
K-Means Clustering,Large/Linfa,,,,64780432.0,ns,3
K-Means Clustering,Large/Linfa,,,,77213319.0,ns,3
K-Means Clustering,Large/Linfa,,,,77907019.0,ns,3
K-Means Clustering,Large/Linfa,,,,78065619.0,ns,3
K-Means Clustering,Large/Linfa,,,,64865732.0,ns,3
K-Means Clustering,Large/Linfa,,,,77656719.0,ns,3
K-Means Clustering,Large/Linfa,,,,78449518.0,ns,3
K-Means Clustering,Large/Linfa,,,,77298919.0,ns,3
K-Means Clustering,Large/Linfa,,,,77136019.0,ns,3
K-Means Clustering,Large/Linfa,,,,65037132.0,ns,3
K-Means Clustering,Large/Linfa,,,,76983320.0,ns,3
K-Means Clustering,Large/Linfa,,,,77963118.0,ns,3
K-Means Clustering,Large/Linfa,,,,77102019.0,ns,3
K-Means Clustering,Large/Linfa,,,,89565506.0,ns,3
K-Means Clustering,Large/Linfa,,,,77961818.0,ns,3
K-Means Clustering,Large/Linfa,,,,77374220.0,ns,3
K-Means Clustering,Large/Linfa,,,,78767818.0,ns,3
K-Means Clustering,Large/Linfa,,,,64994433.0,ns,3
K-Means Clustering,Large/Linfa,,,,80136716.0,ns,3
K-Means Clustering,Large/Linfa,,,,65297132.0,ns,3
K-Means Clustering,Large/Linfa,,,,66417331.0,ns,3
K-Means Clustering,Large/Linfa,,,,78063218.0,ns,3
K-Means Clustering,Large/Linfa,,,,77668219.0,ns,3
K-Means Clustering,Large/Linfa,,,,93209103.0,ns,3
K-Means Clustering,Large/Linfa,,,,78339618.0,ns,3
K-Means Clustering,Large/Linfa,,,,65547132.0,ns,3
K-Means Clustering,Large/Linfa,,,,78843718.0,ns,3
K-Means Clustering,Large/Linfa,,,,77983519.0,ns,3
K-Means Clustering,Large/Linfa,,,,78630618.0,ns,3
K-Means Clustering,Large/Linfa,,,,65007432.0,ns,3
K-Means Clustering,Large/Linfa,,,,77207619.0,ns,3
K-Means Clustering,Large/Linfa,,,,76787820.0,ns,3
K-Means Clustering,Large/Linfa,,,,89272307.0,ns,3
K-Means Clustering,Large/Linfa,,,,64415833.0,ns,3
K-Means Clustering,Large/Linfa,,,,77155520.0,ns,3
K-Means Clustering,Large/Linfa,,,,77520819.0,ns,3
K-Means Clustering,Large/Linfa,,,,64743432.0,ns,3
K-Means Clustering,Large/Linfa,,,,64395632.0,ns,3
K-Means Clustering,Large/Linfa,,,,77211420.0,ns,3
K-Means Clustering,Large/Linfa,,,,77868718.0,ns,3
K-Means Clustering,Large/Linfa,,,,65327332.0,ns,3
K-Means Clustering,Large/Linfa,,,,77109119.0,ns,3
K-Means Clustering,Large/Linfa,,,,76929219.0,ns,3
K-Means Clustering,Large/Linfa,,,,78186518.0,ns,3
K-Means Clustering,Large/Linfa,,,,77116819.0,ns,3
K-Means Clustering,Large/Linfa,,,,77653855.0,ns,3
K-Means Clustering,Large/Linfa,,,,76958773.0,ns,3
K-Means Clustering,Large/Linfa,,,,77125273.0,ns,3
K-Means Clustering,Large/Linfa,,,,76885972.0,ns,3
K-Means Clustering,Large/Linfa,,,,76650171.0,ns,3
K-Means Clustering,Large/Linfa,,,,77855778.0,ns,3
K-Means Clustering,Large/Linfa,,,,64642097.0,ns,3
