group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Large/Smart,,,,167195389.0,ns,1
K-Means Clustering,Large/Smart,,,,160741501.0,ns,1
K-Means Clustering,Large/Smart,,,,177454630.0,ns,1
K-Means Clustering,Large/Smart,,,,157342455.0,ns,1
K-Means Clustering,Large/Smart,,,,159933290.0,ns,1
K-Means Clustering,Large/Smart,,,,164135347.0,ns,1
K-Means Clustering,Large/Smart,,,,178410643.0,ns,1
K-Means Clustering,Large/Smart,,,,163392238.0,ns,1
K-Means Clustering,Large/Smart,,,,160563999.0,ns,1
K-Means Clustering,Large/Smart,,,,160637000.0,ns,1
K-Means Clustering,Large/Smart,,,,179090452.0,ns,1
K-Means Clustering,Large/Smart,,,,189946001.0,ns,1
K-Means Clustering,Large/Smart,,,,182301697.0,ns,1
K-Means Clustering,Large/Smart,,,,175906416.0,ns,1
K-Means Clustering,Large/Smart,,,,171623459.0,ns,1
K-Means Clustering,Large/Smart,,,,178190350.0,ns,1
K-Means Clustering,Large/Smart,,,,165130071.0,ns,1
K-Means Clustering,Large/Smart,,,,157482065.0,ns,1
K-Means Clustering,Large/Smart,,,,172318869.0,ns,1
K-Means Clustering,Large/Smart,,,,156585653.0,ns,1
K-Means Clustering,Large/Smart,,,,154438724.0,ns,1
K-Means Clustering,Large/Smart,,,,161665323.0,ns,1
K-Means Clustering,Large/Smart,,,,179640270.0,ns,1
K-Means Clustering,Large/Smart,,,,176282523.0,ns,1
K-Means Clustering,Large/Smart,,,,174010692.0,ns,1
K-Means Clustering,Large/Smart,,,,155800242.0,ns,1
K-Means Clustering,Large/Smart,,,,165015469.0,ns,1
K-Means Clustering,Large/Smart,,,,164527062.0,ns,1
K-Means Clustering,Large/Smart,,,,175796617.0,ns,1
K-Means Clustering,Large/Smart,,,,171017951.0,ns,1
K-Means Clustering,Large/Smart,,,,175480712.0,ns,1
K-Means Clustering,Large/Smart,,,,173148381.0,ns,1
K-Means Clustering,Large/Smart,,,,174315197.0,ns,1
K-Means Clustering,Large/Smart,,,,167662706.0,ns,1
K-Means Clustering,Large/Smart,,,,174732203.0,ns,1
K-Means Clustering,Large/Smart,,,,169358429.0,ns,1
K-Means Clustering,Large/Smart,,,,152641099.0,ns,1
K-Means Clustering,Large/Smart,,,,157879070.0,ns,1
K-Means Clustering,Large/Smart,,,,152403395.0,ns,1
K-Means Clustering,Large/Smart,,,,182428408.0,ns,1
K-Means Clustering,Large/Smart,,,,166385588.0,ns,1
K-Means Clustering,Large/Smart,,,,166893195.0,ns,1
K-Means Clustering,Large/Smart,,,,153723913.0,ns,1
K-Means Clustering,Large/Smart,,,,154701727.0,ns,1
K-Means Clustering,Large/Smart,,,,152756200.0,ns,1
K-Means Clustering,Large/Smart,,,,151958590.0,ns,1
K-Means Clustering,Large/Smart,,,,168102612.0,ns,1
K-Means Clustering,Large/Smart,,,,191402032.0,ns,1
K-Means Clustering,Large/Smart,,,,182238405.0,ns,1
K-Means Clustering,Large/Smart,,,,164835466.0,ns,1
K-Means Clustering,Large/Smart,,,,160472906.0,ns,1
K-Means Clustering,Large/Smart,,,,169474730.0,ns,1
K-Means Clustering,Large/Smart,,,,178125349.0,ns,1
K-Means Clustering,Large/Smart,,,,188093586.0,ns,1
K-Means Clustering,Large/Smart,,,,180205877.0,ns,1
K-Means Clustering,Large/Smart,,,,183150218.0,ns,1
K-Means Clustering,Large/Smart,,,,174668804.0,ns,1
K-Means Clustering,Large/Smart,,,,183984833.0,ns,1
K-Means Clustering,Large/Smart,,,,189005601.0,ns,1
K-Means Clustering,Large/Smart,,,,163389649.0,ns,1
K-Means Clustering,Large/Smart,,,,169175929.0,ns,1
K-Means Clustering,Large/Smart,,,,176529030.0,ns,1
K-Means Clustering,Large/Smart,,,,165742081.0,ns,1
K-Means Clustering,Large/Smart,,,,199169442.0,ns,1
K-Means Clustering,Large/Smart,,,,187390480.0,ns,1
K-Means Clustering,Large/Smart,,,,149424157.0,ns,1
K-Means Clustering,Large/Smart,,,,154090021.0,ns,1
K-Means Clustering,Large/Smart,,,,160701513.0,ns,1
K-Means Clustering,Large/Smart,,,,161785927.0,ns,1
K-Means Clustering,Large/Smart,,,,151108980.0,ns,1
K-Means Clustering,Large/Smart,,,,172459674.0,ns,1
K-Means Clustering,Large/Smart,,,,156767258.0,ns,1
K-Means Clustering,Large/Smart,,,,178275554.0,ns,1
K-Means Clustering,Large/Smart,,,,176365927.0,ns,1
K-Means Clustering,Large/Smart,,,,167924611.0,ns,1
K-Means Clustering,Large/Smart,,,,171908266.0,ns,1
K-Means Clustering,Large/Smart,,,,171294058.0,ns,1
K-Means Clustering,Large/Smart,,,,169400332.0,ns,1
K-Means Clustering,Large/Smart,,,,178051151.0,ns,1
K-Means Clustering,Large/Smart,,,,160908914.0,ns,1
K-Means Clustering,Large/Smart,,,,159282592.0,ns,1
K-Means Clustering,Large/Smart,,,,152807903.0,ns,1
K-Means Clustering,Large/Smart,,,,172110169.0,ns,1
K-Means Clustering,Large/Smart,,,,177852948.0,ns,1
K-Means Clustering,Large/Smart,,,,169134628.0,ns,1
K-Means Clustering,Large/Smart,,,,168682722.0,ns,1
K-Means Clustering,Large/Smart,,,,168932425.0,ns,1
K-Means Clustering,Large/Smart,,,,180221381.0,ns,1
K-Means Clustering,Large/Smart,,,,175385914.0,ns,1
K-Means Clustering,Large/Smart,,,,185690756.0,ns,1
K-Means Clustering,Large/Smart,,,,163426150.0,ns,1
K-Means Clustering,Large/Smart,,,,168117614.0,ns,1
K-Means Clustering,Large/Smart,,,,157275465.0,ns,1
K-Means Clustering,Large/Smart,,,,165530978.0,ns,1
K-Means Clustering,Large/Smart,,,,168222715.0,ns,1
K-Means Clustering,Large/Smart,,,,170769751.0,ns,1
K-Means Clustering,Large/Smart,,,,173572490.0,ns,1
K-Means Clustering,Large/Smart,,,,163860456.0,ns,1
K-Means Clustering,Large/Smart,,,,152018292.0,ns,1
K-Means Clustering,Large/Smart,,,,160518206.0,ns,1
