group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Large/Smart,,,,173522598.0,ns,1
K-Means Clustering,Large/Smart,,,,167275844.0,ns,1
K-Means Clustering,Large/Smart,,,,173227895.0,ns,1
K-Means Clustering,Large/Smart,,,,176453324.0,ns,1
K-Means Clustering,Large/Smart,,,,181214564.0,ns,1
K-Means Clustering,Large/Smart,,,,174761108.0,ns,1
K-Means Clustering,Large/Smart,,,,180671360.0,ns,1
K-Means Clustering,Large/Smart,,,,181372566.0,ns,1
K-Means Clustering,Large/Smart,,,,187724895.0,ns,1
K-Means Clustering,Large/Smart,,,,181242372.0,ns,1
K-Means Clustering,Large/Smart,,,,183031685.0,ns,1
K-Means Clustering,Large/Smart,,,,173752219.0,ns,1
K-Means Clustering,Large/Smart,,,,170789599.0,ns,1
K-Means Clustering,Large/Smart,,,,183730290.0,ns,1
K-Means Clustering,Large/Smart,,,,177846149.0,ns,1
K-Means Clustering,Large/Smart,,,,176751241.0,ns,1
K-Means Clustering,Large/Smart,,,,179042356.0,ns,1
K-Means Clustering,Large/Smart,,,,172845313.0,ns,1
K-Means Clustering,Large/Smart,,,,176775841.0,ns,1
K-Means Clustering,Large/Smart,,,,171295902.0,ns,1
K-Means Clustering,Large/Smart,,,,173690919.0,ns,1
K-Means Clustering,Large/Smart,,,,181535675.0,ns,1
K-Means Clustering,Large/Smart,,,,170086894.0,ns,1
K-Means Clustering,Large/Smart,,,,177544747.0,ns,1
K-Means Clustering,Large/Smart,,,,172636812.0,ns,1
K-Means Clustering,Large/Smart,,,,172708212.0,ns,1
K-Means Clustering,Large/Smart,,,,167026272.0,ns,1
K-Means Clustering,Large/Smart,,,,175786833.0,ns,1
K-Means Clustering,Large/Smart,,,,176320537.0,ns,1
K-Means Clustering,Large/Smart,,,,172454511.0,ns,1
K-Means Clustering,Large/Smart,,,,172841513.0,ns,1
K-Means Clustering,Large/Smart,,,,170048794.0,ns,1
K-Means Clustering,Large/Smart,,,,167587776.0,ns,1
K-Means Clustering,Large/Smart,,,,167594576.0,ns,1
K-Means Clustering,Large/Smart,,,,174755527.0,ns,1
K-Means Clustering,Large/Smart,,,,186104907.0,ns,1
K-Means Clustering,Large/Smart,,,,186434609.0,ns,1
K-Means Clustering,Large/Smart,,,,187015012.0,ns,1
K-Means Clustering,Large/Smart,,,,160599827.0,ns,1
K-Means Clustering,Large/Smart,,,,172416110.0,ns,1
K-Means Clustering,Large/Smart,,,,172146909.0,ns,1
K-Means Clustering,Large/Smart,,,,172695812.0,ns,1
K-Means Clustering,Large/Smart,,,,193078056.0,ns,1
K-Means Clustering,Large/Smart,,,,182908684.0,ns,1
K-Means Clustering,Large/Smart,,,,186985912.0,ns,1
K-Means Clustering,Large/Smart,,,,175784134.0,ns,1
K-Means Clustering,Large/Smart,,,,170195494.0,ns,1
K-Means Clustering,Large/Smart,,,,170925699.0,ns,1
K-Means Clustering,Large/Smart,,,,185058302.0,ns,1
K-Means Clustering,Large/Smart,,,,167750227.0,ns,1
K-Means Clustering,Large/Smart,,,,174733379.0,ns,1
K-Means Clustering,Large/Smart,,,,167916429.0,ns,1
K-Means Clustering,Large/Smart,,,,167000622.0,ns,1
K-Means Clustering,Large/Smart,,,,170747150.0,ns,1
K-Means Clustering,Large/Smart,,,,181747130.0,ns,1
K-Means Clustering,Large/Smart,,,,183213040.0,ns,1
K-Means Clustering,Large/Smart,,,,172440462.0,ns,1
K-Means Clustering,Large/Smart,,,,184024347.0,ns,1
K-Means Clustering,Large/Smart,,,,167487526.0,ns,1
K-Means Clustering,Large/Smart,,,,175876687.0,ns,1
K-Means Clustering,Large/Smart,,,,172082659.0,ns,1
K-Means Clustering,Large/Smart,,,,165382410.0,ns,1
K-Means Clustering,Large/Smart,,,,170776150.0,ns,1
K-Means Clustering,Large/Smart,,,,169095137.0,ns,1
K-Means Clustering,Large/Smart,,,,172298961.0,ns,1
K-Means Clustering,Large/Smart,,,,180307019.0,ns,1
K-Means Clustering,Large/Smart,,,,182823438.0,ns,1
K-Means Clustering,Large/Smart,,,,180633122.0,ns,1
K-Means Clustering,Large/Smart,,,,165504311.0,ns,1
K-Means Clustering,Large/Smart,,,,178179204.0,ns,1
K-Means Clustering,Large/Smart,,,,175899987.0,ns,1
K-Means Clustering,Large/Smart,,,,169956543.0,ns,1
K-Means Clustering,Large/Smart,,,,167524826.0,ns,1
K-Means Clustering,Large/Smart,,,,170926151.0,ns,1
K-Means Clustering,Large/Smart,,,,173275868.0,ns,1
