group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Large/Smartcore,,,,167513390.0,ns,1
K-Means Clustering,Large/Smartcore,,,,157275391.0,ns,1
K-Means Clustering,Large/Smartcore,,,,160834990.0,ns,1
K-Means Clustering,Large/Smartcore,,,,158301890.0,ns,1
K-Means Clustering,Large/Smartcore,,,,156329991.0,ns,1
K-Means Clustering,Large/Smartcore,,,,157664390.0,ns,1
K-Means Clustering,Large/Smartcore,,,,155100591.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149297291.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151546691.0,ns,1
K-Means Clustering,Large/Smartcore,,,,160679290.0,ns,1
K-Means Clustering,Large/Smartcore,,,,154238691.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151183691.0,ns,1
K-Means Clustering,Large/Smartcore,,,,153723890.0,ns,1
K-Means Clustering,Large/Smartcore,,,,152647291.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149278191.0,ns,1
K-Means Clustering,Large/Smartcore,,,,165000490.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148871091.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148022291.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150533991.0,ns,1
K-Means Clustering,Large/Smartcore,,,,155175191.0,ns,1
K-Means Clustering,Large/Smartcore,,,,160191290.0,ns,1
K-Means Clustering,Large/Smartcore,,,,168512390.0,ns,1
K-Means Clustering,Large/Smartcore,,,,161336690.0,ns,1
K-Means Clustering,Large/Smartcore,,,,154490791.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149290691.0,ns,1
K-Means Clustering,Large/Smartcore,,,,158960591.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149548891.0,ns,1
K-Means Clustering,Large/Smartcore,,,,152162491.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151421291.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151387992.0,ns,1
K-Means Clustering,Large/Smartcore,,,,157297391.0,ns,1
K-Means Clustering,Large/Smartcore,,,,157464390.0,ns,1
K-Means Clustering,Large/Smartcore,,,,154615491.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148905191.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149900491.0,ns,1
K-Means Clustering,Large/Smartcore,,,,165262253.0,ns,1
K-Means Clustering,Large/Smartcore,,,,158151064.0,ns,1
K-Means Clustering,Large/Smartcore,,,,152358499.0,ns,1
K-Means Clustering,Large/Smartcore,,,,154197988.0,ns,1
K-Means Clustering,Large/Smartcore,,,,160084053.0,ns,1
K-Means Clustering,Large/Smartcore,,,,158965160.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151943701.0,ns,1
K-Means Clustering,Large/Smartcore,,,,152311899.0,ns,1
K-Means Clustering,Large/Smartcore,,,,152728097.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150678109.0,ns,1
K-Means Clustering,Large/Smartcore,,,,147547528.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148333523.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150061312.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149013719.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151241005.0,ns,1
K-Means Clustering,Large/Smartcore,,,,156945472.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148085825.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148832520.0,ns,1
K-Means Clustering,Large/Smartcore,,,,159597056.0,ns,1
K-Means Clustering,Large/Smartcore,,,,144385146.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148359923.0,ns,1
K-Means Clustering,Large/Smartcore,,,,157831967.0,ns,1
K-Means Clustering,Large/Smartcore,,,,164422228.0,ns,1
K-Means Clustering,Large/Smartcore,,,,164224929.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151236706.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150991307.0,ns,1
K-Means Clustering,Large/Smartcore,,,,162309640.0,ns,1
K-Means Clustering,Large/Smartcore,,,,155759578.0,ns,1
K-Means Clustering,Large/Smartcore,,,,153610192.0,ns,1
K-Means Clustering,Large/Smartcore,,,,153354093.0,ns,1
K-Means Clustering,Large/Smartcore,,,,156069400.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150022879.0,ns,1
K-Means Clustering,Large/Smartcore,,,,157447278.0,ns,1
K-Means Clustering,Large/Smartcore,,,,159126778.0,ns,1
K-Means Clustering,Large/Smartcore,,,,163390578.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148730779.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150354679.0,ns,1
K-Means Clustering,Large/Smartcore,,,,154482179.0,ns,1
K-Means Clustering,Large/Smartcore,,,,147228879.0,ns,1
K-Means Clustering,Large/Smartcore,,,,153473178.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148462179.0,ns,1
K-Means Clustering,Large/Smartcore,,,,162198178.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149997079.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149066579.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150083379.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150384980.0,ns,1
K-Means Clustering,Large/Smartcore,,,,145171940.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150400626.0,ns,1
K-Means Clustering,Large/Smartcore,,,,153169915.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149036631.0,ns,1
K-Means Clustering,Large/Smartcore,,,,145561245.0,ns,1
K-Means Clustering,Large/Smartcore,,,,148729932.0,ns,1
K-Means Clustering,Large/Smartcore,,,,153674314.0,ns,1
K-Means Clustering,Large/Smartcore,,,,144976646.0,ns,1
K-Means Clustering,Large/Smartcore,,,,150291126.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151755120.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149580229.0,ns,1
K-Means Clustering,Large/Smartcore,,,,152813417.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149561029.0,ns,1
K-Means Clustering,Large/Smartcore,,,,146979738.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151449922.0,ns,1
K-Means Clustering,Large/Smartcore,,,,149276030.0,ns,1
K-Means Clustering,Large/Smartcore,,,,151202422.0,ns,1
K-Means Clustering,Large/Smartcore,,,,152467318.0,ns,1
K-Means Clustering,Large/Smartcore,,,,158355396.0,ns,1
