group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Linfa,,,,933616.0,ns,14
K-Means Clustering,Linfa,,,,2081437.0,ns,28
K-Means Clustering,Linfa,,,,3076754.0,ns,42
K-Means Clustering,Linfa,,,,4126973.0,ns,56
K-Means Clustering,Linfa,,,,5113591.0,ns,70
K-Means Clustering,Linfa,,,,6138508.0,ns,84
K-Means Clustering,Linfa,,,,7125126.0,ns,98
K-Means Clustering,Linfa,,,,8153045.0,ns,112
K-Means Clustering,Linfa,,,,9191162.0,ns,126
K-Means Clustering,Linfa,,,,10230681.0,ns,140
K-Means Clustering,Linfa,,,,11248799.0,ns,154
K-Means Clustering,Linfa,,,,12222516.0,ns,168
K-Means Clustering,Linfa,,,,13429337.0,ns,182
K-Means Clustering,Linfa,,,,14340854.0,ns,196
K-Means Clustering,Linfa,,,,15582076.0,ns,210
K-Means Clustering,Linfa,,,,16321588.0,ns,224
K-Means Clustering,Linfa,,,,17384108.0,ns,238
K-Means Clustering,Linfa,,,,18433926.0,ns,252
K-Means Clustering,Linfa,,,,19800350.0,ns,266
K-Means Clustering,Linfa,,,,20456261.0,ns,280
K-Means Clustering,Linfa,,,,21580082.0,ns,294
K-Means Clustering,Linfa,,,,22509098.0,ns,308
K-Means Clustering,Linfa,,,,23485915.0,ns,322
K-Means Clustering,Linfa,,,,25327848.0,ns,336
K-Means Clustering,Linfa,,,,25590153.0,ns,350
K-Means Clustering,Linfa,,,,27299383.0,ns,364
K-Means Clustering,Linfa,,,,27655589.0,ns,378
K-Means Clustering,Linfa,,,,28723307.0,ns,392
K-Means Clustering,Linfa,,,,29733426.0,ns,406
K-Means Clustering,Linfa,,,,30815045.0,ns,420
K-Means Clustering,Linfa,,,,32468974.0,ns,434
K-Means Clustering,Linfa,,,,33163087.0,ns,448
K-Means Clustering,Linfa,,,,34522810.0,ns,462
K-Means Clustering,Linfa,,,,34839316.0,ns,476
K-Means Clustering,Linfa,,,,40015608.0,ns,490
K-Means Clustering,Linfa,,,,37111156.0,ns,504
