group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Linfa,,,,945013.0,ns,14
K-Means Clustering,Linfa,,,,2028127.0,ns,28
K-Means Clustering,Linfa,,,,3043841.0,ns,42
K-Means Clustering,Linfa,,,,4073955.0,ns,56
K-Means Clustering,Linfa,,,,5056067.0,ns,70
K-Means Clustering,Linfa,,,,6076482.0,ns,84
K-Means Clustering,Linfa,,,,7116595.0,ns,98
K-Means Clustering,Linfa,,,,8128009.0,ns,112
K-Means Clustering,Linfa,,,,9588029.0,ns,126
K-Means Clustering,Linfa,,,,10125835.0,ns,140
K-Means Clustering,Linfa,,,,11148350.0,ns,154
K-Means Clustering,Linfa,,,,12176063.0,ns,168
K-Means Clustering,Linfa,,,,13225077.0,ns,182
K-Means Clustering,Linfa,,,,14362493.0,ns,196
K-Means Clustering,Linfa,,,,15269404.0,ns,210
K-Means Clustering,Linfa,,,,16202918.0,ns,224
K-Means Clustering,Linfa,,,,17275231.0,ns,238
K-Means Clustering,Linfa,,,,18262845.0,ns,252
K-Means Clustering,Linfa,,,,19183657.0,ns,266
K-Means Clustering,Linfa,,,,20214571.0,ns,280
K-Means Clustering,Linfa,,,,21394687.0,ns,294
K-Means Clustering,Linfa,,,,22338499.0,ns,308
K-Means Clustering,Linfa,,,,23381013.0,ns,322
K-Means Clustering,Linfa,,,,24376727.0,ns,336
K-Means Clustering,Linfa,,,,25433941.0,ns,350
K-Means Clustering,Linfa,,,,26437254.0,ns,364
K-Means Clustering,Linfa,,,,27392368.0,ns,378
K-Means Clustering,Linfa,,,,28523682.0,ns,392
K-Means Clustering,Linfa,,,,29472395.0,ns,406
K-Means Clustering,Linfa,,,,30391407.0,ns,420
K-Means Clustering,Linfa,,,,32226432.0,ns,434
K-Means Clustering,Linfa,,,,32467435.0,ns,448
K-Means Clustering,Linfa,,,,33629251.0,ns,462
K-Means Clustering,Linfa,,,,34764966.0,ns,476
K-Means Clustering,Linfa,,,,35721579.0,ns,490
K-Means Clustering,Linfa,,,,36609390.0,ns,504
K-Means Clustering,Linfa,,,,37604004.0,ns,518
K-Means Clustering,Linfa,,,,37975509.0,ns,532
K-Means Clustering,Linfa,,,,39641032.0,ns,546
K-Means Clustering,Linfa,,,,40878548.0,ns,560
K-Means Clustering,Linfa,,,,41686958.0,ns,574
K-Means Clustering,Linfa,,,,42684472.0,ns,588
K-Means Clustering,Linfa,,,,42691673.0,ns,602
K-Means Clustering,Linfa,,,,44890801.0,ns,616
K-Means Clustering,Linfa,,,,45990217.0,ns,630
K-Means Clustering,Linfa,,,,46959329.0,ns,644
K-Means Clustering,Linfa,,,,48013944.0,ns,658
K-Means Clustering,Linfa,,,,49112358.0,ns,672
K-Means Clustering,Linfa,,,,50128872.0,ns,686
K-Means Clustering,Linfa,,,,50749480.0,ns,700
K-Means Clustering,Linfa,,,,51798194.0,ns,714
K-Means Clustering,Linfa,,,,52872809.0,ns,728
K-Means Clustering,Linfa,,,,53914422.0,ns,742
K-Means Clustering,Linfa,,,,55298541.0,ns,756
K-Means Clustering,Linfa,,,,55970551.0,ns,770
K-Means Clustering,Linfa,,,,56853162.0,ns,784
K-Means Clustering,Linfa,,,,57856875.0,ns,798
K-Means Clustering,Linfa,,,,58789888.0,ns,812
K-Means Clustering,Linfa,,,,59915203.0,ns,826
K-Means Clustering,Linfa,,,,61104619.0,ns,840
K-Means Clustering,Linfa,,,,62062832.0,ns,854
K-Means Clustering,Linfa,,,,62903743.0,ns,868
K-Means Clustering,Linfa,,,,66363989.0,ns,882
K-Means Clustering,Linfa,,,,65810682.0,ns,896
K-Means Clustering,Linfa,,,,66187587.0,ns,910
K-Means Clustering,Linfa,,,,67139800.0,ns,924
K-Means Clustering,Linfa,,,,68187414.0,ns,938
K-Means Clustering,Linfa,,,,69685134.0,ns,952
K-Means Clustering,Linfa,,,,70406444.0,ns,966
K-Means Clustering,Linfa,,,,71246355.0,ns,980
K-Means Clustering,Linfa,,,,72213368.0,ns,994
K-Means Clustering,Linfa,,,,73385183.0,ns,1008
K-Means Clustering,Linfa,,,,74335996.0,ns,1022
K-Means Clustering,Linfa,,,,75152308.0,ns,1036
K-Means Clustering,Linfa,,,,76099220.0,ns,1050
K-Means Clustering,Linfa,,,,77233235.0,ns,1064
K-Means Clustering,Linfa,,,,78916257.0,ns,1078
K-Means Clustering,Linfa,,,,80155075.0,ns,1092
K-Means Clustering,Linfa,,,,80680581.0,ns,1106
K-Means Clustering,Linfa,,,,81269589.0,ns,1120
K-Means Clustering,Linfa,,,,82556907.0,ns,1134
K-Means Clustering,Linfa,,,,83395017.0,ns,1148
K-Means Clustering,Linfa,,,,84850037.0,ns,1162
K-Means Clustering,Linfa,,,,85667448.0,ns,1176
K-Means Clustering,Linfa,,,,87204069.0,ns,1190
K-Means Clustering,Linfa,,,,87613574.0,ns,1204
K-Means Clustering,Linfa,,,,88542387.0,ns,1218
K-Means Clustering,Linfa,,,,89729502.0,ns,1232
K-Means Clustering,Linfa,,,,91634828.0,ns,1246
K-Means Clustering,Linfa,,,,92076734.0,ns,1260
K-Means Clustering,Linfa,,,,93406552.0,ns,1274
K-Means Clustering,Linfa,,,,94548168.0,ns,1288
K-Means Clustering,Linfa,,,,94296463.0,ns,1302
K-Means Clustering,Linfa,,,,95197276.0,ns,1316
K-Means Clustering,Linfa,,,,97083601.0,ns,1330
K-Means Clustering,Linfa,,,,97111802.0,ns,1344
K-Means Clustering,Linfa,,,,98676023.0,ns,1358
K-Means Clustering,Linfa,,,,100984921.0,ns,1372
K-Means Clustering,Linfa,,,,101653333.0,ns,1386
K-Means Clustering,Linfa,,,,101205629.0,ns,1400
