group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Medium/Linfa,,,,1403594.0,ns,1
K-Means Clustering,Medium/Linfa,,,,2791089.0,ns,2
K-Means Clustering,Medium/Linfa,,,,4172484.0,ns,3
K-Means Clustering,Medium/Linfa,,,,5547278.0,ns,4
K-Means Clustering,Medium/Linfa,,,,6945073.0,ns,5
K-Means Clustering,Medium/Linfa,,,,8319168.0,ns,6
K-Means Clustering,Medium/Linfa,,,,9704962.0,ns,7
K-Means Clustering,Medium/Linfa,,,,11529555.0,ns,8
K-Means Clustering,Medium/Linfa,,,,14500143.0,ns,9
K-Means Clustering,Medium/Linfa,,,,13911145.0,ns,10
K-Means Clustering,Medium/Linfa,,,,15341540.0,ns,11
K-Means Clustering,Medium/Linfa,,,,13998645.0,ns,12
K-Means Clustering,Medium/Linfa,,,,18169029.0,ns,13
K-Means Clustering,Medium/Linfa,,,,19641523.0,ns,14
K-Means Clustering,Medium/Linfa,,,,24296805.0,ns,15
K-Means Clustering,Medium/Linfa,,,,22276113.0,ns,16
K-Means Clustering,Medium/Linfa,,,,23627007.0,ns,17
K-Means Clustering,Medium/Linfa,,,,20992818.0,ns,18
K-Means Clustering,Medium/Linfa,,,,26429296.0,ns,19
K-Means Clustering,Medium/Linfa,,,,27710191.0,ns,20
K-Means Clustering,Medium/Linfa,,,,34228466.0,ns,21
K-Means Clustering,Medium/Linfa,,,,35759960.0,ns,22
K-Means Clustering,Medium/Linfa,,,,31952675.0,ns,23
K-Means Clustering,Medium/Linfa,,,,33236669.0,ns,24
K-Means Clustering,Medium/Linfa,,,,29090286.0,ns,25
K-Means Clustering,Medium/Linfa,,,,36268358.0,ns,26
K-Means Clustering,Medium/Linfa,,,,37591153.0,ns,27
K-Means Clustering,Medium/Linfa,,,,38868447.0,ns,28
K-Means Clustering,Medium/Linfa,,,,33767268.0,ns,29
K-Means Clustering,Medium/Linfa,,,,42212335.0,ns,30
K-Means Clustering,Medium/Linfa,,,,43163131.0,ns,31
K-Means Clustering,Medium/Linfa,,,,44361231.0,ns,32
K-Means Clustering,Medium/Linfa,,,,38328498.0,ns,33
K-Means Clustering,Medium/Linfa,,,,47264198.0,ns,34
K-Means Clustering,Medium/Linfa,,,,48810898.0,ns,35
K-Means Clustering,Medium/Linfa,,,,58167298.0,ns,36
K-Means Clustering,Medium/Linfa,,,,60006898.0,ns,37
K-Means Clustering,Medium/Linfa,,,,53632298.0,ns,38
K-Means Clustering,Medium/Linfa,,,,72816097.0,ns,39
K-Means Clustering,Medium/Linfa,,,,59179798.0,ns,40
K-Means Clustering,Medium/Linfa,,,,57492598.0,ns,41
K-Means Clustering,Medium/Linfa,,,,58514998.0,ns,42
K-Means Clustering,Medium/Linfa,,,,59966898.0,ns,43
K-Means Clustering,Medium/Linfa,,,,64902897.0,ns,44
K-Means Clustering,Medium/Linfa,,,,62827598.0,ns,45
K-Means Clustering,Medium/Linfa,,,,64175797.0,ns,46
K-Means Clustering,Medium/Linfa,,,,75946197.0,ns,47
K-Means Clustering,Medium/Linfa,,,,66673498.0,ns,48
K-Means Clustering,Medium/Linfa,,,,78906897.0,ns,49
K-Means Clustering,Medium/Linfa,,,,69494998.0,ns,50
K-Means Clustering,Medium/Linfa,,,,70951197.0,ns,51
K-Means Clustering,Medium/Linfa,,,,83975597.0,ns,52
K-Means Clustering,Medium/Linfa,,,,61773397.0,ns,53
K-Means Clustering,Medium/Linfa,,,,75768297.0,ns,54
K-Means Clustering,Medium/Linfa,,,,77264797.0,ns,55
K-Means Clustering,Medium/Linfa,,,,78725897.0,ns,56
K-Means Clustering,Medium/Linfa,,,,79981297.0,ns,57
K-Means Clustering,Medium/Linfa,,,,94879896.0,ns,58
K-Means Clustering,Medium/Linfa,,,,82699597.0,ns,59
K-Means Clustering,Medium/Linfa,,,,84324897.0,ns,60
K-Means Clustering,Medium/Linfa,,,,84816297.0,ns,61
K-Means Clustering,Medium/Linfa,,,,100148397.0,ns,62
K-Means Clustering,Medium/Linfa,,,,87721396.0,ns,63
K-Means Clustering,Medium/Linfa,,,,88738797.0,ns,64
K-Means Clustering,Medium/Linfa,,,,90397396.0,ns,65
