group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
K-Means Clustering,Medium/Linfa,,,,1448120.0,ns,1
K-Means Clustering,Medium/Linfa,,,,2488333.0,ns,2
K-Means Clustering,Medium/Linfa,,,,3698650.0,ns,3
K-Means Clustering,Medium/Linfa,,,,4975767.0,ns,4
K-Means Clustering,Medium/Linfa,,,,6165783.0,ns,5
K-Means Clustering,Medium/Linfa,,,,7459301.0,ns,6
K-Means Clustering,Medium/Linfa,,,,8636416.0,ns,7
K-Means Clustering,Medium/Linfa,,,,11504455.0,ns,8
K-Means Clustering,Medium/Linfa,,,,11070749.0,ns,9
K-Means Clustering,Medium/Linfa,,,,14311093.0,ns,10
K-Means Clustering,Medium/Linfa,,,,13805386.0,ns,11
K-Means Clustering,Medium/Linfa,,,,14919101.0,ns,12
K-Means Clustering,Medium/Linfa,,,,16000716.0,ns,13
K-Means Clustering,Medium/Linfa,,,,17305934.0,ns,14
K-Means Clustering,Medium/Linfa,,,,18575851.0,ns,15
K-Means Clustering,Medium/Linfa,,,,22960209.0,ns,16
K-Means Clustering,Medium/Linfa,,,,24391229.0,ns,17
K-Means Clustering,Medium/Linfa,,,,18643651.0,ns,18
K-Means Clustering,Medium/Linfa,,,,23441616.0,ns,19
K-Means Clustering,Medium/Linfa,,,,20680279.0,ns,20
K-Means Clustering,Medium/Linfa,,,,25943554.0,ns,21
K-Means Clustering,Medium/Linfa,,,,27115477.0,ns,22
K-Means Clustering,Medium/Linfa,,,,28767000.0,ns,23
K-Means Clustering,Medium/Linfa,,,,34349377.0,ns,24
K-Means Clustering,Medium/Linfa,,,,31654740.0,ns,25
K-Means Clustering,Medium/Linfa,,,,37527022.0,ns,26
K-Means Clustering,Medium/Linfa,,,,28540497.0,ns,27
K-Means Clustering,Medium/Linfa,,,,40051456.0,ns,28
K-Means Clustering,Medium/Linfa,,,,36032001.0,ns,29
K-Means Clustering,Medium/Linfa,,,,36936913.0,ns,30
K-Means Clustering,Medium/Linfa,,,,44488618.0,ns,31
K-Means Clustering,Medium/Linfa,,,,39666151.0,ns,32
K-Means Clustering,Medium/Linfa,,,,40817167.0,ns,33
K-Means Clustering,Medium/Linfa,,,,42381589.0,ns,34
K-Means Clustering,Medium/Linfa,,,,43441204.0,ns,35
K-Means Clustering,Medium/Linfa,,,,44693122.0,ns,36
K-Means Clustering,Medium/Linfa,,,,45776736.0,ns,37
K-Means Clustering,Medium/Linfa,,,,46894652.0,ns,38
K-Means Clustering,Medium/Linfa,,,,48503574.0,ns,39
K-Means Clustering,Medium/Linfa,,,,57554500.0,ns,40
K-Means Clustering,Medium/Linfa,,,,43228401.0,ns,41
K-Means Clustering,Medium/Linfa,,,,51946922.0,ns,42
K-Means Clustering,Medium/Linfa,,,,70691082.0,ns,43
K-Means Clustering,Medium/Linfa,,,,54754861.0,ns,44
K-Means Clustering,Medium/Linfa,,,,56270182.0,ns,45
K-Means Clustering,Medium/Linfa,,,,57109794.0,ns,46
K-Means Clustering,Medium/Linfa,,,,58511514.0,ns,47
K-Means Clustering,Medium/Linfa,,,,59874533.0,ns,48
K-Means Clustering,Medium/Linfa,,,,61368853.0,ns,49
K-Means Clustering,Medium/Linfa,,,,61986862.0,ns,50
K-Means Clustering,Medium/Linfa,,,,62941975.0,ns,51
K-Means Clustering,Medium/Linfa,,,,74827240.0,ns,52
K-Means Clustering,Medium/Linfa,,,,76157759.0,ns,53
K-Means Clustering,Medium/Linfa,,,,85286985.0,ns,54
K-Means Clustering,Medium/Linfa,,,,68719655.0,ns,55
K-Means Clustering,Medium/Linfa,,,,70404778.0,ns,56
K-Means Clustering,Medium/Linfa,,,,71817898.0,ns,57
K-Means Clustering,Medium/Linfa,,,,60852346.0,ns,58
K-Means Clustering,Medium/Linfa,,,,85536289.0,ns,59
K-Means Clustering,Medium/Linfa,,,,62979076.0,ns,60
K-Means Clustering,Medium/Linfa,,,,76251760.0,ns,61
K-Means Clustering,Medium/Linfa,,,,77864983.0,ns,62
K-Means Clustering,Medium/Linfa,,,,78915297.0,ns,63
K-Means Clustering,Medium/Linfa,,,,79663607.0,ns,64
K-Means Clustering,Medium/Linfa,,,,80891924.0,ns,65
K-Means Clustering,Medium/Linfa,,,,82450246.0,ns,66
K-Means Clustering,Medium/Linfa,,,,83561761.0,ns,67
K-Means Clustering,Medium/Linfa,,,,84814378.0,ns,68
K-Means Clustering,Medium/Linfa,,,,99859588.0,ns,69
K-Means Clustering,Medium/Linfa,,,,72812112.0,ns,70
K-Means Clustering,Medium/Linfa,,,,88402929.0,ns,71
K-Means Clustering,Medium/Linfa,,,,90292255.0,ns,72
K-Means Clustering,Medium/Linfa,,,,91468971.0,ns,73
K-Means Clustering,Medium/Linfa,,,,92221282.0,ns,74
K-Means Clustering,Medium/Linfa,,,,92960892.0,ns,75
K-Means Clustering,Medium/Linfa,,,,109409720.0,ns,76
K-Means Clustering,Medium/Linfa,,,,99020276.0,ns,77
K-Means Clustering,Medium/Linfa,,,,81383731.0,ns,78
K-Means Clustering,Medium/Linfa,,,,98809374.0,ns,79
K-Means Clustering,Medium/Linfa,,,,99297881.0,ns,80
K-Means Clustering,Medium/Linfa,,,,101335309.0,ns,81
K-Means Clustering,Medium/Linfa,,,,102173721.0,ns,82
K-Means Clustering,Medium/Linfa,,,,86663805.0,ns,83
K-Means Clustering,Medium/Linfa,,,,104918859.0,ns,84
K-Means Clustering,Medium/Linfa,,,,106524880.0,ns,85
K-Means Clustering,Medium/Linfa,,,,90304355.0,ns,86
K-Means Clustering,Medium/Linfa,,,,107928301.0,ns,87
K-Means Clustering,Medium/Linfa,,,,109433921.0,ns,88
K-Means Clustering,Medium/Linfa,,,,111260347.0,ns,89
K-Means Clustering,Medium/Linfa,,,,112147359.0,ns,90
K-Means Clustering,Medium/Linfa,,,,113181573.0,ns,91
K-Means Clustering,Medium/Linfa,,,,114880897.0,ns,92
K-Means Clustering,Medium/Linfa,,,,115850810.0,ns,93
K-Means Clustering,Medium/Linfa,,,,98154164.0,ns,94
K-Means Clustering,Medium/Linfa,,,,118253444.0,ns,95
K-Means Clustering,Medium/Linfa,,,,120823079.0,ns,96
K-Means Clustering,Medium/Linfa,,,,101714813.0,ns,97
K-Means Clustering,Medium/Linfa,,,,123450816.0,ns,98
K-Means Clustering,Medium/Linfa,,,,103257035.0,ns,99
K-Means Clustering,Medium/Linfa,,,,104889058.0,ns,100
